"Date","OHHENR9LFN"
1990-01-01,15378
1990-02-01,15022
1990-03-01,14988
1990-04-01,15259
1990-05-01,15137
1990-06-01,15402
1990-07-01,15441
1990-08-01,15420
1990-09-01,15614
1990-10-01,15651
1990-11-01,15126
1990-12-01,14897
1991-01-01,15784
1991-02-01,15546
1991-03-01,15767
1991-04-01,15721
1991-05-01,15627
1991-06-01,15961
1991-07-01,16089
1991-08-01,16451
1991-09-01,16351
1991-10-01,16396
1991-11-01,15850
1991-12-01,15992
1992-01-01,16179
1992-02-01,15899
1992-03-01,15931
1992-04-01,16066
1992-05-01,16113
1992-06-01,16489
1992-07-01,16924
1992-08-01,16189
1992-09-01,16646
1992-10-01,16146
1992-11-01,16222
1992-12-01,16054
1993-01-01,16264
1993-02-01,16041
1993-03-01,16119
1993-04-01,17420
1993-05-01,16372
1993-06-01,16585
1993-07-01,16834
1993-08-01,16899
1993-09-01,17013
1993-10-01,16558
1993-11-01,16160
1993-12-01,15839
1994-01-01,15801
1994-02-01,15812
1994-03-01,15962
1994-04-01,16220
1994-05-01,15864
1994-06-01,16025
1994-07-01,15860
1994-08-01,15944
1994-09-01,16151
1994-10-01,16610
1994-11-01,16348
1994-12-01,16099
1995-01-01,16140
1995-02-01,15950
1995-03-01,16027
1995-04-01,16011
1995-05-01,15874
1995-06-01,16066
1995-07-01,16552
1995-08-01,15874
1995-09-01,16357
1995-10-01,16580
1995-11-01,16232
1995-12-01,15974
1996-01-01,15893
1996-02-01,15945
1996-03-01,15885
1996-04-01,15732
1996-05-01,15942
1996-06-01,16375
1996-07-01,16762
1996-08-01,16342
1996-09-01,16076
1996-10-01,16165
1996-11-01,16202
1996-12-01,16070
1997-01-01,15560
1997-02-01,15587
1997-03-01,16228
1997-04-01,15948
1997-05-01,15979
1997-06-01,16349
1997-07-01,16216
1997-08-01,15915
1997-09-01,16220
1997-10-01,15797
1997-11-01,15192
1997-12-01,15335
1998-01-01,15027
1998-02-01,15463
1998-03-01,15175
1998-04-01,14497
1998-05-01,14733
1998-06-01,15649
1998-07-01,16327
1998-08-01,15534
1998-09-01,15434
1998-10-01,14962
1998-11-01,15518
1998-12-01,15456
1999-01-01,15515
1999-02-01,15993
1999-03-01,15947
1999-04-01,16016
1999-05-01,15904
1999-06-01,16015
1999-07-01,16256
1999-08-01,16071
1999-09-01,15811
1999-10-01,15829
1999-11-01,15723
1999-12-01,15608
2000-01-01,15128
2000-02-01,15079
2000-03-01,15075
2000-04-01,15137
2000-05-01,15200
2000-06-01,15463
2000-07-01,15367
2000-08-01,15332
2000-09-01,15316
2000-10-01,15272
2000-11-01,15214
2000-12-01,15219
2001-01-01,15214
2001-02-01,15088
2001-03-01,15109
2001-04-01,15044
2001-05-01,15288
2001-06-01,15271
2001-07-01,15354
2001-08-01,15230
2001-09-01,15239
2001-10-01,15476
2001-11-01,15251
2001-12-01,15157
2002-01-01,15176
2002-02-01,15230
2002-03-01,15256
2002-04-01,15382
2002-05-01,15608
2002-06-01,15563
2002-07-01,15527
2002-08-01,15527
2002-09-01,15455
2002-10-01,15692
2002-11-01,15528
2002-12-01,15619
2003-01-01,15781
2003-02-01,15454
2003-03-01,15495
2003-04-01,15764
2003-05-01,15929
2003-06-01,16108
2003-07-01,16262
2003-08-01,16081
2003-09-01,16036
2003-10-01,16161
2003-11-01,16057
2003-12-01,16039
2004-01-01,15852
2004-02-01,15666
2004-03-01,15754
2004-04-01,15709
2004-05-01,15688
2004-06-01,15936
2004-07-01,16183
2004-08-01,16018
2004-09-01,16118
2004-10-01,16254
2004-11-01,16165
2004-12-01,16167
2005-01-01,15519
2005-02-01,15647
2005-03-01,15592
2005-04-01,15756
2005-05-01,15753
2005-06-01,15801
2005-07-01,15937
2005-08-01,15976
2005-09-01,16020
2005-10-01,16107
2005-11-01,16107
2005-12-01,15895
2006-01-01,15967
2006-02-01,15781
2006-03-01,15901
2006-04-01,16071
2006-05-01,16006
2006-06-01,16432
2006-07-01,16205
2006-08-01,16512
2006-09-01,16444
2006-10-01,16474
2006-11-01,16325
2006-12-01,16303
2007-01-01,16055
2007-02-01,15845
2007-03-01,15852
2007-04-01,15795
2007-05-01,16006
2007-06-01,16161
2007-07-01,16325
2007-08-01,16241
2007-09-01,16196
2007-10-01,16077
2007-11-01,16074
2007-12-01,15956
2008-01-01,15796
2008-02-01,15636
2008-03-01,15564
2008-04-01,15684
2008-05-01,15839
2008-06-01,15977
2008-07-01,15909
2008-08-01,16120
2008-09-01,15839
2008-10-01,16000
2008-11-01,15944
2008-12-01,15779
2009-01-01,15706
2009-02-01,15591
2009-03-01,15505
2009-04-01,15399
2009-05-01,15721
2009-06-01,15790
2009-07-01,15775
2009-08-01,15718
2009-09-01,15775
2009-10-01,15799
2009-11-01,15747
2009-12-01,15667
2010-01-01,14799
2010-02-01,14625
2010-03-01,14616
2010-04-01,14653
2010-05-01,14658
2010-06-01,14665
2010-07-01,14699
2010-08-01,14670
2010-09-01,14612
2010-10-01,14703
2010-11-01,14625
2010-12-01,14548
2011-01-01,14545
2011-02-01,14314
2011-03-01,14288
2011-04-01,14180
2011-05-01,14364
2011-06-01,14474
2011-07-01,14469
2011-08-01,14443
2011-09-01,14268
2011-10-01,14337
2011-11-01,14350
2011-12-01,14240
2012-01-01,14162
2012-02-01,14067
2012-03-01,14111
2012-04-01,14042
2012-05-01,14048
2012-06-01,14214
2012-07-01,14200
2012-08-01,14143
2012-09-01,14116
2012-10-01,14180
2012-11-01,14135
2012-12-01,14078
2013-01-01,13960
2013-02-01,13996
2013-03-01,13921
2013-04-01,13994
2013-05-01,14136
2013-06-01,14264
2013-07-01,14003
2013-08-01,14007
2013-09-01,13940
2013-10-01,13976
2013-11-01,14054
2013-12-01,13937
2014-01-01,13673
2014-02-01,13601
2014-03-01,13527
2014-04-01,13384
2014-05-01,13571
2014-06-01,13897
2014-07-01,13904
2014-08-01,13838
2014-09-01,13892
2014-10-01,14101
2014-11-01,14046
2014-12-01,13992
2015-01-01,13680
2015-02-01,13562
2015-03-01,13496
2015-04-01,13450
2015-05-01,13574
2015-06-01,13653
2015-07-01,13388
2015-08-01,13604
2015-09-01,13498
2015-10-01,13837
2015-11-01,13657
2015-12-01,13744
2016-01-01,13506
2016-02-01,13682
2016-03-01,13835
2016-04-01,13732
2016-05-01,13668
2016-06-01,13740
2016-07-01,13530
2016-08-01,13689
2016-09-01,13596
2016-10-01,13693
2016-11-01,13676
2016-12-01,13573
2017-01-01,13562
2017-02-01,13634
2017-03-01,13751
2017-04-01,13632
2017-05-01,13579
2017-06-01,13705
2017-07-01,13538
2017-08-01,13718
2017-09-01,13576
2017-10-01,13596
2017-11-01,13600
2017-12-01,13280
2018-01-01,13132
2018-02-01,13410
2018-03-01,13433
2018-04-01,13392
2018-05-01,13441
2018-06-01,13496
2018-07-01,13383
2018-08-01,13345
2018-09-01,13309
2018-10-01,13471
2018-11-01,13372
2018-12-01,13281
2019-01-01,13302
2019-02-01,13426
2019-03-01,13440
2019-04-01,13281
2019-05-01,13313
2019-06-01,13429
2019-07-01,13413
2019-08-01,13245
2019-09-01,13161
2019-10-01,13341
2019-11-01,13055
2019-12-01,13078
2020-01-01,13157
2020-02-01,13218
2020-03-01,13221
2020-04-01,12984
2020-05-01,12896
2020-06-01,12872
2020-07-01,12874
2020-08-01,12911
2020-09-01,13063
2020-10-01,13196
2020-11-01,13046
2020-12-01,13044
2021-01-01,12704
2021-02-01,12756
2021-03-01,12688
2021-04-01,12776
2021-05-01,12716
2021-06-01,12847
2021-07-01,12852
2021-08-01,12754
2021-09-01,12637
2021-10-01,12787
2021-11-01,12732
2021-12-01,12682
2022-01-01,12533
2022-02-01,12632
2022-03-01,12720
2022-04-01,12611
2022-05-01,12752
2022-06-01,12805
2022-07-01,12766
2022-08-01,12711
2022-09-01,12659
2022-10-01,12736
2022-11-01,12743
2022-12-01,12622
2023-01-01,12432
2023-02-01,12613
2023-03-01,12643
2023-04-01,12715
2023-05-01,12932
2023-06-01,13059
2023-07-01,12975
2023-08-01,13097
2023-09-01,12943
2023-10-01,12908
