"Date","VAPRIN7LFN"
1990-01-01,7362
1990-02-01,7338
1990-03-01,7617
1990-04-01,7584
1990-05-01,7664
1990-06-01,8011
1990-07-01,7980
1990-08-01,7795
1990-09-01,7696
1990-10-01,7824
1990-11-01,7745
1990-12-01,7770
1991-01-01,8063
1991-02-01,7828
1991-03-01,7966
1991-04-01,8072
1991-05-01,8527
1991-06-01,8416
1991-07-01,8350
1991-08-01,8330
1991-09-01,8244
1991-10-01,8443
1991-11-01,8372
1991-12-01,8372
1992-01-01,8427
1992-02-01,8447
1992-03-01,8520
1992-04-01,8648
1992-05-01,8921
1992-06-01,9085
1992-07-01,8766
1992-08-01,8913
1992-09-01,8714
1992-10-01,8571
1992-11-01,8515
1992-12-01,8416
1993-01-01,8619
1993-02-01,8586
1993-03-01,8736
1993-04-01,8249
1993-05-01,8597
1993-06-01,8596
1993-07-01,8499
1993-08-01,8565
1993-09-01,8438
1993-10-01,8447
1993-11-01,8373
1993-12-01,8410
1994-01-01,7954
1994-02-01,8006
1994-03-01,8134
1994-04-01,8284
1994-05-01,8393
1994-06-01,8413
1994-07-01,8445
1994-08-01,8577
1994-09-01,8418
1994-10-01,8325
1994-11-01,8356
1994-12-01,8219
1995-01-01,8421
1995-02-01,8338
1995-03-01,8715
1995-04-01,8524
1995-05-01,8599
1995-06-01,8686
1995-07-01,8731
1995-08-01,8724
1995-09-01,8650
1995-10-01,8467
1995-11-01,8290
1995-12-01,8195
1996-01-01,8249
1996-02-01,8121
1996-03-01,8303
1996-04-01,8148
1996-05-01,8568
1996-06-01,8499
1996-07-01,8782
1996-08-01,8791
1996-09-01,8557
1996-10-01,8445
1996-11-01,8285
1996-12-01,8214
1997-01-01,8398
1997-02-01,8488
1997-03-01,8677
1997-04-01,8511
1997-05-01,8731
1997-06-01,8761
1997-07-01,8637
1997-08-01,8473
1997-09-01,8429
1997-10-01,8359
1997-11-01,8370
1997-12-01,8277
1998-01-01,7981
1998-02-01,7980
1998-03-01,8074
1998-04-01,8037
1998-05-01,8211
1998-06-01,8319
1998-07-01,8255
1998-08-01,8081
1998-09-01,8220
1998-10-01,8249
1998-11-01,8164
1998-12-01,8155
1999-01-01,8073
1999-02-01,7981
1999-03-01,8302
1999-04-01,8221
1999-05-01,8320
1999-06-01,8391
1999-07-01,8311
1999-08-01,8245
1999-09-01,8279
1999-10-01,8197
1999-11-01,8060
1999-12-01,8041
2000-01-01,7996
2000-02-01,8006
2000-03-01,8283
2000-04-01,8163
2000-05-01,8179
2000-06-01,8273
2000-07-01,8172
2000-08-01,8126
2000-09-01,8013
2000-10-01,8235
2000-11-01,8144
2000-12-01,8018
2001-01-01,8323
2001-02-01,8291
2001-03-01,8363
2001-04-01,8203
2001-05-01,8242
2001-06-01,8280
2001-07-01,8293
2001-08-01,8249
2001-09-01,8277
2001-10-01,8209
2001-11-01,8219
2001-12-01,8148
2002-01-01,8211
2002-02-01,8258
2002-03-01,8354
2002-04-01,8283
2002-05-01,8337
2002-06-01,8388
2002-07-01,8472
2002-08-01,8379
2002-09-01,8347
2002-10-01,8250
2002-11-01,8175
2002-12-01,8139
2003-01-01,8489
2003-02-01,8407
2003-03-01,8521
2003-04-01,8392
2003-05-01,8472
2003-06-01,8547
2003-07-01,8632
2003-08-01,8542
2003-09-01,8548
2003-10-01,8525
2003-11-01,8605
2003-12-01,8399
2004-01-01,8306
2004-02-01,8243
2004-03-01,8346
2004-04-01,8320
2004-05-01,8404
