"Date","MTCARB9LFN"
1990-01-01,3870
1990-02-01,3806
1990-03-01,3868
1990-04-01,3889
1990-05-01,3707
1990-06-01,3669
1990-07-01,3923
1990-08-01,3713
1990-09-01,3563
1990-10-01,3594
1990-11-01,3701
1990-12-01,3688
1991-01-01,3665
1991-02-01,3634
1991-03-01,3827
1991-04-01,3896
1991-05-01,3730
1991-06-01,3850
1991-07-01,3947
1991-08-01,3839
1991-09-01,3681
1991-10-01,3685
1991-11-01,3605
1991-12-01,3818
1992-01-01,3829
1992-02-01,3879
1992-03-01,4023
1992-04-01,4006
1992-05-01,3922
1992-06-01,3801
1992-07-01,4232
1992-08-01,4050
1992-09-01,3960
1992-10-01,3763
1992-11-01,3692
1992-12-01,3774
1993-01-01,3778
1993-02-01,3741
1993-03-01,3829
1993-04-01,3940
1993-05-01,3834
1993-06-01,3951
1993-07-01,4090
1993-08-01,3992
1993-09-01,3849
1993-10-01,3817
1993-11-01,3809
1993-12-01,3920
1994-01-01,3940
1994-02-01,3929
1994-03-01,3990
1994-04-01,4111
1994-05-01,4016
1994-06-01,4077
1994-07-01,4245
1994-08-01,4133
1994-09-01,3931
1994-10-01,4031
1994-11-01,3953
1994-12-01,4024
1995-01-01,4232
1995-02-01,4313
1995-03-01,4326
1995-04-01,4267
1995-05-01,4278
1995-06-01,4209
1995-07-01,4530
1995-08-01,4460
1995-09-01,4257
1995-10-01,4242
1995-11-01,4194
1995-12-01,4372
1996-01-01,4277
1996-02-01,4359
1996-03-01,4444
1996-04-01,4397
1996-05-01,4472
1996-06-01,4671
1996-07-01,4666
1996-08-01,4656
1996-09-01,4611
1996-10-01,4539
1996-11-01,4337
1996-12-01,4616
1997-01-01,4480
1997-02-01,4507
1997-03-01,4590
1997-04-01,4610
1997-05-01,4560
1997-06-01,4802
1997-07-01,4605
1997-08-01,4671
1997-09-01,4696
1997-10-01,4613
1997-11-01,4398
1997-12-01,4689
1998-01-01,4634
1998-02-01,4584
1998-03-01,4663
1998-04-01,4712
1998-05-01,4783
1998-06-01,5007
1998-07-01,4679
1998-08-01,4755
1998-09-01,4751
1998-10-01,4688
1998-11-01,4664
1998-12-01,4909
1999-01-01,4794
1999-02-01,4853
1999-03-01,4870
1999-04-01,4745
1999-05-01,4682
1999-06-01,4974
1999-07-01,5019
1999-08-01,4826
1999-09-01,4681
1999-10-01,4722
1999-11-01,4768
1999-12-01,4795
2000-01-01,4983
2000-02-01,5023
2000-03-01,5009
2000-04-01,5013
2000-05-01,5034
2000-06-01,5061
2000-07-01,5014
2000-08-01,4999
2000-09-01,4950
2000-10-01,4948
2000-11-01,5011
2000-12-01,5021
2001-01-01,5046
2001-02-01,5039
2001-03-01,5050
2001-04-01,5051
2001-05-01,5062
2001-06-01,5040
2001-07-01,5054
2001-08-01,5028
2001-09-01,4931
2001-10-01,5010
2001-11-01,5044
2001-12-01,5047
2002-01-01,5100
2002-02-01,5200
2002-03-01,5227
2002-04-01,5219
2002-05-01,5194
2002-06-01,5209
2002-07-01,5210
2002-08-01,5197
2002-09-01,5145
2002-10-01,5168
2002-11-01,5179
2002-12-01,5204
2003-01-01,5191
2003-02-01,5186
2003-03-01,5188
2003-04-01,5203
2003-05-01,5207
2003-06-01,5259
2003-07-01,5161
2003-08-01,5168
2003-09-01,5150
2003-10-01,5221
2003-11-01,5237
2003-12-01,5216
2004-01-01,5170
2004-02-01,5175
2004-03-01,5181
2004-04-01,5236
2004-05-01,5207
2004-06-01,5278
2004-07-01,5296
2004-08-01,5248
2004-09-01,5175
2004-10-01,5272
2004-11-01,5353
2004-12-01,5367
2005-01-01,5298
2005-02-01,5328
2005-03-01,5347
2005-04-01,5393
2005-05-01,5376
2005-06-01,5343
2005-07-01,5411
2005-08-01,5421
2005-09-01,5370
2005-10-01,5434
2005-11-01,5452
2005-12-01,5426
2006-01-01,5329
2006-02-01,5327
2006-03-01,5341
2006-04-01,5349
2006-05-01,5360
2006-06-01,5449
2006-07-01,5577
2006-08-01,5532
2006-09-01,5372
2006-10-01,5398
2006-11-01,5451
2006-12-01,5412
2007-01-01,5330
2007-02-01,5297
2007-03-01,5342
2007-04-01,5360
2007-05-01,5407
2007-06-01,5403
2007-07-01,5434
2007-08-01,5434
2007-09-01,5352
2007-10-01,5389
2007-11-01,5457
2007-12-01,5409
2008-01-01,5321
2008-02-01,5310
2008-03-01,5303
2008-04-01,5319
2008-05-01,5377
2008-06-01,5375
2008-07-01,5379
2008-08-01,5360
2008-09-01,5345
2008-10-01,5382
2008-11-01,5383
2008-12-01,5330
2009-01-01,5231
2009-02-01,5263
2009-03-01,5260
2009-04-01,5289
2009-05-01,5279
2009-06-01,5337
2009-07-01,5268
2009-08-01,5246
2009-09-01,5207
2009-10-01,5280
2009-11-01,5306
2009-12-01,5193
2010-01-01,5367
2010-02-01,5377
2010-03-01,5401
2010-04-01,5413
2010-05-01,5377
2010-06-01,5366
2010-07-01,5387
2010-08-01,5328
2010-09-01,5256
2010-10-01,5260
2010-11-01,5251
2010-12-01,5213
2011-01-01,5208
2011-02-01,5202
2011-03-01,5227
2011-04-01,5283
2011-05-01,5318
2011-06-01,5309
2011-07-01,5336
2011-08-01,5339
2011-09-01,5296
2011-10-01,5333
2011-11-01,5355
2011-12-01,5311
2012-01-01,5234
2012-02-01,5254
2012-03-01,5297
2012-04-01,5324
2012-05-01,5383
2012-06-01,5380
2012-07-01,5389
2012-08-01,5370
2012-09-01,5347
2012-10-01,5376
2012-11-01,5341
2012-12-01,5290
2013-01-01,5336
2013-02-01,5353
2013-03-01,5374
2013-04-01,5427
2013-05-01,5521
