"Date","UEMPLT5"
1948-01-01,1188
1948-02-01,1377
1948-03-01,1279
1948-04-01,1461
1948-05-01,1146
1948-06-01,1287
1948-07-01,1259
1948-08-01,1511
1948-09-01,1245
1948-10-01,1210
1948-11-01,1251
1948-12-01,1432
1949-01-01,1510
1949-02-01,1603
1949-03-01,1631
1949-04-01,1652
1949-05-01,1884
1949-06-01,1729
1949-07-01,1852
1949-08-01,1874
1949-09-01,1651
1949-10-01,2332
1949-11-01,1747
1949-12-01,1748
1950-01-01,1780
1950-02-01,1600
1950-03-01,1503
1950-04-01,1472
1950-05-01,1464
1950-06-01,1468
1950-07-01,1411
1950-08-01,1251
1950-09-01,1272
1950-10-01,1262
1950-11-01,1354
1950-12-01,1459
1951-01-01,1115
1951-02-01,1107
1951-03-01,1215
1951-04-01,1160
1951-05-01,1125
1951-06-01,1125
1951-07-01,1183
1951-08-01,1184
1951-09-01,1294
1951-10-01,1279
1951-11-01,1233
1951-12-01,1138
1952-01-01,1066
1952-02-01,1181
1952-03-01,1150
1952-04-01,1137
1952-05-01,1179
1952-06-01,1196
1952-07-01,1187
1952-08-01,1270
1952-09-01,1130
1952-10-01,1050
1952-11-01,1017
1952-12-01,1044
1953-01-01,1059
1953-02-01,1068
1953-03-01,1029
1953-04-01,1131
1953-05-01,973
1953-06-01,985
1953-07-01,1002
1953-08-01,1076
1953-09-01,1163
1953-10-01,1242
1953-11-01,1307
1953-12-01,1761
1954-01-01,1631
1954-02-01,1706
1954-03-01,1729
1954-04-01,1725
1954-05-01,1643
1954-06-01,1573
1954-07-01,1623
1954-08-01,1587
1954-09-01,1640
1954-10-01,1535
1954-11-01,1457
1954-12-01,1414
1955-01-01,1398
1955-02-01,1296
1955-03-01,1184
1955-04-01,1301
1955-05-01,1295
1955-06-01,1305
1955-07-01,1282
1955-08-01,1445
1955-09-01,1357
1955-10-01,1429
1955-11-01,1386
1955-12-01,1338
1956-01-01,1336
1956-02-01,1289
1956-03-01,1502
1956-04-01,1353
1956-05-01,1483
1956-06-01,1505
1956-07-01,1469
1956-08-01,1376
1956-09-01,1356
1956-10-01,1319
1956-11-01,1481
1956-12-01,1446
1957-01-01,1373
1957-02-01,1293
1957-03-01,1241
1957-04-01,1335
1957-05-01,1423
1957-06-01,1392
1957-07-01,1366
1957-08-01,1395
1957-09-01,1484
1957-10-01,1399
1957-11-01,1598
1957-12-01,1585
1958-01-01,1701
1958-02-01,1883
1958-03-01,1933
1958-04-01,1881
1958-05-01,1855
1958-06-01,1755
1958-07-01,1818
1958-08-01,1760
1958-09-01,1626
1958-10-01,1643
1958-11-01,1531
1958-12-01,1692
1959-01-01,1574
1959-02-01,1554
1959-03-01,1459
1959-04-01,1494
1959-05-01,1479
1959-06-01,1522
1959-07-01,1591
1959-08-01,1607
1959-09-01,1602
1959-10-01,1750
1959-11-01,1745
1959-12-01,1657
1960-01-01,1638
1960-02-01,1431
1960-03-01,1666
1960-04-01,1735
1960-05-01,1718
1960-06-01,1738
1960-07-01,1709
1960-08-01,1746
1960-09-01,1677
1960-10-01,1766
1960-11-01,1718
1960-12-01,2102
1961-01-01,1884
1961-02-01,2037
1961-03-01,1863
1961-04-01,1729
1961-05-01,1748
1961-06-01,1841
1961-07-01,1789
1961-08-01,1701
1961-09-01,1859
1961-10-01,1811
1961-11-01,1638
1961-12-01,1734
1962-01-01,1701
1962-02-01,1504
1962-03-01,1721
1962-04-01,1629
1962-05-01,1543
1962-06-01,1598
1962-07-01,1592
1962-08-01,1731
1962-09-01,1749
1962-10-01,1636
1962-11-01,1838
1962-12-01,1732
1963-01-01,1730
1963-02-01,1858
1963-03-01,1701
1963-04-01,1717
1963-05-01,1870
1963-06-01,1719
1963-07-01,1693
1963-08-01,1677
1963-09-01,1695
1963-10-01,1738
1963-11-01,1859
1963-12-01,1774
1964-01-01,1805
1964-02-01,1708
1964-03-01,1783
1964-04-01,1767
1964-05-01,1681
1964-06-01,1719
1964-07-01,1486
1964-08-01,1696
1964-09-01,1703
1964-10-01,1754
1964-11-01,1596
1964-12-01,1672
1965-01-01,1626
1965-02-01,1743
1965-03-01,1702
1965-04-01,1747
1965-05-01,1670
1965-06-01,1656
1965-07-01,1654
1965-08-01,1613
1965-09-01,1627
1965-10-01,1533
1965-11-01,1531
1965-12-01,1436
1966-01-01,1523
1966-02-01,1505
1966-03-01,1523
1966-04-01,1563
1966-05-01,1631
1966-06-01,1647
1966-07-01,1640
1966-08-01,1622
1966-09-01,1555
1966-10-01,1541
1966-11-01,1499
1966-12-01,1582
1967-01-01,1608
1967-02-01,1596
1967-03-01,1586
1967-04-01,1547
1967-05-01,1581
1967-06-01,1704
1967-07-01,1642
1967-08-01,1595
1967-09-01,1667
1967-10-01,1730
1967-11-01,1680
1967-12-01,1616
1968-01-01,1458
1968-02-01,1710
1968-03-01,1651
1968-04-01,1436
1968-05-01,1567
1968-06-01,1755
1968-07-01,1647
1968-08-01,1645
1968-09-01,1534
1968-10-01,1507
1968-11-01,1593
1968-12-01,1527
1969-01-01,1554
1969-02-01,1442
1969-03-01,1603
1969-04-01,1600
1969-05-01,1649
1969-06-01,1664
1969-07-01,1686
1969-08-01,1637
1969-09-01,1693
1969-10-01,1814
1969-11-01,1580
1969-12-01,1585
1970-01-01,1800
1970-02-01,1950
1970-03-01,1978
1970-04-01,2139
1970-05-01,2109
1970-06-01,2100
1970-07-01,2132
1970-08-01,2182
1970-09-01,2235
1970-10-01,2386
1970-11-01,2338
1970-12-01,2369
1971-01-01,2302
1971-02-01,2178
1971-03-01,2144
1971-04-01,2206
1971-05-01,2229
1971-06-01,2180
1971-07-01,2210
1971-08-01,2337
1971-09-01,2301
1971-10-01,2222
1971-11-01,2304
1971-12-01,2320
1972-01-01,2324
1972-02-01,2111
1972-03-01,2303
1972-04-01,2229
1972-05-01,2192
1972-06-01,2279
1972-07-01,2248
1972-08-01,2285
1972-09-01,2353
1972-10-01,2351
1972-11-01,2191
1972-12-01,2003
1973-01-01,2035
1973-02-01,2259
1973-03-01,2136
1973-04-01,2260
1973-05-01,2223
1973-06-01,2322
1973-07-01,2271
1973-08-01,2290
1973-09-01,2211
1973-10-01,2063
1973-11-01,2288
1973-12-01,2332
1974-01-01,2400
1974-02-01,2432
1974-03-01,2413
1974-04-01,2337
1974-05-01,2457
1974-06-01,2497
1974-07-01,2526
1974-08-01,2609
1974-09-01,2723
1974-10-01,2723
1974-11-01,3052
1974-12-01,3125
1975-01-01,3293
1975-02-01,2947
1975-03-01,3193
1975-04-01,2915
1975-05-01,3051
1975-06-01,2872
1975-07-01,2882
1975-08-01,2808
1975-09-01,2878
1975-10-01,2962
1975-11-01,2718
1975-12-01,2762
1976-01-01,2749
1976-02-01,2799
1976-03-01,2628
1976-04-01,2938
1976-05-01,2795
1976-06-01,2787
1976-07-01,2965
1976-08-01,2893
1976-09-01,2910
1976-10-01,2945
1976-11-01,2826
1976-12-01,2921
1977-01-01,2894
1977-02-01,3015
1977-03-01,2993
1977-04-01,3015
1977-05-01,2754
1977-06-01,3138
1977-07-01,2859
1977-08-01,2896
1977-09-01,2883
1977-10-01,2883
1977-11-01,2924
1977-12-01,2729
1978-01-01,2824
1978-02-01,2764
1978-03-01,2871
1978-04-01,2750
1978-05-01,2870
1978-06-01,2788
1978-07-01,3069
1978-08-01,2858
1978-09-01,2941
1978-10-01,2786
1978-11-01,2903
1978-12-01,2978
1979-01-01,2791
1979-02-01,2899
1979-03-01,2843
1979-04-01,2938
1979-05-01,2773
1979-06-01,2947
1979-07-01,2890
1979-08-01,3296
1979-09-01,2946
1979-10-01,3039
1979-11-01,3030
1979-12-01,3013
1980-01-01,3215
1980-02-01,3134
1980-03-01,3097
1980-04-01,3374
1980-05-01,3754
1980-06-01,3409
1980-07-01,3458
1980-08-01,3415
1980-09-01,3150
1980-10-01,3236
1980-11-01,3146
1980-12-01,3097
1981-01-01,3318
1981-02-01,3287
1981-03-01,3328
1981-04-01,3185
1981-05-01,3409
1981-06-01,3340
1981-07-01,3307
1981-08-01,3320
1981-09-01,3493
