"Date","LAUCN516400000000004"
1990-01-01,239
1990-02-01,217
1990-03-01,248
1990-04-01,279
1990-05-01,261
1990-06-01,254
1990-07-01,390
1990-08-01,348
1990-09-01,363
1990-10-01,260
1990-11-01,336
1990-12-01,286
1991-01-01,287
1991-02-01,529
1991-03-01,257
1991-04-01,241
1991-05-01,259
1991-06-01,244
1991-07-01,250
1991-08-01,311
1991-09-01,258
1991-10-01,216
1991-11-01,217
1991-12-01,202
1992-01-01,288
1992-02-01,215
1992-03-01,263
1992-04-01,230
1992-05-01,231
1992-06-01,238
1992-07-01,235
1992-08-01,246
1992-09-01,214
1992-10-01,153
1992-11-01,158
1992-12-01,176
1993-01-01,148
1993-02-01,134
1993-03-01,159
1993-04-01,119
1993-05-01,160
1993-06-01,189
1993-07-01,139
1993-08-01,126
1993-09-01,122
1993-10-01,145
1993-11-01,112
1993-12-01,130
1994-01-01,159
1994-02-01,102
1994-03-01,125
1994-04-01,99
1994-05-01,139
1994-06-01,134
1994-07-01,131
1994-08-01,118
1994-09-01,138
1994-10-01,155
1994-11-01,178
1994-12-01,124
1995-01-01,145
1995-02-01,149
1995-03-01,103
1995-04-01,94
1995-05-01,89
1995-06-01,154
1995-07-01,120
1995-08-01,142
1995-09-01,142
1995-10-01,119
1995-11-01,154
1995-12-01,161
1996-01-01,236
1996-02-01,176
1996-03-01,150
1996-04-01,149
1996-05-01,186
1996-06-01,175
1996-07-01,158
1996-08-01,146
1996-09-01,131
1996-10-01,125
1996-11-01,108
1996-12-01,138
1997-01-01,151
1997-02-01,150
1997-03-01,107
1997-04-01,62
1997-05-01,62
1997-06-01,97
1997-07-01,205
1997-08-01,88
1997-09-01,81
1997-10-01,80
1997-11-01,60
1997-12-01,69
1998-01-01,81
1998-02-01,88
1998-03-01,60
1998-04-01,206
1998-05-01,65
1998-06-01,102
1998-07-01,111
1998-08-01,116
1998-09-01,102
1998-10-01,97
1998-11-01,98
1998-12-01,112
1999-01-01,119
1999-02-01,123
1999-03-01,110
1999-04-01,78
1999-05-01,146
