"Date","LAUCN361110000000004"
1990-01-01,3108
1990-02-01,3345
1990-03-01,3025
1990-04-01,2753
1990-05-01,2613
1990-06-01,2744
1990-07-01,3100
1990-08-01,3117
1990-09-01,3055
1990-10-01,2936
1990-11-01,3394
1990-12-01,4009
1991-01-01,4935
1991-02-01,5399
1991-03-01,5222
1991-04-01,4778
1991-05-01,5039
1991-06-01,5412
1991-07-01,5526
1991-08-01,5297
1991-09-01,4885
1991-10-01,4591
1991-11-01,4426
1991-12-01,5051
1992-01-01,6174
1992-02-01,6386
1992-03-01,5912
1992-04-01,5326
1992-05-01,5437
1992-06-01,5912
1992-07-01,5797
1992-08-01,5779
1992-09-01,5588
1992-10-01,4954
1992-11-01,5359
1992-12-01,5475
1993-01-01,6522
1993-02-01,6437
1993-03-01,5820
1993-04-01,5434
1993-05-01,5828
1993-06-01,7046
1993-07-01,6621
1993-08-01,6550
1993-09-01,6303
1993-10-01,6110
1993-11-01,5781
1993-12-01,5821
1994-01-01,6594
1994-02-01,6625
1994-03-01,6155
1994-04-01,5583
1994-05-01,5132
1994-06-01,5566
1994-07-01,5612
1994-08-01,5200
1994-09-01,4538
1994-10-01,4275
1994-11-01,4151
1994-12-01,4202
1995-01-01,5151
1995-02-01,5004
1995-03-01,4665
1995-04-01,4472
1995-05-01,4166
1995-06-01,4216
1995-07-01,4613
1995-08-01,4478
1995-09-01,3864
1995-10-01,3385
1995-11-01,3511
1995-12-01,3648
1996-01-01,4598
1996-02-01,4486
1996-03-01,4179
1996-04-01,3555
1996-05-01,3536
1996-06-01,3571
1996-07-01,3817
1996-08-01,3279
1996-09-01,2767
1996-10-01,2681
1996-11-01,2787
1996-12-01,2962
1997-01-01,3923
1997-02-01,3865
1997-03-01,3756
1997-04-01,3140
1997-05-01,2952
1997-06-01,3386
1997-07-01,4010
1997-08-01,3650
1997-09-01,3151
1997-10-01,2693
1997-11-01,2799
1997-12-01,2968
1998-01-01,3572
1998-02-01,3436
1998-03-01,2983
1998-04-01,2485
1998-05-01,2477
1998-06-01,2739
1998-07-01,3159
1998-08-01,3110
1998-09-01,2970
1998-10-01,2471
1998-11-01,2558
1998-12-01,2610
1999-01-01,3442
1999-02-01,3448
1999-03-01,3118
1999-04-01,2733
1999-05-01,2479
1999-06-01,2864
1999-07-01,3443
