"Date","LAUCN360870000000004"
1990-01-01,4332
1990-02-01,4537
1990-03-01,4101
1990-04-01,4103
1990-05-01,4245
1990-06-01,4706
1990-07-01,5332
1990-08-01,5451
1990-09-01,5472
1990-10-01,5279
1990-11-01,4962
1990-12-01,5313
1991-01-01,6652
1991-02-01,7186
1991-03-01,7169
1991-04-01,7023
1991-05-01,8230
1991-06-01,8500
1991-07-01,9500
1991-08-01,9075
1991-09-01,8932
1991-10-01,8073
1991-11-01,8097
1991-12-01,7960
1992-01-01,9437
1992-02-01,9594
1992-03-01,8847
1992-04-01,8481
1992-05-01,9050
1992-06-01,10146
1992-07-01,10531
1992-08-01,10029
1992-09-01,9709
1992-10-01,8784
1992-11-01,8441
1992-12-01,8056
1993-01-01,9171
1993-02-01,9003
1993-03-01,8366
1993-04-01,8075
1993-05-01,9158
1993-06-01,10040
1993-07-01,10381
1993-08-01,10001
1993-09-01,9451
1993-10-01,8857
1993-11-01,8079
1993-12-01,7603
1994-01-01,8592
1994-02-01,8637
1994-03-01,7877
1994-04-01,7214
1994-05-01,7148
1994-06-01,7938
1994-07-01,8460
1994-08-01,8278
1994-09-01,7636
1994-10-01,6983
1994-11-01,6594
1994-12-01,5955
1995-01-01,6982
1995-02-01,6730
1995-03-01,6531
1995-04-01,6789
1995-05-01,6734
1995-06-01,7347
1995-07-01,8227
1995-08-01,7941
1995-09-01,7279
1995-10-01,6500
1995-11-01,5817
1995-12-01,5616
1996-01-01,6581
1996-02-01,6256
1996-03-01,6032
1996-04-01,5792
1996-05-01,6145
1996-06-01,6482
1996-07-01,7281
1996-08-01,6387
1996-09-01,5929
1996-10-01,5572
1996-11-01,5339
1996-12-01,5256
1997-01-01,6050
1997-02-01,6004
1997-03-01,5641
1997-04-01,5071
1997-05-01,5559
1997-06-01,6258
1997-07-01,6891
1997-08-01,6574
1997-09-01,6285
1997-10-01,5736
1997-11-01,5006
1997-12-01,4689
1998-01-01,5247
1998-02-01,5331
1998-03-01,5004
1998-04-01,4701
1998-05-01,4736
1998-06-01,5317
1998-07-01,5443
1998-08-01,5553
1998-09-01,5383
1998-10-01,4710
1998-11-01,4347
1998-12-01,3999
1999-01-01,5012
1999-02-01,5191
1999-03-01,4746
1999-04-01,4662
1999-05-01,4776
1999-06-01,5601
1999-07-01,6213
1999-08-01,5720
1999-09-01,5337
1999-10-01,4797
1999-11-01,4475
1999-12-01,4015
