"Date","LAUCN132630000000004"
1990-01-01,200
1990-02-01,159
1990-03-01,147
1990-04-01,145
1990-05-01,160
1990-06-01,177
1990-07-01,170
1990-08-01,179
1990-09-01,199
1990-10-01,336
1990-11-01,216
1990-12-01,253
1991-01-01,188
1991-02-01,240
1991-03-01,143
1991-04-01,134
1991-05-01,125
1991-06-01,158
1991-07-01,203
1991-08-01,164
1991-09-01,140
1991-10-01,139
1991-11-01,163
1991-12-01,165
1992-01-01,196
1992-02-01,240
1992-03-01,190
1992-04-01,222
1992-05-01,257
1992-06-01,310
1992-07-01,238
1992-08-01,282
1992-09-01,247
1992-10-01,209
1992-11-01,203
1992-12-01,211
1993-01-01,204
1993-02-01,225
1993-03-01,195
1993-04-01,189
1993-05-01,198
1993-06-01,229
1993-07-01,229
1993-08-01,191
1993-09-01,165
1993-10-01,194
1993-11-01,166
1993-12-01,179
1994-01-01,276
1994-02-01,190
1994-03-01,145
1994-04-01,168
1994-05-01,186
1994-06-01,202
1994-07-01,186
1994-08-01,190
1994-09-01,142
1994-10-01,148
1994-11-01,132
1994-12-01,114
1995-01-01,144
1995-02-01,140
1995-03-01,134
1995-04-01,145
1995-05-01,166
1995-06-01,153
1995-07-01,322
1995-08-01,334
1995-09-01,352
1995-10-01,369
1995-11-01,284
1995-12-01,185
1996-01-01,197
1996-02-01,197
1996-03-01,244
1996-04-01,152
1996-05-01,200
1996-06-01,210
1996-07-01,201
1996-08-01,175
1996-09-01,160
1996-10-01,179
1996-11-01,217
1996-12-01,797
1997-01-01,260
1997-02-01,194
1997-03-01,173
1997-04-01,148
1997-05-01,142
1997-06-01,171
1997-07-01,188
1997-08-01,160
1997-09-01,167
1997-10-01,164
1997-11-01,157
1997-12-01,153
1998-01-01,139
1998-02-01,119
1998-03-01,117
1998-04-01,116
1998-05-01,122
1998-06-01,164
1998-07-01,131
1998-08-01,136
1998-09-01,148
1998-10-01,158
1998-11-01,125
1998-12-01,140
1999-01-01,227
1999-02-01,165
1999-03-01,148
1999-04-01,144
1999-05-01,144
1999-06-01,145
1999-07-01,148
1999-08-01,169
1999-09-01,244
1999-10-01,231
1999-11-01,172
1999-12-01,188
2000-01-01,170
2000-02-01,157
2000-03-01,170
2000-04-01,161
2000-05-01,149
2000-06-01,160
2000-07-01,155
2000-08-01,159
2000-09-01,152
2000-10-01,138
2000-11-01,139
2000-12-01,131
2001-01-01,156
2001-02-01,157
2001-03-01,154
2001-04-01,175
2001-05-01,137
2001-06-01,192
2001-07-01,195
2001-08-01,197
2001-09-01,185
2001-10-01,227
2001-11-01,173
2001-12-01,194
2002-01-01,201
2002-02-01,188
2002-03-01,190
2002-04-01,181
2002-05-01,170
2002-06-01,178
2002-07-01,175
2002-08-01,184
2002-09-01,146
2002-10-01,151
2002-11-01,150
2002-12-01,174
2003-01-01,166
2003-02-01,149
2003-03-01,179
2003-04-01,175
2003-05-01,191
2003-06-01,231
2003-07-01,217
2003-08-01,217
2003-09-01,193
2003-10-01,188
2003-11-01,169
2003-12-01,161
2004-01-01,182
2004-02-01,167
2004-03-01,158
2004-04-01,178
2004-05-01,187
2004-06-01,211
2004-07-01,208
2004-08-01,214
2004-09-01,206
2004-10-01,206
2004-11-01,241
2004-12-01,230
2005-01-01,226
2005-02-01,235
2005-03-01,206
