"Date","CASAND5LFN"
1990-01-01,1200973
1990-02-01,1213512
1990-03-01,1216744
1990-04-01,1207698
1990-05-01,1212978
1990-06-01,1216425
1990-07-01,1221258
1990-08-01,1223476
1990-09-01,1212665
1990-10-01,1220775
1990-11-01,1217368
1990-12-01,1213176
1991-01-01,1212188
1991-02-01,1214982
1991-03-01,1213326
1991-04-01,1209104
1991-05-01,1208408
1991-06-01,1219389
1991-07-01,1220100
1991-08-01,1211616
1991-09-01,1203496
1991-10-01,1204892
1991-11-01,1200972
1991-12-01,1199279
1992-01-01,1204883
1992-02-01,1209643
1992-03-01,1210404
1992-04-01,1202496
1992-05-01,1204942
1992-06-01,1223003
1992-07-01,1226778
1992-08-01,1219927
1992-09-01,1208595
1992-10-01,1213404
1992-11-01,1218421
1992-12-01,1214758
1993-01-01,1218241
1993-02-01,1217911
1993-03-01,1212307
1993-04-01,1204789
1993-05-01,1208671
1993-06-01,1225621
1993-07-01,1231047
1993-08-01,1228255
1993-09-01,1209074
1993-10-01,1223303
1993-11-01,1221250
1993-12-01,1216326
1994-01-01,1228688
1994-02-01,1230525
1994-03-01,1226866
1994-04-01,1219398
1994-05-01,1220025
1994-06-01,1232788
1994-07-01,1235723
1994-08-01,1235834
1994-09-01,1221532
1994-10-01,1229147
1994-11-01,1221090
1994-12-01,1220323
1995-01-01,1218079
1995-02-01,1221234
1995-03-01,1223567
1995-04-01,1226691
1995-05-01,1221173
1995-06-01,1231540
1995-07-01,1238923
1995-08-01,1235443
1995-09-01,1220048
1995-10-01,1228482
1995-11-01,1224425
1995-12-01,1214407
1996-01-01,1212818
1996-02-01,1218186
1996-03-01,1219224
1996-04-01,1215759
1996-05-01,1222412
1996-06-01,1234074
1996-07-01,1249926
1996-08-01,1245633
1996-09-01,1235078
1996-10-01,1251200
1996-11-01,1248977
1996-12-01,1249452
1997-01-01,1254127
1997-02-01,1256334
1997-03-01,1262959
1997-04-01,1255763
1997-05-01,1260961
1997-06-01,1275946
1997-07-01,1287410
1997-08-01,1290537
1997-09-01,1279896
1997-10-01,1290166
1997-11-01,1293736
1997-12-01,1295494
1998-01-01,1289876
1998-02-01,1299799
1998-03-01,1299555
1998-04-01,1299858
1998-05-01,1306593
1998-06-01,1312712
1998-07-01,1320058
1998-08-01,1321144
1998-09-01,1316415
1998-10-01,1333808
1998-11-01,1331746
1998-12-01,1338635
1999-01-01,1340322
1999-02-01,1344830
1999-03-01,1346925
1999-04-01,1346641
1999-05-01,1348003
1999-06-01,1353851
1999-07-01,1356633
1999-08-01,1351420
1999-09-01,1346863
1999-10-01,1367604
1999-11-01,1369341
1999-12-01,1373348
2000-01-01,1367269
2000-02-01,1375910
2000-03-01,1380114
2000-04-01,1368977
2000-05-01,1366108
2000-06-01,1373388
2000-07-01,1371359
2000-08-01,1370130
2000-09-01,1365246
2000-10-01,1385756
2000-11-01,1385397
2000-12-01,1393026
2001-01-01,1393676
2001-02-01,1396807
2001-03-01,1398017
2001-04-01,1393352
2001-05-01,1393652
2001-06-01,1401813
2001-07-01,1405931
2001-08-01,1400279
