"Date","LAUMT134066000000004"
1990-01-01,3162
1990-02-01,2964
1990-03-01,2973
1990-04-01,2767
1990-05-01,3889
1990-06-01,3030
1990-07-01,5167
1990-08-01,2855
1990-09-01,2754
1990-10-01,2600
1990-11-01,3044
1990-12-01,3167
1991-01-01,3472
1991-02-01,3066
1991-03-01,2585
1991-04-01,2742
1991-05-01,2503
1991-06-01,2745
1991-07-01,2437
1991-08-01,2336
1991-09-01,2136
1991-10-01,2201
1991-11-01,2063
1991-12-01,2119
1992-01-01,2997
1992-02-01,3437
1992-03-01,3341
1992-04-01,2826
1992-05-01,2834
1992-06-01,3478
1992-07-01,3382
1992-08-01,2983
1992-09-01,2504
1992-10-01,2580
1992-11-01,2593
1992-12-01,2659
1993-01-01,3437
1993-02-01,3174
1993-03-01,3214
1993-04-01,3192
1993-05-01,2936
1993-06-01,3189
1993-07-01,2895
1993-08-01,2647
1993-09-01,2281
1993-10-01,2219
1993-11-01,2454
1993-12-01,2317
1994-01-01,2911
1994-02-01,2607
1994-03-01,2478
1994-04-01,2059
1994-05-01,1893
1994-06-01,2459
1994-07-01,1988
1994-08-01,2391
1994-09-01,2159
1994-10-01,1948
1994-11-01,1748
1994-12-01,1978
1995-01-01,2442
1995-02-01,2763
1995-03-01,2212
1995-04-01,2349
1995-05-01,2223
1995-06-01,2853
1995-07-01,2872
1995-08-01,2479
1995-09-01,2407
1995-10-01,2018
1995-11-01,2092
1995-12-01,2017
1996-01-01,2545
1996-02-01,2423
1996-03-01,2346
1996-04-01,2603
1996-05-01,2275
1996-06-01,2606
1996-07-01,3037
1996-08-01,2160
1996-09-01,1992
1996-10-01,2096
1996-11-01,1998
1996-12-01,2172
1997-01-01,2495
1997-02-01,2353
1997-03-01,2208
1997-04-01,2070
1997-05-01,2201
1997-06-01,2493
1997-07-01,2869
1997-08-01,2103
1997-09-01,1900
1997-10-01,1698
1997-11-01,1592
1997-12-01,1770
1998-01-01,2070
1998-02-01,2073
1998-03-01,2338
1998-04-01,1872
1998-05-01,2047
1998-06-01,2261
1998-07-01,2131
1998-08-01,2087
1998-09-01,2100
1998-10-01,1764
1998-11-01,1681
1998-12-01,1595
1999-01-01,2162
1999-02-01,2252
1999-03-01,2277
1999-04-01,2339
1999-05-01,2237
1999-06-01,2578
1999-07-01,2335
1999-08-01,2149
1999-09-01,1845
1999-10-01,1879
1999-11-01,1627
1999-12-01,1560
2000-01-01,1804
2000-02-01,1781
2000-03-01,1687
2000-04-01,1533
2000-05-01,1700
2000-06-01,1988
2000-07-01,1843
2000-08-01,1800
2000-09-01,1528
2000-10-01,1488
2000-11-01,1408
2000-12-01,1697
2001-01-01,2047
2001-02-01,2001
2001-03-01,2001
2001-04-01,2019
2001-05-01,1776
2001-06-01,2109
2001-07-01,1937
2001-08-01,2055
2001-09-01,1886
2001-10-01,2254
2001-11-01,2223
2001-12-01,2309
2002-01-01,3018
2002-02-01,2465
2002-03-01,2574
2002-04-01,2302
2002-05-01,2435
2002-06-01,2714
2002-07-01,2490
2002-08-01,2465
2002-09-01,2261
2002-10-01,2338
2002-11-01,2296
2002-12-01,2448
2003-01-01,2552
2003-02-01,2449
2003-03-01,2574
2003-04-01,2297
2003-05-01,2691
2003-06-01,2937
2003-07-01,3044
2003-08-01,2507
2003-09-01,2296
2003-10-01,2092
2003-11-01,2034
2003-12-01,1966
2004-01-01,2116
2004-02-01,2496
2004-03-01,2083
2004-04-01,1962
2004-05-01,2170
2004-06-01,2610
2004-07-01,2578
2004-08-01,2796
2004-09-01,2780
2004-10-01,2770
2004-11-01,2842
2004-12-01,2892
2005-01-01,2884
2005-02-01,3100
2005-03-01,2804
2005-04-01,2751
2005-05-01,2874
2005-06-01,3075
2005-07-01,3009
2005-08-01,2795
2005-09-01,2713
2005-10-01,2492
2005-11-01,2457
2005-12-01,2371
2006-01-01,2486
2006-02-01,2517
2006-03-01,2306
2006-04-01,2176
2006-05-01,2422
2006-06-01,2613
2006-07-01,2682
2006-08-01,2479
2006-09-01,2302
2006-10-01,2224
2006-11-01,2215
2006-12-01,2192
2007-01-01,2393
2007-02-01,2362
2007-03-01,2673
2007-04-01,2447
2007-05-01,2445
2007-06-01,2646
2007-07-01,2656
2007-08-01,2591
2007-09-01,2567
2007-10-01,2559
2007-11-01,2488
2007-12-01,2703
2008-01-01,2909
2008-02-01,3034
2008-03-01,2956
2008-04-01,2816
2008-05-01,3268
2008-06-01,3491
2008-07-01,3897
2008-08-01,3779
2008-09-01,3715
2008-10-01,4049
2008-11-01,3928
2008-12-01,4271
2009-01-01,4825
2009-02-01,5058
2009-03-01,5423
2009-04-01,5236
2009-05-01,5390
2009-06-01,5938
2009-07-01,5789
2009-08-01,5807
2009-09-01,5684
2009-10-01,5663
2009-11-01,5472
2009-12-01,5502
2010-01-01,5577
2010-02-01,5413
2010-03-01,5498
2010-04-01,5137
2010-05-01,5332
2010-06-01,5562
2010-07-01,5574
2010-08-01,5616
2010-09-01,5352
2010-10-01,5307
2010-11-01,5469
2010-12-01,5397
2011-01-01,5532
2011-02-01,5277
2011-03-01,5097
2011-04-01,5056
2011-05-01,5334
2011-06-01,5575
2011-07-01,5596
2011-08-01,5661
2011-09-01,5488
2011-10-01,5458
2011-11-01,5180
2011-12-01,5095
2012-01-01,5326
2012-02-01,5228
2012-03-01,5030
2012-04-01,4746
2012-05-01,4898
2012-06-01,5046
2012-07-01,5041
2012-08-01,4766
2012-09-01,4435
2012-10-01,4530
2012-11-01,4267
2012-12-01,4394
2013-01-01,4835
2013-02-01,4377
2013-03-01,4190
2013-04-01,3947
2013-05-01,4137
