"Date","LNU03008396"
1948-01-01,1415
1948-02-01,1450
1948-03-01,1206
1948-04-01,1258
1948-05-01,1051
1948-06-01,1573
1948-07-01,1479
1948-08-01,1389
1948-09-01,1206
1948-10-01,1007
1948-11-01,1254
1948-12-01,1310
1949-01-01,1798
1949-02-01,1688
1949-03-01,1538
1949-04-01,1419
1949-05-01,1726
1949-06-01,2113
1949-07-01,2154
1949-08-01,1743
1949-09-01,1611
1949-10-01,1945
1949-11-01,1744
1949-12-01,1598
1950-01-01,2120
1950-02-01,1688
1950-03-01,1417
1950-04-01,1276
1950-05-01,1335
1950-06-01,1792
1950-07-01,1617
1950-08-01,1160
1950-09-01,1252
1950-10-01,1063
1950-11-01,1353
1950-12-01,1331
1951-01-01,1329
1951-02-01,1166
1951-03-01,1146
1951-04-01,1013
1951-05-01,1024
1951-06-01,1368
1951-07-01,1338
1951-08-01,1098
1951-09-01,1284
1951-10-01,1082
1951-11-01,1234
1951-12-01,1042
1952-01-01,1272
1952-02-01,1236
1952-03-01,1078
1952-04-01,998
1952-05-01,1076
1952-06-01,1454
1952-07-01,1312
1952-08-01,1186
1952-09-01,1120
1952-10-01,900
1952-11-01,1026
1952-12-01,958
1953-01-01,1258
1953-02-01,1106
1953-03-01,966
1953-04-01,1000
1953-05-01,886
1953-06-01,1212
1953-07-01,1086
1953-08-01,996
1953-09-01,1150
1953-10-01,1061
1953-11-01,1333
1953-12-01,1652
1954-01-01,1931
1954-02-01,1749
1954-03-01,1611
1954-04-01,1539
1954-05-01,1512
1954-06-01,1957
1954-07-01,1725
1954-08-01,1481
1954-09-01,1617
1954-10-01,1312
1954-11-01,1491
1954-12-01,1333
1955-01-01,1652
1955-02-01,1325
1955-03-01,1086
1955-04-01,1159
1955-05-01,1197
1955-06-01,1647
1955-07-01,1347
1955-08-01,1355
1955-09-01,1312
1955-10-01,1223
1955-11-01,1418
1955-12-01,1294
1956-01-01,1580
1956-02-01,1303
1956-03-01,1356
1956-04-01,1207
1956-05-01,1369
1956-06-01,1928
1956-07-01,1532
1956-08-01,1281
1956-09-01,1290
1956-10-01,1146
1956-11-01,1536
1956-12-01,1411
1957-01-01,1608
1957-02-01,1299
1957-03-01,1107
1957-04-01,1187
1957-05-01,1316
1957-06-01,1822
1957-07-01,1418
1957-08-01,1303
1957-09-01,1392
1957-10-01,1228
1957-11-01,1663
1957-12-01,1552
1958-01-01,1978
1958-02-01,1892
1958-03-01,1711
1958-04-01,1657
1958-05-01,1705
1958-06-01,2354
1958-07-01,1874
1958-08-01,1635
1958-09-01,1517
1958-10-01,1466
1958-11-01,1585
1958-12-01,1667
1959-01-01,1816
1959-02-01,1549
1959-03-01,1301
1959-04-01,1313
1959-05-01,1343
1959-06-01,2073
1959-07-01,1634
1959-08-01,1488
1959-09-01,1503
1959-10-01,1566
1959-11-01,1811
1959-12-01,1627
1960-01-01,1879
1960-02-01,1432
1960-03-01,1474
1960-04-01,1527
1960-05-01,1558
1960-06-01,2403
1960-07-01,1740
1960-08-01,1620
1960-09-01,1583
1960-10-01,1595
1960-11-01,1775
1960-12-01,2037
1961-01-01,2150
1961-02-01,2011
1961-03-01,1656
1961-04-01,1523
1961-05-01,1575
1961-06-01,2590
1961-07-01,1818
1961-08-01,1582
1961-09-01,1762
1961-10-01,1652
1961-11-01,1676
1961-12-01,1673
1962-01-01,1931
1962-02-01,1457
1962-03-01,1520
1962-04-01,1443
1962-05-01,1396
1962-06-01,2292
1962-07-01,1616
1962-08-01,1610
1962-09-01,1681
1962-10-01,1487
1962-11-01,1886
1962-12-01,1640
1963-01-01,1952
1963-02-01,1767
1963-03-01,1495
1963-04-01,1526
1963-05-01,1717
1963-06-01,2510
1963-07-01,1725
1963-08-01,1568
1963-09-01,1637
1963-10-01,1564
1963-11-01,1878
1963-12-01,1675
1964-01-01,2022
1964-02-01,1607
1964-03-01,1551
1964-04-01,1569
1964-05-01,1560
1964-06-01,2542
1964-07-01,1531
