"Date","LASST060000000000004"
1976-01-01,898595
1976-02-01,897332
1976-03-01,892831
1976-04-01,886361
1976-05-01,882696
1976-06-01,884632
1976-07-01,893227
1976-08-01,906286
1976-09-01,919485
1976-10-01,930552
1976-11-01,937548
1976-12-01,938342
1977-01-01,933537
1977-02-01,923674
1977-03-01,910094
1977-04-01,895460
1977-05-01,881611
1977-06-01,869805
1977-07-01,859736
1977-08-01,850552
1977-09-01,841050
1977-10-01,830891
1977-11-01,821459
1977-12-01,814451
1978-01-01,809147
1978-02-01,805631
1978-03-01,803923
1978-04-01,802084
1978-05-01,798320
1978-06-01,790513
1978-07-01,779617
1978-08-01,768403
1978-09-01,757960
1978-10-01,748737
1978-11-01,740645
1978-12-01,733440
1979-01-01,726457
1979-02-01,717924
1979-03-01,707508
1979-04-01,697831
1979-05-01,691611
1979-06-01,690477
1979-07-01,692861
1979-08-01,696620
1979-09-01,700770
1979-10-01,703129
1979-11-01,703118
1979-12-01,703953
1980-01-01,710003
1980-02-01,724322
1980-03-01,747493
1980-04-01,775699
1980-05-01,803762
1980-06-01,827326
1980-07-01,842028
1980-08-01,846142
1980-09-01,842515
1980-10-01,836479
1980-11-01,831681
1980-12-01,829210
1981-01-01,829608
1981-02-01,831802
1981-03-01,832942
1981-04-01,832256
1981-05-01,831634
1981-06-01,834322
1981-07-01,845226
1981-08-01,866696
1981-09-01,897077
1981-10-01,934225
1981-11-01,975514
1981-12-01,1017756
1982-01-01,1056846
1982-02-01,1092597
1982-03-01,1126322
1982-04-01,1158103
1982-05-01,1187432
1982-06-01,1214905
1982-07-01,1242401
1982-08-01,1271017
1982-09-01,1300229
1982-10-01,1327136
1982-11-01,1347378
1982-12-01,1356607
1983-01-01,1354787
1983-02-01,1341885
1983-03-01,1319426
1983-04-01,1292107
1983-05-01,1262857
1983-06-01,1232023
1983-07-01,1199097
1983-08-01,1164749
1983-09-01,1130139
1983-10-01,1096763
1983-11-01,1067493
1983-12-01,1044338
1984-01-01,1025402
1984-02-01,1009058
1984-03-01,996186
1984-04-01,986151
1984-05-01,979403
1984-06-01,975144
1984-07-01,971236
1984-08-01,967359
1984-09-01,963640
1984-10-01,959189
1984-11-01,953550
1984-12-01,947594
1985-01-01,943463
1985-02-01,942498
1985-03-01,942993
1985-04-01,943405
1985-05-01,943569
1985-06-01,943307
1985-07-01,942279
1985-08-01,937116
1985-09-01,927229
1985-10-01,916132
1985-11-01,906621
1985-12-01,900768
1986-01-01,899769
1986-02-01,903042
1986-03-01,908185
1986-04-01,912577
1986-05-01,913488
1986-06-01,910857
1986-07-01,906215
1986-08-01,901572
1986-09-01,897776
1986-10-01,893606
1986-11-01,888622
1986-12-01,881804
1987-01-01,871922
1987-02-01,858285
1987-03-01,842221
1987-04-01,825110
1987-05-01,808354
1987-06-01,793963
1987-07-01,782832
1987-08-01,775387
1987-09-01,770534
