"Date","LAUCN280330000000005"
1990-01-01,34688
1990-02-01,35093
1990-03-01,35307
1990-04-01,35389
1990-05-01,35228
1990-06-01,35820
1990-07-01,36220
1990-08-01,35448
1990-09-01,35037
1990-10-01,34298
1990-11-01,34906
1990-12-01,35300
1991-01-01,35215
1991-02-01,35579
1991-03-01,35765
1991-04-01,35965
1991-05-01,35832
1991-06-01,36179
1991-07-01,36560
1991-08-01,35770
1991-09-01,35735
1991-10-01,35387
1991-11-01,35430
1991-12-01,35392
1992-01-01,35374
1992-02-01,35672
1992-03-01,36105
1992-04-01,35922
1992-05-01,36218
1992-06-01,36766
1992-07-01,37569
1992-08-01,36979
1992-09-01,36700
1992-10-01,36369
1992-11-01,36558
1992-12-01,36536
1993-01-01,36461
1993-02-01,37073
1993-03-01,37313
1993-04-01,37168
1993-05-01,37595
1993-06-01,38040
1993-07-01,38959
1993-08-01,37820
1993-09-01,37979
1993-10-01,37585
1993-11-01,37853
1993-12-01,37908
1994-01-01,38275
1994-02-01,38371
1994-03-01,38335
1994-04-01,38743
1994-05-01,39377
1994-06-01,39893
1994-07-01,40551
1994-08-01,40254
1994-09-01,40583
1994-10-01,40833
1994-11-01,41271
1994-12-01,41395
1995-01-01,41535
1995-02-01,42179
1995-03-01,42557
1995-04-01,42210
1995-05-01,42439
1995-06-01,42741
1995-07-01,43752
1995-08-01,42993
1995-09-01,42880
1995-10-01,42968
1995-11-01,43877
1995-12-01,43963
1996-01-01,44022
1996-02-01,44652
1996-03-01,45430
1996-04-01,44372
1996-05-01,44993
1996-06-01,45501
1996-07-01,45990
1996-08-01,45910
1996-09-01,45659
1996-10-01,46197
1996-11-01,46803
1996-12-01,47143
1997-01-01,47216
1997-02-01,47468
1997-03-01,48330
1997-04-01,48402
1997-05-01,48558
1997-06-01,48758
1997-07-01,49309
1997-08-01,49052
1997-09-01,48472
1997-10-01,48483
1997-11-01,49273
1997-12-01,49340
1998-01-01,49417
1998-02-01,49944
1998-03-01,50780
1998-04-01,51321
1998-05-01,51807
1998-06-01,52077
1998-07-01,52070
1998-08-01,51935
1998-09-01,52079
1998-10-01,51759
1998-11-01,52405
1998-12-01,52859
1999-01-01,52088
1999-02-01,52978
1999-03-01,53182
1999-04-01,52759
1999-05-01,53208
1999-06-01,53582
1999-07-01,53882
1999-08-01,53270
1999-09-01,53655
1999-10-01,53839
1999-11-01,54505
1999-12-01,55421
2000-01-01,56028
2000-02-01,56985
2000-03-01,57544
2000-04-01,57618
2000-05-01,57436
2000-06-01,57960
2000-07-01,58160
2000-08-01,57920
2000-09-01,57194
2000-10-01,57203
2000-11-01,57386
2000-12-01,57617
2001-01-01,59064
2001-02-01,59183
2001-03-01,59198
2001-04-01,59994
2001-05-01,59831
2001-06-01,59765
2001-07-01,59977
2001-08-01,58777
2001-09-01,58691
2001-10-01,58344
2001-11-01,58305
2001-12-01,58725
2002-01-01,59041
2002-02-01,59963
2002-03-01,59788
2002-04-01,60144
2002-05-01,59726
2002-06-01,59998
2002-07-01,60355
2002-08-01,59910
2002-09-01,60233
2002-10-01,60352
2002-11-01,60625
2002-12-01,60949
2003-01-01,62737
2003-02-01,63592
2003-03-01,63811
2003-04-01,63341
2003-05-01,63042
2003-06-01,63064
2003-07-01,63599
2003-08-01,63002
2003-09-01,63156
2003-10-01,63172
2003-11-01,63839
2003-12-01,64255
2004-01-01,65534
2004-02-01,66147
2004-03-01,66447
2004-04-01,66661
2004-05-01,66044
2004-06-01,66593
2004-07-01,67134
2004-08-01,66257
2004-09-01,66020
2004-10-01,65713
2004-11-01,66396
2004-12-01,66705
2005-01-01,67497
2005-02-01,67922
2005-03-01,68364
2005-04-01,68668
2005-05-01,68624
2005-06-01,68780
2005-07-01,69937
2005-08-01,69636
2005-09-01,68285
2005-10-01,67389
2005-11-01,67920
2005-12-01,68542
2006-01-01,69838
2006-02-01,69683
2006-03-01,69780
2006-04-01,69700
2006-05-01,70174
2006-06-01,70354
2006-07-01,71453
2006-08-01,70821
2006-09-01,70452
2006-10-01,71046
2006-11-01,71596
2006-12-01,72220
2007-01-01,72150
2007-02-01,71692
2007-03-01,72419
2007-04-01,72834
2007-05-01,73188
2007-06-01,73693
2007-07-01,74373
2007-08-01,73153
2007-09-01,72940
2007-10-01,73206
2007-11-01,74230
2007-12-01,74295
2008-01-01,74194
2008-02-01,73536
2008-03-01,73535
2008-04-01,74412
2008-05-01,74394
2008-06-01,74714
2008-07-01,75676
2008-08-01,74245
2008-09-01,74106
2008-10-01,73633
2008-11-01,73238
2008-12-01,73403
2009-01-01,72092
2009-02-01,71835
2009-03-01,71510
2009-04-01,71550
2009-05-01,70666
2009-06-01,70974
2009-07-01,71531
2009-08-01,70585
2009-09-01,70170
2009-10-01,70063
2009-11-01,70463
2009-12-01,69912
2010-01-01,70507
2010-02-01,70802
2010-03-01,70887
2010-04-01,71944
2010-05-01,72344
2010-06-01,74642
2010-07-01,76149
2010-08-01,76113
2010-09-01,75889
2010-10-01,76231
2010-11-01,76527
2010-12-01,76700
2011-01-01,76252
2011-02-01,76480
2011-03-01,76115
2011-04-01,77535
2011-05-01,77564
2011-06-01,77778
2011-07-01,78356
2011-08-01,77573
2011-09-01,77653
2011-10-01,78123
2011-11-01,78496
2011-12-01,78547
2012-01-01,77643
2012-02-01,77711
2012-03-01,77365
2012-04-01,78245
2012-05-01,78491
2012-06-01,79073
2012-07-01,79424
2012-08-01,78599
2012-09-01,78719
2012-10-01,79539
