"Date","WIBAYF7LFN"
1990-01-01,6715
1990-02-01,6723
1990-03-01,6636
1990-04-01,6474
1990-05-01,6636
1990-06-01,6922
1990-07-01,6708
1990-08-01,6812
1990-09-01,6625
1990-10-01,6645
1990-11-01,6542
1990-12-01,6478
1991-01-01,6537
1991-02-01,6574
1991-03-01,6513
1991-04-01,6584
1991-05-01,6507
1991-06-01,6908
1991-07-01,6796
1991-08-01,6892
1991-09-01,6724
1991-10-01,6632
1991-11-01,6628
1991-12-01,6542
1992-01-01,6558
1992-02-01,6703
1992-03-01,6762
1992-04-01,6658
1992-05-01,6842
1992-06-01,7150
1992-07-01,7038
1992-08-01,7045
1992-09-01,6941
1992-10-01,6953
1992-11-01,6930
1992-12-01,6828
1993-01-01,6882
1993-02-01,6863
1993-03-01,6974
1993-04-01,6973
1993-05-01,6991
1993-06-01,7395
1993-07-01,7322
1993-08-01,7353
1993-09-01,7262
1993-10-01,7241
1993-11-01,7146
1993-12-01,7089
1994-01-01,7333
1994-02-01,7416
1994-03-01,7382
1994-04-01,7343
1994-05-01,7336
1994-06-01,7696
1994-07-01,7680
1994-08-01,7632
1994-09-01,7469
1994-10-01,7494
1994-11-01,7366
1994-12-01,7319
1995-01-01,7285
1995-02-01,7302
1995-03-01,7340
1995-04-01,7451
1995-05-01,7393
1995-06-01,7706
1995-07-01,7519
1995-08-01,7437
1995-09-01,7424
1995-10-01,7384
1995-11-01,7321
1995-12-01,7256
1996-01-01,7222
1996-02-01,7328
1996-03-01,7336
1996-04-01,7390
1996-05-01,7445
1996-06-01,7746
1996-07-01,7901
1996-08-01,7788
1996-09-01,7646
1996-10-01,7711
1996-11-01,7693
1996-12-01,7627
1997-01-01,7719
1997-02-01,7754
1997-03-01,7782
1997-04-01,7770
1997-05-01,7790
1997-06-01,8018
1997-07-01,7758
1997-08-01,7698
1997-09-01,7688
1997-10-01,7701
1997-11-01,7692
1997-12-01,7534
1998-01-01,7534
1998-02-01,7506
1998-03-01,7538
1998-04-01,7464
1998-05-01,7445
