"Date","NCDARE5LFN"
1990-01-01,11874
1990-02-01,11888
1990-03-01,12353
1990-04-01,13738
1990-05-01,15213
1990-06-01,16669
1990-07-01,17189
1990-08-01,16879
1990-09-01,14926
1990-10-01,13640
1990-11-01,13046
1990-12-01,12476
1991-01-01,12218
1991-02-01,12199
1991-03-01,12543
1991-04-01,13870
1991-05-01,15403
1991-06-01,17168
1991-07-01,17736
1991-08-01,17593
1991-09-01,15539
1991-10-01,14331
1991-11-01,13612
1991-12-01,13283
1992-01-01,13117
1992-02-01,13254
1992-03-01,13281
1992-04-01,13957
1992-05-01,15501
1992-06-01,17082
1992-07-01,18039
1992-08-01,17798
1992-09-01,15954
1992-10-01,14572
1992-11-01,13697
1992-12-01,13526
1993-01-01,13139
1993-02-01,13063
1993-03-01,13024
1993-04-01,13903
1993-05-01,15529
1993-06-01,17109
1993-07-01,18100
1993-08-01,17783
1993-09-01,16297
1993-10-01,14875
1993-11-01,13845
1993-12-01,13770
1994-01-01,13221
1994-02-01,13315
1994-03-01,13572
1994-04-01,14133
1994-05-01,15682
1994-06-01,17428
1994-07-01,18440
1994-08-01,18292
1994-09-01,16787
1994-10-01,15007
1994-11-01,14325
1994-12-01,14136
1995-01-01,13723
1995-02-01,13492
1995-03-01,13822
1995-04-01,15080
1995-05-01,16353
1995-06-01,18465
1995-07-01,19406
1995-08-01,19151
1995-09-01,17062
1995-10-01,15550
1995-11-01,14817
1995-12-01,14530
1996-01-01,14053
1996-02-01,13984
1996-03-01,14355
1996-04-01,15357
1996-05-01,17153
1996-06-01,19240
1996-07-01,20529
1996-08-01,20122
1996-09-01,17783
1996-10-01,16393
1996-11-01,15666
1996-12-01,15314
1997-01-01,15400
1997-02-01,15086
1997-03-01,15434
1997-04-01,16329
1997-05-01,18284
1997-06-01,20504
1997-07-01,21553
1997-08-01,21074
1997-09-01,18857
1997-10-01,17365
1997-11-01,16430
1997-12-01,16686
1998-01-01,15731
1998-02-01,15320
1998-03-01,15621
1998-04-01,16895
1998-05-01,18376
1998-06-01,20839
1998-07-01,21686
1998-08-01,20926
1998-09-01,18896
1998-10-01,18032
1998-11-01,17144
1998-12-01,16897
1999-01-01,16085
1999-02-01,15830
1999-03-01,16298
1999-04-01,17448
1999-05-01,18383
1999-06-01,20792
1999-07-01,22640
1999-08-01,21879
1999-09-01,19759
1999-10-01,18705
1999-11-01,17528
1999-12-01,17167
2000-01-01,15818
2000-02-01,15793
2000-03-01,16470
2000-04-01,17653
2000-05-01,19185
2000-06-01,21898
2000-07-01,22748
2000-08-01,22184
2000-09-01,20226
2000-10-01,18330
2000-11-01,17692
2000-12-01,17394
2001-01-01,16064
2001-02-01,16057
2001-03-01,16680
2001-04-01,17983
2001-05-01,19524
2001-06-01,22115
2001-07-01,23265
2001-08-01,22615
2001-09-01,20467
2001-10-01,18790
2001-11-01,18121
2001-12-01,17848
2002-01-01,17957
2002-02-01,18070
2002-03-01,18555
2002-04-01,19757
2002-05-01,21241
2002-06-01,23932
2002-07-01,25165
2002-08-01,24493
2002-09-01,22372
2002-10-01,20406
2002-11-01,19397
2002-12-01,19075
2003-01-01,18359
2003-02-01,18203
2003-03-01,18867
2003-04-01,20780
2003-05-01,22534
2003-06-01,25435
2003-07-01,26901
2003-08-01,26172
2003-09-01,23786
2003-10-01,21334
2003-11-01,20547
2003-12-01,20588
2004-01-01,19587
2004-02-01,19389
2004-03-01,19794
2004-04-01,21570
2004-05-01,22966
2004-06-01,25907
2004-07-01,27129
2004-08-01,26287
2004-09-01,24141
2004-10-01,21808
2004-11-01,20901
2004-12-01,20752
2005-01-01,19650
2005-02-01,19692
2005-03-01,20287
2005-04-01,22000
2005-05-01,23345
2005-06-01,26250
2005-07-01,27329
2005-08-01,26422
2005-09-01,24134
2005-10-01,21653
2005-11-01,20859
2005-12-01,20414
2006-01-01,19358
2006-02-01,19190
2006-03-01,19710
2006-04-01,21779
2006-05-01,23037
2006-06-01,25833
2006-07-01,27012
2006-08-01,26213
2006-09-01,23921
2006-10-01,21969
2006-11-01,21186
2006-12-01,20737
2007-01-01,20442
2007-02-01,20061
2007-03-01,20652
2007-04-01,22141
2007-05-01,23357
2007-06-01,26079
2007-07-01,26559
2007-08-01,25961
2007-09-01,23823
2007-10-01,21849
2007-11-01,21190
2007-12-01,20793
2008-01-01,19391
2008-02-01,19316
2008-03-01,20112
2008-04-01,21068
2008-05-01,22797
2008-06-01,25608
2008-07-01,25879
2008-08-01,25458
2008-09-01,23174
2008-10-01,21261
2008-11-01,20632
2008-12-01,20528
2009-01-01,19406
2009-02-01,19346
2009-03-01,19722
2009-04-01,21094
2009-05-01,22732
2009-06-01,24914
2009-07-01,25736
2009-08-01,25150
2009-09-01,23296
2009-10-01,21419
2009-11-01,20494
2009-12-01,19994
2010-01-01,17714
2010-02-01,17745
2010-03-01,18136
2010-04-01,19353
2010-05-01,20238
2010-06-01,21972
2010-07-01,22550
2010-08-01,22221
2010-09-01,20816
2010-10-01,19386
2010-11-01,18610
2010-12-01,18387
2011-01-01,17880
2011-02-01,17825
2011-03-01,18492
2011-04-01,19551
2011-05-01,21015
2011-06-01,22818
2011-07-01,23382
2011-08-01,22933
2011-09-01,21058
2011-10-01,19678
2011-11-01,18921
2011-12-01,18528
2012-01-01,18238
2012-02-01,18053
2012-03-01,18589
2012-04-01,20145
2012-05-01,21527
2012-06-01,23874
2012-07-01,24519
2012-08-01,23800
2012-09-01,22205
2012-10-01,20674
2012-11-01,19806
2012-12-01,19521
2013-01-01,18974
2013-02-01,18715
2013-03-01,18809
2013-04-01,20038
2013-05-01,21351
2013-06-01,23554
2013-07-01,24020
2013-08-01,23101
2013-09-01,21596
2013-10-01,19719
2013-11-01,18812
2013-12-01,17973
2014-01-01,17737
2014-02-01,17698
2014-03-01,18028
2014-04-01,19286
2014-05-01,20885
2014-06-01,22833
2014-07-01,23500
2014-08-01,22799
2014-09-01,21405
2014-10-01,20019
2014-11-01,18907
2014-12-01,18091
2015-01-01,17846
2015-02-01,18020
2015-03-01,18312
2015-04-01,19592
2015-05-01,21018
2015-06-01,23041
2015-07-01,23745
2015-08-01,23011
2015-09-01,21675
2015-10-01,19984
2015-11-01,18937
2015-12-01,18117
2016-01-01,17338
2016-02-01,17503
2016-03-01,18250
2016-04-01,19146
2016-05-01,20629
2016-06-01,22549
2016-07-01,23757
2016-08-01,23023
2016-09-01,21409
2016-10-01,19644
2016-11-01,18472
2016-12-01,17555
2017-01-01,17260
2017-02-01,17468
2017-03-01,17730
2017-04-01,19339
2017-05-01,20278
2017-06-01,22729
2017-07-01,23604
2017-08-01,22798
2017-09-01,21307
2017-10-01,19555
2017-11-01,18379
2017-12-01,17437
2018-01-01,17215
2018-02-01,17696
2018-03-01,18053
2018-04-01,19100
2018-05-01,20420
2018-06-01,22686
2018-07-01,23234
2018-08-01,22327
2018-09-01,20406
2018-10-01,19347
2018-11-01,18239
2018-12-01,17279
2019-01-01,17375
2019-02-01,17802
2019-03-01,17898
2019-04-01,19321
2019-05-01,20853
2019-06-01,22655
2019-07-01,23302
2019-08-01,22432
2019-09-01,20809
2019-10-01,19769
2019-11-01,18551
2019-12-01,17728
2020-01-01,17826
2020-02-01,18170
2020-03-01,17609
2020-04-01,17631
2020-05-01,18570
2020-06-01,21008
2020-07-01,21590
2020-08-01,20839
2020-09-01,20313
2020-10-01,19719
2020-11-01,18278
2020-12-01,17225
2021-01-01,17163
2021-02-01,17356
2021-03-01,17934
2021-04-01,19575
2021-05-01,20315
2021-06-01,21854
2021-07-01,22313
2021-08-01,21645
2021-09-01,20609
2021-10-01,19970
2021-11-01,18948
2021-12-01,18178
2022-01-01,17897
2022-02-01,18134
2022-03-01,18823
2022-04-01,20009
2022-05-01,20922
2022-06-01,22333
2022-07-01,22305
2022-08-01,22078
2022-09-01,20824
2022-10-01,20089
2022-11-01,18771
2022-12-01,17972
2023-01-01,18063
2023-02-01,18147
2023-03-01,18605
2023-04-01,18907
2023-05-01,20459
2023-06-01,22456
2023-07-01,22875
2023-08-01,22445
2023-09-01,21333
2023-10-01,20479
