"Date","GAFRAN9LFN"
1990-01-01,8175
1990-02-01,8258
1990-03-01,8200
1990-04-01,8200
1990-05-01,8339
1990-06-01,8401
1990-07-01,8588
1990-08-01,8279
1990-09-01,8199
1990-10-01,8174
1990-11-01,8233
1990-12-01,8056
1991-01-01,7898
1991-02-01,8053
1991-03-01,7881
1991-04-01,8029
1991-05-01,8121
1991-06-01,8255
1991-07-01,8330
1991-08-01,8211
1991-09-01,8357
1991-10-01,8381
1991-11-01,8286
1991-12-01,8256
1992-01-01,8333
1992-02-01,8452
1992-03-01,8531
1992-04-01,8558
1992-05-01,8451
1992-06-01,8613
1992-07-01,8579
1992-08-01,8793
1992-09-01,8480
1992-10-01,8512
1992-11-01,8597
1992-12-01,8651
1993-01-01,8655
1993-02-01,8672
1993-03-01,8828
1993-04-01,8692
1993-05-01,8972
1993-06-01,8987
1993-07-01,9187
1993-08-01,9225
1993-09-01,9216
1993-10-01,9206
1993-11-01,9118
1993-12-01,9232
1994-01-01,8632
1994-02-01,8494
1994-03-01,8505
1994-04-01,8656
1994-05-01,8813
1994-06-01,8965
1994-07-01,8919
1994-08-01,9100
1994-09-01,9078
1994-10-01,9372
1994-11-01,9387
1994-12-01,9276
1995-01-01,9555
1995-02-01,9464
1995-03-01,9298
1995-04-01,9366
1995-05-01,9319
1995-06-01,9572
1995-07-01,9597
1995-08-01,9546
1995-09-01,9427
1995-10-01,9651
1995-11-01,9548
1995-12-01,9484
1996-01-01,9594
1996-02-01,9682
1996-03-01,9818
1996-04-01,9785
1996-05-01,9952
1996-06-01,10029
1996-07-01,10139
1996-08-01,10142
1996-09-01,10137
1996-10-01,10039
1996-11-01,10068
1996-12-01,10081
1997-01-01,10229
1997-02-01,10256
1997-03-01,10201
1997-04-01,10202
1997-05-01,10315
1997-06-01,10290
1997-07-01,10422
1997-08-01,10231
1997-09-01,10340
1997-10-01,10156
1997-11-01,10042
1997-12-01,10118
1998-01-01,9805
1998-02-01,9734
1998-03-01,9985
1998-04-01,9893
1998-05-01,10007
1998-06-01,10003
1998-07-01,10159
1998-08-01,9800
1998-09-01,9883
1998-10-01,10038
1998-11-01,9918
1998-12-01,9909
1999-01-01,10341
1999-02-01,10297
1999-03-01,10319
1999-04-01,10212
1999-05-01,10129
1999-06-01,10390
1999-07-01,10289
1999-08-01,10159
1999-09-01,10237
1999-10-01,10319
1999-11-01,10345
1999-12-01,10304
2000-01-01,9869
2000-02-01,9943
2000-03-01,9909
2000-04-01,9899
2000-05-01,9889
2000-06-01,9869
2000-07-01,9841
2000-08-01,9850
2000-09-01,9865
2000-10-01,9931
2000-11-01,9916
2000-12-01,9861
2001-01-01,9888
2001-02-01,9841
2001-03-01,9855
2001-04-01,9896
2001-05-01,10003
2001-06-01,9979
2001-07-01,9857
2001-08-01,9805
2001-09-01,9779
2001-10-01,9855
2001-11-01,9829
2001-12-01,9917
2002-01-01,10231
2002-02-01,10161
2002-03-01,10066
2002-04-01,10113
2002-05-01,10134
2002-06-01,10219
2002-07-01,10237
2002-08-01,10275
2002-09-01,10201
2002-10-01,10181
2002-11-01,10157
2002-12-01,10135
2003-01-01,10387
2003-02-01,10333
2003-03-01,10418
2003-04-01,10389
2003-05-01,10406
2003-06-01,10557
2003-07-01,10553
2003-08-01,10346
2003-09-01,10347
2003-10-01,10432
2003-11-01,10310
2003-12-01,10226
2004-01-01,10268
2004-02-01,10100
2004-03-01,10211
2004-04-01,10318
2004-05-01,10492
2004-06-01,10647
2004-07-01,10517
2004-08-01,10372
2004-09-01,10342
2004-10-01,10341
2004-11-01,10300
2004-12-01,10263
2005-01-01,10266
2005-02-01,10359
2005-03-01,10363
2005-04-01,10374
2005-05-01,10454
2005-06-01,10525
2005-07-01,10590
2005-08-01,10457
2005-09-01,10480
2005-10-01,10342
2005-11-01,10352
2005-12-01,10447
2006-01-01,10582
2006-02-01,10665
2006-03-01,10709
2006-04-01,10735
2006-05-01,10868
2006-06-01,10982
2006-07-01,10856
2006-08-01,10817
2006-09-01,10799
2006-10-01,10640
2006-11-01,10602
2006-12-01,10555
2007-01-01,10338
2007-02-01,10342
2007-03-01,10424
2007-04-01,10410
2007-05-01,10550
2007-06-01,10451
2007-07-01,10458
2007-08-01,10382
2007-09-01,10443
2007-10-01,10482
2007-11-01,10472
2007-12-01,10529
2008-01-01,10610
2008-02-01,10527
2008-03-01,10554
2008-04-01,10360
2008-05-01,10514
2008-06-01,10571
2008-07-01,10683
2008-08-01,10595
2008-09-01,10307
2008-10-01,10167
2008-11-01,10209
2008-12-01,10152
2009-01-01,10253
2009-02-01,10277
2009-03-01,10475
2009-04-01,10267
2009-05-01,10386
2009-06-01,10595
2009-07-01,10349
2009-08-01,10293
2009-09-01,10277
2009-10-01,10034
2009-11-01,10079
2009-12-01,10096
2010-01-01,9977
2010-02-01,9858
2010-03-01,9640
2010-04-01,9898
2010-05-01,9914
2010-06-01,9828
2010-07-01,9689
2010-08-01,9519
2010-09-01,9580
2010-10-01,9629
2010-11-01,9542
2010-12-01,9681
2011-01-01,9524
2011-02-01,9527
2011-03-01,9665
2011-04-01,9824
2011-05-01,9813
2011-06-01,9910
2011-07-01,9837
2011-08-01,9808
2011-09-01,9811
2011-10-01,9760
2011-11-01,9614
2011-12-01,9641
2012-01-01,9706
2012-02-01,9675
2012-03-01,9770
2012-04-01,9622
2012-05-01,9708
2012-06-01,9683
2012-07-01,9537
2012-08-01,9275
2012-09-01,9293
2012-10-01,9256
2012-11-01,9267
2012-12-01,9277
2013-01-01,9478
2013-02-01,9371
2013-03-01,9336
2013-04-01,9388
2013-05-01,9517
2013-06-01,9447
2013-07-01,9399
2013-08-01,9210
2013-09-01,9209
2013-10-01,9135
2013-11-01,9157
2013-12-01,9177
2014-01-01,9357
2014-02-01,9354
2014-03-01,9436
2014-04-01,9285
2014-05-01,9327
2014-06-01,9198
2014-07-01,9321
2014-08-01,9244
2014-09-01,9101
2014-10-01,9125
2014-11-01,9075
2014-12-01,9007
2015-01-01,9275
2015-02-01,9281
2015-03-01,9217
2015-04-01,9019
2015-05-01,9070
2015-06-01,9199
2015-07-01,9196
2015-08-01,9101
2015-09-01,9062
2015-10-01,9156
2015-11-01,9291
2015-12-01,9302
2016-01-01,9462
2016-02-01,9363
2016-03-01,9519
2016-04-01,9711
2016-05-01,9772
2016-06-01,9874
2016-07-01,9894
2016-08-01,9850
2016-09-01,9840
2016-10-01,10065
2016-11-01,10067
2016-12-01,10033
2017-01-01,10165
2017-02-01,10167
2017-03-01,10209
2017-04-01,10195
2017-05-01,10169
2017-06-01,10178
2017-07-01,10332
2017-08-01,10146
2017-09-01,10219
2017-10-01,10155
2017-11-01,10100
2017-12-01,10098
2018-01-01,10178
2018-02-01,10061
2018-03-01,10042
2018-04-01,10087
2018-05-01,10042
2018-06-01,10077
2018-07-01,10153
2018-08-01,9910
2018-09-01,10020
2018-10-01,10065
2018-11-01,10094
2018-12-01,10035
2019-01-01,10550
2019-02-01,10464
2019-03-01,10465
2019-04-01,10154
2019-05-01,10079
2019-06-01,10058
2019-07-01,10107
2019-08-01,10149
2019-09-01,10162
2019-10-01,10256
2019-11-01,10162
2019-12-01,10149
2020-01-01,10268
2020-02-01,10283
2020-03-01,10218
2020-04-01,9658
2020-05-01,9892
2020-06-01,9691
2020-07-01,9574
