"Date","TXWARD5LFN"
2015-02-01,6154
2015-03-01,6105
2015-04-01,6065
2015-05-01,5954
2015-06-01,5963
2015-07-01,5985
2015-08-01,5892
2015-09-01,5793
2015-10-01,5633
2015-11-01,5648
2015-12-01,5523
2016-01-01,5470
2016-02-01,5424
2016-03-01,5396
2016-04-01,5289
2016-05-01,5253
2016-06-01,5290
2016-07-01,5445
2016-08-01,5435
2016-09-01,5498
2016-10-01,5418
2016-11-01,5435
2016-12-01,5408
2017-01-01,5372
2017-02-01,5504
2017-03-01,5539
2017-04-01,5519
2017-05-01,5563
2017-06-01,5531
2017-07-01,5457
2017-08-01,5530
2017-09-01,5573
2017-10-01,5594
2017-11-01,5675
2017-12-01,5673
2018-01-01,6170
2018-02-01,6297
2018-03-01,6254
2018-04-01,6356
2018-05-01,6472
2018-06-01,6803
2018-07-01,6945
2018-08-01,6966
2018-09-01,6931
2018-10-01,7115
2018-11-01,7192
2018-12-01,7163
2019-01-01,7343
2019-02-01,7467
2019-03-01,7401
2019-04-01,7374
2019-05-01,7405
2019-06-01,7423
2019-07-01,7441
2019-08-01,7391
2019-09-01,7335
2019-10-01,7073
2019-11-01,6998
2019-12-01,6888
2020-01-01,6726
2020-02-01,6724
2020-03-01,6532
2020-04-01,6248
2020-05-01,6253
2020-06-01,6133
2020-07-01,5965
2020-08-01,5884
2020-09-01,5912
2020-10-01,5857
2020-11-01,5807
2020-12-01,5746
2021-01-01,5743
2021-02-01,5811
2021-03-01,5865
2021-04-01,5857
2021-05-01,5833
2021-06-01,5919
2021-07-01,5991
2021-08-01,5977
2021-09-01,6102
2021-10-01,6102
2021-11-01,6089
2021-12-01,6017
2022-01-01,5993
2022-02-01,6080
2022-03-01,6142
2022-04-01,6017
2022-05-01,6142
2022-06-01,6258
2022-07-01,6314
2022-08-01,6258
2022-09-01,6308
2022-10-01,6287
2022-11-01,6224
2022-12-01,6168
2023-01-01,6257
2023-02-01,6265
2023-03-01,6327
2023-04-01,6168
2023-05-01,6131
2023-06-01,6166
2023-07-01,6269
2023-08-01,6218
2023-09-01,6262
2023-10-01,6245
