"Date","TXWARD5LFN"
1990-01-01,5467
1990-02-01,5386
1990-03-01,5485
1990-04-01,5458
1990-05-01,5450
1990-06-01,5698
1990-07-01,5540
1990-08-01,5312
1990-09-01,5233
1990-10-01,5280
1990-11-01,5208
1990-12-01,5195
1991-01-01,5251
1991-02-01,5261
1991-03-01,5287
1991-04-01,5358
1991-05-01,5346
1991-06-01,5557
1991-07-01,5415
1991-08-01,5257
1991-09-01,5261
1991-10-01,5194
1991-11-01,5192
1991-12-01,5219
1992-01-01,5110
1992-02-01,5069
1992-03-01,5130
1992-04-01,5159
1992-05-01,5104
1992-06-01,5203
1992-07-01,5067
1992-08-01,4943
1992-09-01,4896
1992-10-01,4707
1992-11-01,4763
1992-12-01,4713
1993-01-01,4757
1993-02-01,4728
1993-03-01,4733
1993-04-01,4768
1993-05-01,4816
1993-06-01,4946
1993-07-01,4847
1993-08-01,4794
1993-09-01,4808
1993-10-01,4716
1993-11-01,4750
1993-12-01,4708
1994-01-01,4815
1994-02-01,4780
1994-03-01,4746
1994-04-01,4828
1994-05-01,4833
1994-06-01,4931
1994-07-01,4794
1994-08-01,4748
1994-09-01,4722
1994-10-01,4692
1994-11-01,4709
1994-12-01,4655
1995-01-01,4672
1995-02-01,4709
1995-03-01,4642
1995-04-01,4698
1995-05-01,4684
1995-06-01,4843
1995-07-01,4625
1995-08-01,4555
1995-09-01,4509
1995-10-01,4460
1995-11-01,4443
1995-12-01,4437
1996-01-01,4513
1996-02-01,4463
1996-03-01,4418
1996-04-01,4416
1996-05-01,4482
1996-06-01,4556
1996-07-01,4508
1996-08-01,4448
1996-09-01,4413
1996-10-01,4431
1996-11-01,4435
1996-12-01,4437
1997-01-01,4406
1997-02-01,4463
1997-03-01,4484
1997-04-01,4545
1997-05-01,4547
1997-06-01,4665
1997-07-01,4590
1997-08-01,4479
1997-09-01,4484
1997-10-01,4386
1997-11-01,4487
1997-12-01,4427
1998-01-01,4599
1998-02-01,4549
1998-03-01,4566
1998-04-01,4619
1998-05-01,4822
1998-06-01,4843
1998-07-01,4828
1998-08-01,4860
1998-09-01,4959
1998-10-01,4711
1998-11-01,4656
1998-12-01,4558
1999-01-01,4586
1999-02-01,4533
1999-03-01,4442
1999-04-01,4488
1999-05-01,4410
1999-06-01,4456
1999-07-01,4429
1999-08-01,4278
1999-09-01,4227
1999-10-01,4217
1999-11-01,4206
1999-12-01,4158
2000-01-01,4597
2000-02-01,4607
2000-03-01,4561
2000-04-01,4570
2000-05-01,4492
2000-06-01,4554
2000-07-01,4399
2000-08-01,4363
2000-09-01,4331
2000-10-01,4351
2000-11-01,4351
2000-12-01,4369
2001-01-01,4432
2001-02-01,4384
2001-03-01,4394
2001-04-01,4447
2001-05-01,4473
2001-06-01,4588
2001-07-01,4624
2001-08-01,4514
2001-09-01,4587
2001-10-01,4410
2001-11-01,4367
2001-12-01,4451
2002-01-01,4364
2002-02-01,4379
2002-03-01,4391
2002-04-01,4394
2002-05-01,4331
2002-06-01,4431
2002-07-01,4452
2002-08-01,4443
2002-09-01,4430
2002-10-01,4364
2002-11-01,4393
2002-12-01,4377
2003-01-01,4409
2003-02-01,4397
2003-03-01,4439
2003-04-01,4359
2003-05-01,4371
2003-06-01,4517
2003-07-01,4435
2003-08-01,4443
2003-09-01,4374
2003-10-01,4369
2003-11-01,4353
2003-12-01,4386
2004-01-01,4368
2004-02-01,4357
2004-03-01,4329
2004-04-01,4312
2004-05-01,4340
2004-06-01,4456
2004-07-01,4432
2004-08-01,4435
2004-09-01,4385
2004-10-01,4378
2004-11-01,4431
2004-12-01,4423
2005-01-01,4400
2005-02-01,4408
2005-03-01,4358
2005-04-01,4440
2005-05-01,4465
2005-06-01,4567
2005-07-01,4529
2005-08-01,4545
2005-09-01,4488
2005-10-01,4523
2005-11-01,4530
2005-12-01,4538
2006-01-01,4568
2006-02-01,4573
2006-03-01,4574
2006-04-01,4663
2006-05-01,4690
2006-06-01,4814
2006-07-01,4852
2006-08-01,4781
2006-09-01,4727
2006-10-01,4796
2006-11-01,4807
2006-12-01,4805
2007-01-01,4761
2007-02-01,4776
2007-03-01,4773
2007-04-01,4779
2007-05-01,4768
2007-06-01,4920
2007-07-01,4980
2007-08-01,4984
2007-09-01,4929
2007-10-01,4864
2007-11-01,4909
2007-12-01,4915
2008-01-01,4916
2008-02-01,4911
2008-03-01,4911
2008-04-01,4971
2008-05-01,5011
2008-06-01,5145
2008-07-01,5166
2008-08-01,5207
2008-09-01,5245
2008-10-01,5151
2008-11-01,5171
2008-12-01,5108
2009-01-01,5044
2009-02-01,5032
2009-03-01,5023
2009-04-01,5029
2009-05-01,5055
2009-06-01,5188
2009-07-01,5178
2009-08-01,5097
2009-09-01,5008
2009-10-01,4954
2009-11-01,5020
2009-12-01,4931
2010-01-01,4529
2010-02-01,4543
2010-03-01,4544
2010-04-01,4620
2010-05-01,4631
2010-06-01,4692
2010-07-01,4706
2010-08-01,4690
2010-09-01,4660
2010-10-01,4656
2010-11-01,4685
2010-12-01,4680
2011-01-01,4613
2011-02-01,4649
2011-03-01,4707
2011-04-01,4761
2011-05-01,4833
2011-06-01,4948
2011-07-01,5056
2011-08-01,5061
2011-09-01,5139
2011-10-01,5142
2011-11-01,5170
2011-12-01,5158
2012-01-01,5064
2012-02-01,5047
2012-03-01,5096
2012-04-01,5153
2012-05-01,5291
2012-06-01,5402
2012-07-01,5553
2012-08-01,5641
2012-09-01,5472
2012-10-01,5422
2012-11-01,5533
2012-12-01,5447
2013-01-01,5277
2013-02-01,5362
2013-03-01,5343
2013-04-01,5419
2013-05-01,5465
2013-06-01,5569
2013-07-01,5554
2013-08-01,5629
2013-09-01,5634
2013-10-01,5579
2013-11-01,5636
2013-12-01,5628
2014-01-01,5783
2014-02-01,5840
2014-03-01,5843
2014-04-01,5762
2014-05-01,5865
2014-06-01,5927
2014-07-01,5922
2014-08-01,5954
2014-09-01,5971
2014-10-01,5982
2014-11-01,6020
2014-12-01,6074
2015-01-01,6259
