"Date","LNU03023653"
1967-01-01,567
1967-02-01,511
1967-03-01,461
1967-04-01,415
1967-05-01,358
1967-06-01,332
1967-07-01,409
1967-08-01,385
1967-09-01,301
1967-10-01,299
1967-11-01,328
1967-12-01,359
1968-01-01,531
1968-02-01,528
1968-03-01,437
1968-04-01,318
1968-05-01,293
1968-06-01,252
1968-07-01,292
1968-08-01,289
1968-09-01,238
1968-10-01,235
1968-11-01,292
1968-12-01,307
1969-01-01,483
1969-02-01,470
1969-03-01,310
1969-04-01,313
1969-05-01,272
1969-06-01,273
1969-07-01,365
1969-08-01,287
1969-09-01,246
1969-10-01,293
1969-11-01,302
1969-12-01,458
1970-01-01,650
1970-02-01,747
1970-03-01,722
1970-04-01,617
1970-05-01,578
1970-06-01,548
1970-07-01,662
1970-08-01,592
1970-09-01,582
1970-10-01,672
1970-11-01,813
1970-12-01,920
1971-01-01,1122
1971-02-01,1075
1971-03-01,920
1971-04-01,751
1971-05-01,607
1971-06-01,533
1971-07-01,600
1971-08-01,666
1971-09-01,564
1971-10-01,542
1971-11-01,660
1971-12-01,785
1972-01-01,968
1972-02-01,872
1972-03-01,756
1972-04-01,605
1972-05-01,494
1972-06-01,490
1972-07-01,562
1972-08-01,491
1972-09-01,375
1972-10-01,386
1972-11-01,457
1972-12-01,523
1973-01-01,728
1973-02-01,709
1973-03-01,610
1973-04-01,484
1973-05-01,438
1973-06-01,347
1973-07-01,377
1973-08-01,413
1973-09-01,287
1973-10-01,271
1973-11-01,434
1973-12-01,567
1974-01-01,954
1974-02-01,1015
1974-03-01,868
1974-04-01,673
1974-05-01,483
1974-06-01,508
1974-07-01,593
1974-08-01,562
1974-09-01,508
1974-10-01,570
1974-11-01,881
1974-12-01,1343
1975-01-01,2266
1975-02-01,2363
1975-03-01,2308
1975-04-01,2029
1975-05-01,1664
1975-06-01,1632
1975-07-01,1547
1975-08-01,1388
1975-09-01,1186
1975-10-01,1150
1975-11-01,1142
1975-12-01,1382
1976-01-01,1540
1976-02-01,1501
1976-03-01,1304
1976-04-01,1119
1976-05-01,864
1976-06-01,855
1976-07-01,986
1976-08-01,945
1976-09-01,792
1976-10-01,718
1976-11-01,850
1976-12-01,1128
1977-01-01,1260
1977-02-01,1486
1977-03-01,1185
1977-04-01,856
1977-05-01,676
1977-06-01,688
1977-07-01,797
1977-08-01,810
1977-09-01,606
1977-10-01,618
1977-11-01,652
1977-12-01,753
1978-01-01,1144
1978-02-01,1060
1978-03-01,877
1978-04-01,645
1978-05-01,579
1978-06-01,512
1978-07-01,650
1978-08-01,652
1978-09-01,517
1978-10-01,475
1978-11-01,651
1978-12-01,778
1979-01-01,1163
1979-02-01,1169
1979-03-01,1001
1979-04-01,854
1979-05-01,588
1979-06-01,639
1979-07-01,741
1979-08-01,891
1979-09-01,633
1979-10-01,672
1979-11-01,875
1979-12-01,990
1980-01-01,1569
1980-02-01,1547
1980-03-01,1420
1980-04-01,1432
1980-05-01,1545
1980-06-01,1629
1980-07-01,1833
1980-08-01,1654
1980-09-01,1323
1980-10-01,1237
1980-11-01,1238
1980-12-01,1434
1981-01-01,1824
1981-02-01,1781
1981-03-01,1620
1981-04-01,1304
1981-05-01,1213
1981-06-01,1156
1981-07-01,1203
1981-08-01,1192
1981-09-01,1093
1981-10-01,1198
1981-11-01,1546
1981-12-01,2028
1982-01-01,2574
1982-02-01,2344
1982-03-01,2238
1982-04-01,1960
1982-05-01,1770
1982-06-01,1864
1982-07-01,2023
1982-08-01,2010
1982-09-01,2018
1982-10-01,1942
1982-11-01,2261
1982-12-01,2519
1983-01-01,2947
1983-02-01,2654
1983-03-01,2336
1983-04-01,1940
1983-05-01,1760
1983-06-01,1625
1983-07-01,1609
1983-08-01,1492
1983-09-01,1265
1983-10-01,1098
1983-11-01,1228
1983-12-01,1406
1984-01-01,1692
1984-02-01,1613
1984-03-01,1452
1984-04-01,1087
1984-05-01,1066
1984-06-01,1026
1984-07-01,1091
1984-08-01,1047
1984-09-01,913
1984-10-01,927
1984-11-01,981
1984-12-01,1157
1985-01-01,1652
1985-02-01,1571
1985-03-01,1349
1985-04-01,1172
1985-05-01,950
1985-06-01,990
1985-07-01,1054
1985-08-01,998
1985-09-01,955
1985-10-01,923
1985-11-01,1079
1985-12-01,1190
1986-01-01,1579
1986-02-01,1512
1986-03-01,1361
1986-04-01,1020
1986-05-01,1007
1986-06-01,927
1986-07-01,997
1986-08-01,884
1986-09-01,824
1986-10-01,860
1986-11-01,986
1986-12-01,1126
1987-01-01,1550
1987-02-01,1335
1987-03-01,1206
1987-04-01,923
1987-05-01,815
1987-06-01,776
1987-07-01,839
1987-08-01,730
1987-09-01,643
1987-10-01,768
1987-11-01,825
1987-12-01,909
1988-01-01,1272
1988-02-01,1181
1988-03-01,1083
1988-04-01,785
1988-05-01,698
1988-06-01,726
1988-07-01,781
1988-08-01,739
1988-09-01,636
1988-10-01,691
1988-11-01,757
1988-12-01,866
1989-01-01,1210
1989-02-01,1042
1989-03-01,996
1989-04-01,787
1989-05-01,681
1989-06-01,679
1989-07-01,755
1989-08-01,736
1989-09-01,631
1989-10-01,620
1989-11-01,912
1989-12-01,1033
1990-01-01,1554
1990-02-01,1289
1990-03-01,1174
1990-04-01,951
1990-05-01,830
1990-06-01,775
1990-07-01,878
1990-08-01,831
1990-09-01,839
1990-10-01,820
1990-11-01,1116
1990-12-01,1275
1991-01-01,1748
1991-02-01,2001
1991-03-01,1780
1991-04-01,1325
1991-05-01,1135
1991-06-01,1128
1991-07-01,1060
1991-08-01,1082
1991-09-01,844
1991-10-01,920
1991-11-01,1122
1991-12-01,1360
1992-01-01,1781
1992-02-01,1784
1992-03-01,1605
1992-04-01,1225
1992-05-01,1029
1992-06-01,1140
1992-07-01,1142
1992-08-01,1046
1992-09-01,1031
1992-10-01,944
1992-11-01,1103
1992-12-01,1285
1993-01-01,1500
1993-02-01,1491
1993-03-01,1414
1993-04-01,1036
1993-05-01,978
1993-06-01,993
1993-07-01,1081
1993-08-01,1037
1993-09-01,855
1993-10-01,945
1993-11-01,894
1993-12-01,1157
1994-01-01,1652
1994-02-01,1517
1994-03-01,1249
1994-04-01,904
1994-05-01,664
1994-06-01,798
1994-07-01,950
1994-08-01,891
1994-09-01,614
1994-10-01,637
1994-11-01,803
1994-12-01,1050
1995-01-01,1539
1995-02-01,1426
1995-03-01,1267
1995-04-01,1053
1995-05-01,779
1995-06-01,908
1995-07-01,1094
1995-08-01,910
1995-09-01,635
1995-10-01,719
1995-11-01,935
1995-12-01,1090
1996-01-01,1728
1996-02-01,1458
1996-03-01,1266
1996-04-01,1094
1996-05-01,868
1996-06-01,853
1996-07-01,974
1996-08-01,777
1996-09-01,674
1996-10-01,649
1996-11-01,871
1996-12-01,1045
1997-01-01,1502
1997-02-01,1327
1997-03-01,1250
1997-04-01,988
1997-05-01,704
1997-06-01,788
1997-07-01,873
1997-08-01,716
1997-09-01,595
1997-10-01,668
1997-11-01,707
1997-12-01,1053
1998-01-01,1362
1998-02-01,1145
1998-03-01,1238
1998-04-01,723
1998-05-01,608
1998-06-01,713
1998-07-01,935
1998-08-01,782
1998-09-01,628
1998-10-01,584
1998-11-01,739
1998-12-01,934
1999-01-01,1364
1999-02-01,1159
1999-03-01,1047
1999-04-01,835
1999-05-01,609
1999-06-01,746
1999-07-01,862
1999-08-01,784
1999-09-01,620
1999-10-01,535
1999-11-01,755
1999-12-01,859
2000-01-01,1173
2000-02-01,1145
2000-03-01,997
2000-04-01,698
2000-05-01,655
2000-06-01,825
2000-07-01,894
2000-08-01,856
2000-09-01,603
2000-10-01,542
2000-11-01,783
2000-12-01,1056
2001-01-01,1588
2001-02-01,1302
2001-03-01,1229
2001-04-01,1018
2001-05-01,811
2001-06-01,858
2001-07-01,1054
2001-08-01,1012
2001-09-01,807
2001-10-01,879
2001-11-01,1033
