"Date","KYBOYD5LFN"
1990-01-01,22354
1990-02-01,22163
1990-03-01,22451
1990-04-01,22518
1990-05-01,22784
1990-06-01,22859
1990-07-01,22841
1990-08-01,22578
1990-09-01,22392
1990-10-01,22501
1990-11-01,22441
1990-12-01,22492
1991-01-01,22675
1991-02-01,23015
1991-03-01,23372
1991-04-01,23600
1991-05-01,23067
1991-06-01,23337
1991-07-01,22779
1991-08-01,22362
1991-09-01,22370
1991-10-01,22448
1991-11-01,22648
1991-12-01,22580
1992-01-01,22424
1992-02-01,22456
1992-03-01,22532
1992-04-01,22464
1992-05-01,22763
1992-06-01,23165
1992-07-01,22718
1992-08-01,23183
1992-09-01,23421
1992-10-01,23639
1992-11-01,23951
1992-12-01,23612
1993-01-01,23104
1993-02-01,22882
1993-03-01,23255
1993-04-01,23145
1993-05-01,23421
1993-06-01,23697
1993-07-01,23189
1993-08-01,23043
1993-09-01,22938
1993-10-01,23058
1993-11-01,22876
1993-12-01,22646
1994-01-01,22020
1994-02-01,22154
1994-03-01,22347
1994-04-01,22407
1994-05-01,22791
1994-06-01,22879
1994-07-01,22128
1994-08-01,22331
1994-09-01,22345
1994-10-01,22639
1994-11-01,22785
1994-12-01,22666
1995-01-01,22747
1995-02-01,22794
1995-03-01,22820
1995-04-01,22830
1995-05-01,22954
1995-06-01,23091
1995-07-01,22647
1995-08-01,22477
1995-09-01,22419
1995-10-01,22436
1995-11-01,22521
1995-12-01,22467
1996-01-01,21896
1996-02-01,22251
1996-03-01,22408
1996-04-01,22097
1996-05-01,22257
1996-06-01,22428
1996-07-01,22127
1996-08-01,22085
1996-09-01,22239
1996-10-01,22633
1996-11-01,22667
1996-12-01,22872
1997-01-01,22317
1997-02-01,22193
1997-03-01,22523
1997-04-01,22618
1997-05-01,22755
1997-06-01,23077
1997-07-01,22623
1997-08-01,22632
1997-09-01,22671
1997-10-01,22857
1997-11-01,22989
1997-12-01,22993
1998-01-01,22442
1998-02-01,22678
1998-03-01,22980
1998-04-01,22610
1998-05-01,22537
1998-06-01,22555
1998-07-01,22128
1998-08-01,22164
1998-09-01,22271
1998-10-01,22306
1998-11-01,22488
1998-12-01,22737
1999-01-01,22364
1999-02-01,22760
1999-03-01,22818
1999-04-01,22719
1999-05-01,22805
1999-06-01,22945
1999-07-01,22240
1999-08-01,22037
1999-09-01,21958
1999-10-01,21933
1999-11-01,22020
1999-12-01,22095
2000-01-01,21387
2000-02-01,21460
2000-03-01,21877
2000-04-01,21672
2000-05-01,21350
2000-06-01,21623
2000-07-01,21166
2000-08-01,21068
2000-09-01,21192
2000-10-01,21357
2000-11-01,21676
2000-12-01,21821
2001-01-01,21389
2001-02-01,21243
2001-03-01,21554
2001-04-01,21602
2001-05-01,21257
2001-06-01,21688
2001-07-01,21250
2001-08-01,20970
2001-09-01,21357
2001-10-01,21511
2001-11-01,21911
2001-12-01,21968
2002-01-01,21633
2002-02-01,21641
2002-03-01,21744
2002-04-01,21743
2002-05-01,21700
2002-06-01,22298
2002-07-01,21854
2002-08-01,21642
2002-09-01,21861
2002-10-01,21805
2002-11-01,22263
2002-12-01,22232
2003-01-01,22268
2003-02-01,22543
2003-03-01,22609
2003-04-01,22885
2003-05-01,23035
2003-06-01,23469
2003-07-01,22902
2003-08-01,22635
2003-09-01,22592
2003-10-01,22638
2003-11-01,22870
2003-12-01,22912
2004-01-01,22924
2004-02-01,22988
2004-03-01,23257
2004-04-01,23015
2004-05-01,22957
2004-06-01,23137
2004-07-01,22870
2004-08-01,22785
2004-09-01,22639
2004-10-01,22861
2004-11-01,23077
2004-12-01,23095
2005-01-01,22773
2005-02-01,22811
2005-03-01,22976
2005-04-01,22890
2005-05-01,22837
2005-06-01,23168
2005-07-01,22599
2005-08-01,22916
2005-09-01,22875
2005-10-01,22820
2005-11-01,22984
2005-12-01,23093
2006-01-01,22741
2006-02-01,23051
2006-03-01,23229
2006-04-01,22936
2006-05-01,22870
2006-06-01,23194
2006-07-01,22624
2006-08-01,22963
2006-09-01,22996
2006-10-01,23162
2006-11-01,23486
2006-12-01,23477
2007-01-01,22652
2007-02-01,22847
2007-03-01,23186
2007-04-01,22841
2007-05-01,22803
2007-06-01,23009
2007-07-01,22641
2007-08-01,22720
2007-09-01,22866
2007-10-01,22884
2007-11-01,23104
2007-12-01,22967
2008-01-01,22546
