"Date","LAUCN360150000000004"
1990-01-01,2415
1990-02-01,2563
1990-03-01,2200
1990-04-01,1971
1990-05-01,2019
1990-06-01,1943
1990-07-01,1910
1990-08-01,1796
1990-09-01,2169
1990-10-01,2038
1990-11-01,2228
1990-12-01,2375
1991-01-01,2557
1991-02-01,2773
1991-03-01,3294
1991-04-01,3021
1991-05-01,3163
1991-06-01,3228
1991-07-01,2796
1991-08-01,2731
1991-09-01,2630
1991-10-01,2509
1991-11-01,2857
1991-12-01,3020
1992-01-01,3399
1992-02-01,3425
1992-03-01,3254
1992-04-01,3050
1992-05-01,3138
1992-06-01,3210
1992-07-01,3056
1992-08-01,2768
1992-09-01,2591
1992-10-01,2564
1992-11-01,2799
1992-12-01,2616
1993-01-01,2926
1993-02-01,2906
1993-03-01,2749
1993-04-01,2497
1993-05-01,2579
1993-06-01,2618
1993-07-01,2396
1993-08-01,2292
1993-09-01,2176
1993-10-01,2118
1993-11-01,2114
1993-12-01,2094
1994-01-01,2703
1994-02-01,2847
1994-03-01,2785
1994-04-01,2502
1994-05-01,2269
1994-06-01,2334
1994-07-01,2205
1994-08-01,2045
1994-09-01,1939
1994-10-01,1860
1994-11-01,1880
1994-12-01,1875
1995-01-01,2336
1995-02-01,2275
1995-03-01,2293
1995-04-01,2209
1995-05-01,2136
1995-06-01,2062
1995-07-01,2130
1995-08-01,1967
1995-09-01,1866
1995-10-01,1776
1995-11-01,1824
1995-12-01,1860
1996-01-01,2152
1996-02-01,2198
1996-03-01,2108
1996-04-01,1950
1996-05-01,1969
1996-06-01,1903
1996-07-01,1950
1996-08-01,1679
1996-09-01,1707
1996-10-01,1590
1996-11-01,1654
1996-12-01,1718
1997-01-01,2186
1997-02-01,2121
1997-03-01,2051
1997-04-01,1793
1997-05-01,1847
1997-06-01,2081
1997-07-01,2257
1997-08-01,1932
1997-09-01,1924
1997-10-01,1931
1997-11-01,1892
1997-12-01,1878
1998-01-01,2111
1998-02-01,2305
1998-03-01,2217
1998-04-01,1747
1998-05-01,1785
1998-06-01,1938
1998-07-01,1780
1998-08-01,1897
1998-09-01,1921
1998-10-01,1728
1998-11-01,1738
1998-12-01,1773
1999-01-01,2113
1999-02-01,2605
1999-03-01,2460
1999-04-01,2104
1999-05-01,2067
1999-06-01,2176
1999-07-01,2120
1999-08-01,1882
1999-09-01,2089
1999-10-01,2018
1999-11-01,2017
1999-12-01,1994
2000-01-01,2162
2000-02-01,2153
2000-03-01,2061
2000-04-01,1763
2000-05-01,1754
2000-06-01,1776
2000-07-01,1844
2000-08-01,1792
2000-09-01,1734
2000-10-01,1589
2000-11-01,1675
2000-12-01,1656
2001-01-01,1956
2001-02-01,1963
2001-03-01,1941
2001-04-01,1714
2001-05-01,1700
2001-06-01,1920
2001-07-01,2032
2001-08-01,2072
2001-09-01,2221
2001-10-01,2304
2001-11-01,2536
2001-12-01,2839
2002-01-01,3207
2002-02-01,3221
2002-03-01,3064
2002-04-01,2816
2002-05-01,2634
2002-06-01,2708
2002-07-01,2683
2002-08-01,2505
2002-09-01,2425
2002-10-01,2334
2002-11-01,2613
2002-12-01,2666
2003-01-01,3005
2003-02-01,2953
2003-03-01,2721
2003-04-01,2638
2003-05-01,2547
2003-06-01,2775
2003-07-01,2651
2003-08-01,2503
2003-09-01,2505
2003-10-01,2558
