"Date","GATALB3LFN"
1990-01-01,2974
1990-02-01,2884
1990-03-01,2937
1990-04-01,2789
1990-05-01,2840
1990-06-01,2884
1990-07-01,2875
1990-08-01,2871
1990-09-01,2841
1990-10-01,2931
1990-11-01,2798
1990-12-01,2829
1991-01-01,2748
1991-02-01,2776
1991-03-01,2740
1991-04-01,2731
1991-05-01,2655
1991-06-01,2689
1991-07-01,2814
1991-08-01,2786
1991-09-01,2775
1991-10-01,2679
1991-11-01,2711
1991-12-01,2663
1992-01-01,2638
1992-02-01,2696
1992-03-01,2667
1992-04-01,2671
1992-05-01,2715
1992-06-01,2752
1992-07-01,2837
1992-08-01,2685
1992-09-01,2584
1992-10-01,2545
1992-11-01,2515
1992-12-01,2555
1993-01-01,2505
1993-02-01,2486
1993-03-01,2415
1993-04-01,2458
1993-05-01,2445
1993-06-01,2492
1993-07-01,2601
1993-08-01,2556
1993-09-01,2498
1993-10-01,2547
1993-11-01,2487
1993-12-01,2494
1994-01-01,2693
1994-02-01,2591
1994-03-01,2549
1994-04-01,2639
1994-05-01,2615
1994-06-01,2663
1994-07-01,2711
1994-08-01,2711
1994-09-01,2487
1994-10-01,2481
1994-11-01,2541
1994-12-01,2438
1995-01-01,2479
1995-02-01,2446
1995-03-01,2450
1995-04-01,2479
1995-05-01,2480
1995-06-01,2483
1995-07-01,2708
1995-08-01,2684
1995-09-01,2674
1995-10-01,2650
1995-11-01,2569
1995-12-01,2491
1996-01-01,2476
1996-02-01,2517
1996-03-01,2565
1996-04-01,2527
1996-05-01,2641
1996-06-01,2565
1996-07-01,2686
1996-08-01,2690
1996-09-01,2559
1996-10-01,2581
1996-11-01,2722
1996-12-01,3167
1997-01-01,2729
1997-02-01,2647
1997-03-01,2652
1997-04-01,2662
1997-05-01,2654
1997-06-01,2714
1997-07-01,2745
1997-08-01,2668
1997-09-01,2676
1997-10-01,2668
1997-11-01,2714
1997-12-01,2694
1998-01-01,2678
1998-02-01,2689
1998-03-01,2704
1998-04-01,2701
1998-05-01,2689
1998-06-01,2744
1998-07-01,2734
1998-08-01,2762
1998-09-01,2832
1998-10-01,2955
1998-11-01,2880
1998-12-01,2902
1999-01-01,2964
1999-02-01,2928
1999-03-01,2920
1999-04-01,2731
1999-05-01,2785
1999-06-01,2797
1999-07-01,2763
1999-08-01,2807
1999-09-01,2895
1999-10-01,2982
1999-11-01,2922
1999-12-01,2893
2000-01-01,2826
2000-02-01,2845
2000-03-01,2872
2000-04-01,2814
2000-05-01,2809
2000-06-01,2800
2000-07-01,2846
2000-08-01,2846
2000-09-01,2839
2000-10-01,2836
2000-11-01,2850
2000-12-01,2830
2001-01-01,2807
2001-02-01,2830
2001-03-01,2805
2001-04-01,2832
2001-05-01,2781
2001-06-01,2809
2001-07-01,2837
2001-08-01,2827
2001-09-01,2785
2001-10-01,2867
2001-11-01,2796
2001-12-01,2845
2002-01-01,2828
2002-02-01,2906
2002-03-01,2937
2002-04-01,2919
2002-05-01,2921
2002-06-01,2892
2002-07-01,2900
2002-08-01,2903
2002-09-01,2888
2002-10-01,2925
2002-11-01,2879
2002-12-01,2909
2003-01-01,2871
2003-02-01,2874
2003-03-01,2911
2003-04-01,2921
2003-05-01,2958
2003-06-01,3003
2003-07-01,3005
2003-08-01,2989
2003-09-01,2977
2003-10-01,3019
2003-11-01,3063
2003-12-01,3096
2004-01-01,3158
2004-02-01,3103
2004-03-01,3092
2004-04-01,2969
2004-05-01,2975
2004-06-01,2985
2004-07-01,2976
2004-08-01,2967
2004-09-01,2921
2004-10-01,2912
2004-11-01,2937
2004-12-01,2954
2005-01-01,2920
2005-02-01,2948
2005-03-01,2916
2005-04-01,2923
2005-05-01,2934
2005-06-01,3002
2005-07-01,3096
2005-08-01,3049
2005-09-01,3021
2005-10-01,3042
2005-11-01,2987
2005-12-01,2970
2006-01-01,2994
2006-02-01,3023
2006-03-01,3023
2006-04-01,2995
2006-05-01,2990
2006-06-01,3052
2006-07-01,3136
2006-08-01,3094
2006-09-01,3149
2006-10-01,3120
2006-11-01,3210
2006-12-01,3213
2007-01-01,3169
2007-02-01,3149
2007-03-01,3148
2007-04-01,3134
2007-05-01,3156
2007-06-01,3130
2007-07-01,3206
2007-08-01,3161
2007-09-01,3166
2007-10-01,3162
2007-11-01,3174
2007-12-01,3200
2008-01-01,3144
2008-02-01,3138
2008-03-01,3183
2008-04-01,3132
2008-05-01,3198
2008-06-01,3243
2008-07-01,3292
2008-08-01,3255
2008-09-01,3131
2008-10-01,3116
2008-11-01,3193
2008-12-01,3169
2009-01-01,3138
2009-02-01,3106
2009-03-01,3132
2009-04-01,3156
2009-05-01,3156
2009-06-01,3218
2009-07-01,3177
2009-08-01,3137
2009-09-01,3108
2009-10-01,3073
2009-11-01,3070
2009-12-01,3056
2010-01-01,2920
2010-02-01,2884
2010-03-01,2880
2010-04-01,2844
2010-05-01,2841
2010-06-01,2863
2010-07-01,2903
2010-08-01,2925
2010-09-01,2908
2010-10-01,2891
2010-11-01,2887
2010-12-01,2848
2011-01-01,2900
2011-02-01,2852
2011-03-01,2852
2011-04-01,2860
2011-05-01,2874
2011-06-01,2921
2011-07-01,2932
2011-08-01,2919
2011-09-01,2985
2011-10-01,2966
2011-11-01,2947
2011-12-01,2960
2012-01-01,2895
2012-02-01,2913
2012-03-01,2904
2012-04-01,2875
2012-05-01,2904
2012-06-01,2970
2012-07-01,2952
2012-08-01,2895
2012-09-01,2911
2012-10-01,2907
2012-11-01,2899
2012-12-01,2908
2013-01-01,2874
2013-02-01,2848
2013-03-01,2843
2013-04-01,2847
2013-05-01,2880
2013-06-01,2903
2013-07-01,2903
2013-08-01,2851
2013-09-01,2840
2013-10-01,2819
2013-11-01,2834
2013-12-01,2844
2014-01-01,2843
2014-02-01,2848
2014-03-01,2833
2014-04-01,2799
2014-05-01,2820
2014-06-01,2839
2014-07-01,2835
2014-08-01,2787
2014-09-01,2795
2014-10-01,2750
2014-11-01,2734
2014-12-01,2729
2015-01-01,2746
2015-02-01,2709
2015-03-01,2693
2015-04-01,2668
2015-05-01,2664
2015-06-01,2668
2015-07-01,2698
2015-08-01,2628
2015-09-01,2619
2015-10-01,2622
2015-11-01,2641
2015-12-01,2644
2016-01-01,2683
2016-02-01,2674
2016-03-01,2706
2016-04-01,2677
2016-05-01,2698
2016-06-01,2737
2016-07-01,2783
2016-08-01,2788
2016-09-01,2786
2016-10-01,2820
2016-11-01,2786
2016-12-01,2804
2017-01-01,2813
2017-02-01,2853
2017-03-01,2799
2017-04-01,2772
2017-05-01,2796
2017-06-01,2841
2017-07-01,2864
2017-08-01,2823
2017-09-01,2828
2017-10-01,2836
2017-11-01,2820
2017-12-01,2814
2018-01-01,2859
2018-02-01,2839
2018-03-01,2832
2018-04-01,2795
2018-05-01,2831
2018-06-01,2857
2018-07-01,2850
2018-08-01,2819
2018-09-01,2850
2018-10-01,2861
2018-11-01,2860
2018-12-01,2870
2019-01-01,2829
2019-02-01,2870
2019-03-01,2842
2019-04-01,2823
2019-05-01,2839
2019-06-01,2853
2019-07-01,2829
2019-08-01,2820
2019-09-01,2808
2019-10-01,2831
2019-11-01,2833
2019-12-01,2835
2020-01-01,2828
2020-02-01,2830
2020-03-01,2797
2020-04-01,2723
2020-05-01,2765
2020-06-01,2752
2020-07-01,2692
2020-08-01,2684
2020-09-01,2682
2020-10-01,2814
