"Date","LNS13000002"
1948-01-01,556
1948-02-01,763
1948-03-01,750
1948-04-01,756
1948-05-01,626
1948-06-01,766
1948-07-01,753
1948-08-01,772
1948-09-01,714
1948-10-01,686
1948-11-01,683
1948-12-01,746
1949-01-01,766
1949-02-01,846
1949-03-01,819
1949-04-01,967
1949-05-01,1068
1949-06-01,1090
1949-07-01,1227
1949-08-01,1231
1949-09-01,1227
1949-10-01,1221
1949-11-01,1141
1949-12-01,1225
1950-01-01,1250
1950-02-01,1229
1950-03-01,1196
1950-04-01,992
1950-05-01,1057
1950-06-01,1133
1950-07-01,1031
1950-08-01,893
1950-09-01,932
1950-10-01,897
1950-11-01,977
1950-12-01,978
1951-01-01,866
1951-02-01,835
1951-03-01,940
1951-04-01,830
1951-05-01,797
1951-06-01,809
1951-07-01,778
1951-08-01,743
1951-09-01,865
1951-10-01,861
1951-11-01,863
1951-12-01,810
1952-01-01,746
1952-02-01,740
1952-03-01,658
1952-04-01,672
1952-05-01,753
1952-06-01,682
1952-07-01,709
1952-08-01,736
1952-09-01,653
1952-10-01,735
1952-11-01,663
1952-12-01,600
1953-01-01,603
1953-02-01,576
1953-03-01,629
1953-04-01,585
1953-05-01,510
1953-06-01,554
1953-07-01,565
1953-08-01,576
1953-09-01,664
1953-10-01,699
1953-11-01,714
1953-12-01,975
1954-01-01,1139
1954-02-01,1168
1954-03-01,1278
1954-04-01,1276
1954-05-01,1245
1954-06-01,1209
1954-07-01,1215
1954-08-01,1211
1954-09-01,1278
1954-10-01,1146
1954-11-01,1099
1954-12-01,1022
1955-01-01,1051
1955-02-01,984
1955-03-01,952
1955-04-01,958
1955-05-01,954
1955-06-01,957
1955-07-01,943
1955-08-01,1034
1955-09-01,1041
1955-10-01,1066
1955-11-01,1034
1955-12-01,1043
1956-01-01,958
1956-02-01,903
1956-03-01,1068
1956-04-01,1013
1956-05-01,1085
1956-06-01,1097
1956-07-01,1224
1956-08-01,1039
1956-09-01,1002
1956-10-01,1004
1956-11-01,1048
1956-12-01,1011
1957-01-01,1032
1957-02-01,984
1957-03-01,926
1957-04-01,893
1957-05-01,1016
1957-06-01,1043
1957-07-01,1050
1957-08-01,1007
1957-09-01,1005
1957-10-01,1013
1957-11-01,1116
1957-12-01,1115
1958-01-01,1301
1958-02-01,1456
1958-03-01,1446
1958-04-01,1680
1958-05-01,1616
1958-06-01,1583
1958-07-01,1609
1958-08-01,1603
1958-09-01,1558
1958-10-01,1493
1958-11-01,1320
1958-12-01,1363
1959-01-01,1378
1959-02-01,1325
1959-03-01,1377
1959-04-01,1365
1959-05-01,1297
1959-06-01,1263
1959-07-01,1274
1959-08-01,1265
1959-09-01,1257
1959-10-01,1387
1959-11-01,1300
1959-12-01,1325
1960-01-01,1290
1960-02-01,1221
1960-03-01,1307
1960-04-01,1285
1960-05-01,1273
1960-06-01,1353
1960-07-01,1365
1960-08-01,1357
1960-09-01,1337
1960-10-01,1485
1960-11-01,1531
1960-12-01,1661
1961-01-01,1630
1961-02-01,1756
1961-03-01,1786
1961-04-01,1747
1961-05-01,1767
1961-06-01,1835
1961-07-01,1827
1961-08-01,1672
1961-09-01,1733
1961-10-01,1725
1961-11-01,1571
1961-12-01,1520
1962-01-01,1599
1962-02-01,1475
1962-03-01,1493
1962-04-01,1476
1962-05-01,1432
1962-06-01,1396
1962-07-01,1456
1962-08-01,1543
1962-09-01,1534
1962-10-01,1477
1962-11-01,1525
1962-12-01,1502
1963-01-01,1555
1963-02-01,1591
1963-03-01,1526
1963-04-01,1530
1963-05-01,1660
1963-06-01,1584
1963-07-01,1627
1963-08-01,1545
1963-09-01,1641
1963-10-01,1645
1963-11-01,1655
1963-12-01,1597
1964-01-01,1646
1964-02-01,1655
1964-03-01,1661
1964-04-01,1643
1964-05-01,1610
1964-06-01,1569
1964-07-01,1504
1964-08-01,1508
1964-09-01,1527
1964-10-01,1552
1964-11-01,1506
1964-12-01,1583
1965-01-01,1501
1965-02-01,1640
1965-03-01,1539
1965-04-01,1529
1965-05-01,1430
1965-06-01,1500
1965-07-01,1398
1965-08-01,1378
1965-09-01,1410
1965-10-01,1347
1965-11-01,1426
1965-12-01,1366
1966-01-01,1341
1966-02-01,1243
1966-03-01,1272
1966-04-01,1303
1966-05-01,1421
1966-06-01,1324
1966-07-01,1318
1966-08-01,1361
1966-09-01,1303
1966-10-01,1352
1966-11-01,1284
1966-12-01,1352
1967-01-01,1505
1967-02-01,1439
1967-03-01,1412
1967-04-01,1379
1967-05-01,1390
1967-06-01,1446
1967-07-01,1460
1967-08-01,1399
1967-09-01,1528
1967-10-01,1622
1967-11-01,1514
1967-12-01,1498
1968-01-01,1417
1968-02-01,1469
1968-03-01,1405
1968-04-01,1349
1968-05-01,1396
1968-06-01,1436
1968-07-01,1463
1968-08-01,1364
1968-09-01,1328
1968-10-01,1333
1968-11-01,1369
1968-12-01,1361
1969-01-01,1358
1969-02-01,1375
1969-03-01,1372
1969-04-01,1435
1969-05-01,1401
1969-06-01,1460
1969-07-01,1396
1969-08-01,1470
1969-09-01,1497
1969-10-01,1537
1969-11-01,1402
1969-12-01,1390
1970-01-01,1535
1970-02-01,1607
1970-03-01,1745
1970-04-01,1732
1970-05-01,1793
1970-06-01,1777
1970-07-01,1839
1970-08-01,1886
1970-09-01,1973
1970-10-01,2033
1970-11-01,2218
1970-12-01,2192
1971-01-01,2191
1971-02-01,2172
1971-03-01,2264
1971-04-01,2247
1971-05-01,2214
1971-06-01,2180
1971-07-01,2233
1971-08-01,2264
1971-09-01,2235
1971-10-01,2210
1971-11-01,2300
1971-12-01,2250
1972-01-01,2212
1972-02-01,2099
1972-03-01,2227
1972-04-01,2232
1972-05-01,2221
1972-06-01,2287
1972-07-01,2339
1972-08-01,2311
1972-09-01,2262
1972-10-01,2288
1972-11-01,2108
1972-12-01,2100
