"Date","GAWHIT1LFN"
1990-01-01,6597
1990-02-01,6512
1990-03-01,6611
1990-04-01,6786
1990-05-01,6910
1990-06-01,7031
1990-07-01,7262
1990-08-01,7055
1990-09-01,6997
1990-10-01,6964
1990-11-01,6741
1990-12-01,6674
1991-01-01,6651
1991-02-01,6848
1991-03-01,6857
1991-04-01,6890
1991-05-01,6962
1991-06-01,7240
1991-07-01,7451
1991-08-01,7344
1991-09-01,7520
1991-10-01,7477
1991-11-01,7383
1991-12-01,7261
1992-01-01,7293
1992-02-01,7619
1992-03-01,7813
1992-04-01,7893
1992-05-01,7913
1992-06-01,8280
1992-07-01,8184
1992-08-01,8157
1992-09-01,8283
1992-10-01,7926
1992-11-01,7859
1992-12-01,7882
1993-01-01,7663
1993-02-01,7700
1993-03-01,7893
1993-04-01,7735
1993-05-01,7918
1993-06-01,8226
1993-07-01,8665
1993-08-01,8525
1993-09-01,8487
1993-10-01,8415
1993-11-01,8345
1993-12-01,8404
1994-01-01,7791
1994-02-01,7916
1994-03-01,8057
1994-04-01,8228
1994-05-01,8325
1994-06-01,8450
1994-07-01,8931
1994-08-01,8937
1994-09-01,8881
1994-10-01,8797
1994-11-01,8728
1994-12-01,8663
1995-01-01,8421
1995-02-01,8471
1995-03-01,8620
1995-04-01,8787
1995-05-01,8849
1995-06-01,9102
1995-07-01,9226
1995-08-01,9239
1995-09-01,9057
1995-10-01,9186
1995-11-01,8809
1995-12-01,8651
1996-01-01,9152
1996-02-01,9124
1996-03-01,9238
1996-04-01,9334
1996-05-01,9708
1996-06-01,9516
1996-07-01,9113
1996-08-01,9220
1996-09-01,9187
1996-10-01,9612
1996-11-01,9520
1996-12-01,9419
1997-01-01,9368
1997-02-01,9429
1997-03-01,9481
1997-04-01,9632
1997-05-01,9624
1997-06-01,9803
1997-07-01,9754
1997-08-01,9460
1997-09-01,9399
1997-10-01,9546
1997-11-01,9264
1997-12-01,9388
1998-01-01,8409
1998-02-01,8750
1998-03-01,8800
1998-04-01,8975
1998-05-01,8858
1998-06-01,9153
1998-07-01,9412
1998-08-01,9330
1998-09-01,9511
1998-10-01,9704
1998-11-01,9433
1998-12-01,9600
1999-01-01,8903
1999-02-01,8921
1999-03-01,9523
1999-04-01,9472
1999-05-01,9182
1999-06-01,9317
1999-07-01,9463
1999-08-01,9067
1999-09-01,9397
1999-10-01,9833
1999-11-01,9448
