"Date","MISTJO5LFN"
1990-01-01,28993
1990-02-01,28924
1990-03-01,28963
1990-04-01,28760
1990-05-01,29622
1990-06-01,30580
1990-07-01,30904
1990-08-01,32719
1990-09-01,30132
1990-10-01,29360
1990-11-01,29002
1990-12-01,28702
1991-01-01,28356
1991-02-01,28527
1991-03-01,28357
1991-04-01,28342
1991-05-01,28471
1991-06-01,29013
1991-07-01,30718
1991-08-01,28736
1991-09-01,28578
1991-10-01,28466
1991-11-01,28564
1991-12-01,28414
1992-01-01,28303
1992-02-01,28626
1992-03-01,28725
1992-04-01,28700
1992-05-01,29460
1992-06-01,30058
1992-07-01,30654
1992-08-01,31270
1992-09-01,29963
1992-10-01,29544
1992-11-01,29624
1992-12-01,29370
1993-01-01,29150
1993-02-01,29108
1993-03-01,29430
1993-04-01,29656
1993-05-01,30759
1993-06-01,31405
1993-07-01,31915
1993-08-01,32746
1993-09-01,31154
1993-10-01,30856
1993-11-01,30892
1993-12-01,31118
1994-01-01,30919
1994-02-01,31251
1994-03-01,31080
1994-04-01,31493
1994-05-01,32082
1994-06-01,32919
1994-07-01,34413
1994-08-01,34472
1994-09-01,33358
1994-10-01,32541
1994-11-01,32588
1994-12-01,32234
1995-01-01,32324
1995-02-01,32450
1995-03-01,32563
1995-04-01,32672
1995-05-01,33301
1995-06-01,33508
1995-07-01,32560
1995-08-01,33683
1995-09-01,32732
1995-10-01,32997
1995-11-01,32759
1995-12-01,32426
1996-01-01,32040
1996-02-01,32056
1996-03-01,32147
1996-04-01,32035
1996-05-01,32628
1996-06-01,33127
1996-07-01,33385
1996-08-01,33740
1996-09-01,32541
1996-10-01,32728
1996-11-01,32601
1996-12-01,32565
1997-01-01,32190
1997-02-01,32511
1997-03-01,32763
1997-04-01,32607
1997-05-01,32916
1997-06-01,33452
1997-07-01,33322
1997-08-01,34592
1997-09-01,32827
1997-10-01,33004
1997-11-01,32643
1997-12-01,32630
1998-01-01,32493
1998-02-01,32382
1998-03-01,32246
1998-04-01,31483
1998-05-01,32121
1998-06-01,32353
1998-07-01,33188
1998-08-01,32925
1998-09-01,32139
1998-10-01,32209
1998-11-01,31956
1998-12-01,31905
1999-01-01,31720
1999-02-01,31745
1999-03-01,31767
1999-04-01,31659
1999-05-01,32265
1999-06-01,32777
1999-07-01,34344
1999-08-01,33850
1999-09-01,33415
1999-10-01,33256
1999-11-01,33249
1999-12-01,33147
2000-01-01,32211
2000-02-01,32260
2000-03-01,32472
2000-04-01,32651
2000-05-01,32803
2000-06-01,32972
2000-07-01,32796
2000-08-01,33873
2000-09-01,32080
2000-10-01,32518
2000-11-01,32261
2000-12-01,32193
2001-01-01,32400
2001-02-01,32601
2001-03-01,32654
2001-04-01,32325
2001-05-01,32286
2001-06-01,32533
2001-07-01,32263
2001-08-01,33621
2001-09-01,31712
2001-10-01,31912
2001-11-01,31567
2001-12-01,31566
2002-01-01,30598
2002-02-01,30479
2002-03-01,30755
2002-04-01,30179
2002-05-01,30544
2002-06-01,30656
2002-07-01,30587
2002-08-01,31687
2002-09-01,30532
2002-10-01,30376
2002-11-01,30160
2002-12-01,30134
2003-01-01,30240
2003-02-01,30228
2003-03-01,30326
2003-04-01,29910
2003-05-01,30385
2003-06-01,30678
2003-07-01,30639
2003-08-01,31976
2003-09-01,30604
2003-10-01,30878
2003-11-01,30602
2003-12-01,30236
2004-01-01,30722
2004-02-01,30606
2004-03-01,30945
2004-04-01,30349
2004-05-01,30784
2004-06-01,30961
2004-07-01,31307
2004-08-01,32277
2004-09-01,30898
2004-10-01,30861
2004-11-01,31024
2004-12-01,30725
2005-01-01,30699
2005-02-01,30766
2005-03-01,30964
2005-04-01,30514
2005-05-01,31178
2005-06-01,31266
2005-07-01,31212
2005-08-01,31711
2005-09-01,30774
2005-10-01,31027
2005-11-01,30901
2005-12-01,30813
2006-01-01,30851
2006-02-01,31046
2006-03-01,31114
2006-04-01,31098
2006-05-01,31641
2006-06-01,31716
2006-07-01,32035
2006-08-01,32493
2006-09-01,31359
2006-10-01,31735
2006-11-01,31667
2006-12-01,31350
2007-01-01,31580
2007-02-01,31314
2007-03-01,31236
2007-04-01,31144
2007-05-01,31460
2007-06-01,32003
2007-07-01,32240
2007-08-01,32717
2007-09-01,31578
2007-10-01,31583
2007-11-01,31586
2007-12-01,31329
2008-01-01,31135
2008-02-01,30831
2008-03-01,30800
2008-04-01,30403
2008-05-01,30699
2008-06-01,31348
2008-07-01,31083
2008-08-01,31464
2008-09-01,29848
2008-10-01,30017
2008-11-01,29734
2008-12-01,29423
2009-01-01,29297
2009-02-01,29125
2009-03-01,29085
2009-04-01,28909
2009-05-01,29068
2009-06-01,29247
2009-07-01,29115
2009-08-01,29538
2009-09-01,27811
2009-10-01,27835
2009-11-01,27733
2009-12-01,27509
2010-01-01,27363
2010-02-01,27178
2010-03-01,27539
2010-04-01,27848
2010-05-01,28088
2010-06-01,28499
2010-07-01,28301
2010-08-01,29218
2010-09-01,27674
2010-10-01,27540
2010-11-01,27464
2010-12-01,27325
2011-01-01,27183
2011-02-01,27078
2011-03-01,27257
2011-04-01,27370
2011-05-01,27821
2011-06-01,28141
2011-07-01,27762
2011-08-01,28627
2011-09-01,27371
2011-10-01,27407
2011-11-01,27237
2011-12-01,27184
2012-01-01,27205
2012-02-01,27151
2012-03-01,27436
2012-04-01,27154
2012-05-01,27671
2012-06-01,28031
2012-07-01,27753
2012-08-01,28013
2012-09-01,27521
2012-10-01,27691
2012-11-01,27396
2012-12-01,27517
2013-01-01,27600
2013-02-01,27515
2013-03-01,27568
2013-04-01,27949
2013-05-01,28586
2013-06-01,29099
2013-07-01,28580
2013-08-01,29003
2013-09-01,28231
2013-10-01,28110
2013-11-01,28502
2013-12-01,28401
2014-01-01,28331
2014-02-01,28427
2014-03-01,28655
2014-04-01,28619
2014-05-01,29090
2014-06-01,29667
2014-07-01,29161
2014-08-01,29558
2014-09-01,28892
2014-10-01,29020
2014-11-01,28923
2014-12-01,28794
2015-01-01,28988
2015-02-01,28906
2015-03-01,28982
2015-04-01,28817
2015-05-01,29488
2015-06-01,29781
2015-07-01,29461
2015-08-01,29947
2015-09-01,29013
2015-10-01,28931
2015-11-01,28928
2015-12-01,28915
2016-01-01,28791
2016-02-01,29055
2016-03-01,29182
2016-04-01,29181
2016-05-01,29564
2016-06-01,29998
2016-07-01,29756
2016-08-01,30020
2016-09-01,28982
2016-10-01,28748
2016-11-01,28635
2016-12-01,28480
2017-01-01,28452
2017-02-01,28613
2017-03-01,28634
2017-04-01,28620
2017-05-01,28953
2017-06-01,29324
2017-07-01,29015
2017-08-01,29463
2017-09-01,28713
2017-10-01,28477
2017-11-01,28430
2017-12-01,28105
2018-01-01,27836
2018-02-01,27986
2018-03-01,28121
2018-04-01,28199
2018-05-01,28399
2018-06-01,28808
2018-07-01,29132
2018-08-01,29061
2018-09-01,28169
2018-10-01,28254
2018-11-01,28350
2018-12-01,27951
2019-01-01,28054
2019-02-01,27819
2019-03-01,27945
2019-04-01,28013
2019-05-01,28377
2019-06-01,28616
2019-07-01,28597
2019-08-01,29013
2019-09-01,28134
2019-10-01,27979
2019-11-01,28216
2019-12-01,28085
2020-01-01,28155
2020-02-01,28205
2020-03-01,28158
2020-04-01,29484
2020-05-01,29440
2020-06-01,31264
2020-07-01,30905
2020-08-01,29787
2020-09-01,28962
2020-10-01,28624
2020-11-01,28467
2020-12-01,27997
2021-01-01,27923
2021-02-01,27795
2021-03-01,27846
2021-04-01,27694
2021-05-01,27894
2021-06-01,28062
2021-07-01,28087
2021-08-01,28491
2021-09-01,27578
2021-10-01,27396
2021-11-01,27458
2021-12-01,27507
2022-01-01,27751
2022-02-01,27811
2022-03-01,28086
2022-04-01,28179
2022-05-01,28561
2022-06-01,28826
2022-07-01,28876
2022-08-01,29063
2022-09-01,28368
2022-10-01,28065
2022-11-01,28123
2022-12-01,27953
2023-01-01,28242
2023-02-01,28283
2023-03-01,28310
2023-04-01,28785
2023-05-01,29235
2023-06-01,29235
2023-07-01,28978
2023-08-01,29806
2023-09-01,28896
2023-10-01,28997
