"Date","TXCOLL5LFN"
2010-07-01,428790
2010-08-01,429197
2010-09-01,428446
2010-10-01,428324
2010-11-01,430189
2010-12-01,429316
2011-01-01,432189
2011-02-01,433641
2011-03-01,435234
2011-04-01,436803
2011-05-01,437425
2011-06-01,439019
2011-07-01,440635
2011-08-01,440447
2011-09-01,441900
2011-10-01,441650
2011-11-01,441443
2011-12-01,439894
2012-01-01,440253
2012-02-01,442889
2012-03-01,442955
2012-04-01,443634
2012-05-01,445562
2012-06-01,447547
2012-07-01,447947
2012-08-01,445772
2012-09-01,446891
2012-10-01,448355
2012-11-01,448333
2012-12-01,448228
2013-01-01,450394
2013-02-01,451193
2013-03-01,451551
2013-04-01,453486
2013-05-01,455257
2013-06-01,458326
2013-07-01,459905
2013-08-01,459776
2013-09-01,460614
2013-10-01,458339
2013-11-01,462803
2013-12-01,461356
2014-01-01,466686
2014-02-01,468525
2014-03-01,470436
2014-04-01,470443
2014-05-01,471346
2014-06-01,473961
2014-07-01,476489
2014-08-01,475941
2014-09-01,475540
2014-10-01,476601
2014-11-01,478328
2014-12-01,476522
2015-01-01,481743
2015-02-01,482573
2015-03-01,481592
2015-04-01,485495
2015-05-01,486979
2015-06-01,489188
2015-07-01,491580
2015-08-01,491508
2015-09-01,490244
2015-10-01,492799
2015-11-01,495874
2015-12-01,496150
2016-01-01,502378
2016-02-01,506915
2016-03-01,507494
2016-04-01,508685
2016-05-01,509024
2016-06-01,512470
2016-07-01,516379
2016-08-01,516548
2016-09-01,517902
2016-10-01,518691
2016-11-01,521396
2016-12-01,520812
2017-01-01,520686
2017-02-01,524308
2017-03-01,523812
2017-04-01,526142
2017-05-01,524436
2017-06-01,527584
2017-07-01,530647
2017-08-01,530355
2017-09-01,532564
2017-10-01,530401
2017-11-01,534374
2017-12-01,532514
2018-01-01,540929
2018-02-01,545770
2018-03-01,543897
2018-04-01,544357
2018-05-01,543877
2018-06-01,548730
2018-07-01,550526
2018-08-01,546457
2018-09-01,547284
2018-10-01,550360
2018-11-01,552934
2018-12-01,552941
2019-01-01,558992
2019-02-01,561749
2019-03-01,560237
2019-04-01,560114
2019-05-01,560320
2019-06-01,566231
2019-07-01,569951
2019-08-01,568617
2019-09-01,570751
2019-10-01,574829
2019-11-01,577495
2019-12-01,575919
2020-01-01,585117
2020-02-01,588890
2020-03-01,575643
2020-04-01,549732
