"Date","TXLUBB3LFN"
2013-03-01,145687
2013-04-01,146956
2013-05-01,147715
2013-06-01,147758
2013-07-01,148411
2013-08-01,147876
2013-09-01,148060
2013-10-01,146946
2013-11-01,148071
2013-12-01,146987
2014-01-01,146082
2014-02-01,147769
2014-03-01,147687
2014-04-01,147676
2014-05-01,148087
2014-06-01,147620
2014-07-01,148348
2014-08-01,147488
2014-09-01,147265
2014-10-01,148060
2014-11-01,148027
2014-12-01,146697
2015-01-01,148004
2015-02-01,149097
2015-03-01,149187
2015-04-01,149096
2015-05-01,149408
2015-06-01,149221
2015-07-01,149824
2015-08-01,149700
2015-09-01,149679
2015-10-01,150194
2015-11-01,151245
2015-12-01,150913
2016-01-01,149730
2016-02-01,152494
2016-03-01,153135
2016-04-01,153632
2016-05-01,153929
2016-06-01,154009
2016-07-01,153777
2016-08-01,154097
2016-09-01,153747
2016-10-01,154572
2016-11-01,155610
2016-12-01,154782
2017-01-01,152878
2017-02-01,154575
2017-03-01,154905
2017-04-01,155220
2017-05-01,154761
2017-06-01,154496
2017-07-01,155125
2017-08-01,155427
2017-09-01,155323
2017-10-01,154922
2017-11-01,155584
2017-12-01,154586
2018-01-01,153633
2018-02-01,155507
2018-03-01,155732
2018-04-01,155607
2018-05-01,155599
2018-06-01,155834
2018-07-01,156138
2018-08-01,155247
2018-09-01,154922
2018-10-01,155101
2018-11-01,155793
2018-12-01,155107
2019-01-01,155240
2019-02-01,156529
2019-03-01,156356
2019-04-01,156357
2019-05-01,156101
2019-06-01,156794
2019-07-01,157094
2019-08-01,156987
2019-09-01,156948
2019-10-01,158128
2019-11-01,158255
2019-12-01,157383
2020-01-01,157156
2020-02-01,158396
2020-03-01,154881
2020-04-01,146508
2020-05-01,151298
2020-06-01,155415
2020-07-01,157008
2020-08-01,158640
2020-09-01,158744
2020-10-01,160990
2020-11-01,161233
2020-12-01,160640
2021-01-01,159071
2021-02-01,161145
2021-03-01,161721
2021-04-01,161455
2021-05-01,161143
2021-06-01,160998
2021-07-01,160342
2021-08-01,160574
2021-09-01,162171
2021-10-01,163668
2021-11-01,164557
2021-12-01,163514
2022-01-01,163543
2022-02-01,165224
2022-03-01,165354
2022-04-01,164289
2022-05-01,164005
2022-06-01,163680
2022-07-01,163517
2022-08-01,162697
2022-09-01,162993
2022-10-01,162712
2022-11-01,163472
2022-12-01,163404
2023-01-01,164861
2023-02-01,166876
2023-03-01,167326
2023-04-01,165818
2023-05-01,165053
2023-06-01,164639
2023-07-01,166294
2023-08-01,166041
2023-09-01,166115
2023-10-01,166645
