"Date","UEMP5TO14"
1948-01-01,507
1948-02-01,677
1948-03-01,830
1948-04-01,694
1948-05-01,671
1948-06-01,611
1948-07-01,643
1948-08-01,591
1948-09-01,759
1948-10-01,655
1948-11-01,682
1948-12-01,696
1949-01-01,715
1949-02-01,889
1949-03-01,1025
1949-04-01,1171
1949-05-01,1247
1949-06-01,1405
1949-07-01,1410
1949-08-01,1472
1949-09-01,1506
1949-10-01,1385
1949-11-01,1242
1949-12-01,1400
1950-01-01,1256
1950-02-01,1333
1950-03-01,1329
1950-04-01,1126
1950-05-01,1011
1950-06-01,1090
1950-07-01,955
1950-08-01,953
1950-09-01,888
1950-10-01,752
1950-11-01,755
1950-12-01,725
1951-01-01,687
1951-02-01,608
1951-03-01,558
1951-04-01,503
1951-05-01,490
1951-06-01,656
1951-07-01,480
1951-08-01,522
1951-09-01,549
1951-10-01,627
1951-11-01,630
1951-12-01,569
1952-01-01,549
1952-02-01,541
1952-03-01,477
1952-04-01,480
1952-05-01,511
1952-06-01,482
1952-07-01,573
1952-08-01,584
1952-09-01,541
1952-10-01,548
1952-11-01,493
1952-12-01,406
1953-01-01,469
1953-02-01,409
1953-03-01,445
1953-04-01,486
1953-05-01,494
1953-06-01,406
1953-07-01,453
1953-08-01,394
1953-09-01,446
1953-10-01,497
1953-11-01,591
1953-12-01,752
1954-01-01,962
1954-02-01,1080
1954-03-01,1083
1954-04-01,1183
1954-05-01,1218
1954-06-01,1141
1954-07-01,1043
1954-08-01,1233
1954-09-01,1412
1954-10-01,1136
1954-11-01,1069
1954-12-01,1014
1955-01-01,879
1955-02-01,857
1955-03-01,873
1955-04-01,848
1955-05-01,678
1955-06-01,781
1955-07-01,679
1955-08-01,784
1955-09-01,807
1955-10-01,845
1955-11-01,841
1955-12-01,840
1956-01-01,715
1956-02-01,774
1956-03-01,789
1956-04-01,824
1956-05-01,918
1956-06-01,967
1956-07-01,906
1956-08-01,786
1956-09-01,726
1956-10-01,742
1956-11-01,751
1956-12-01,790
1957-01-01,857
1957-02-01,793
1957-03-01,785
1957-04-01,738
1957-05-01,776
1957-06-01,1008
1957-07-01,871
1957-08-01,810
1957-09-01,925
1957-10-01,1000
1957-11-01,1113
1957-12-01,1190
1958-01-01,1278
1958-02-01,1429
1958-03-01,1483
1958-04-01,1588
1958-05-01,1590
1958-06-01,1536
1958-07-01,1433
1958-08-01,1407
1958-09-01,1488
1958-10-01,1239
1958-11-01,1130
1958-12-01,1135
1959-01-01,1169
1959-02-01,1164
1959-03-01,1093
1959-04-01,934
1959-05-01,1005
1959-06-01,963
1959-07-01,1047
1959-08-01,1113
1959-09-01,1275
1959-10-01,1292
1959-11-01,1205
1959-12-01,1122
1960-01-01,1045
1960-02-01,1034
1960-03-01,1120
1960-04-01,1002
1960-05-01,1074
1960-06-01,1182
1960-07-01,1184
1960-08-01,1287
1960-09-01,1213
1960-10-01,1282
1960-11-01,1367
1960-12-01,1468
1961-01-01,1477
1961-02-01,1407
1961-03-01,1476
1961-04-01,1427
1961-05-01,1432
1961-06-01,1419
1961-07-01,1356
1961-08-01,1387
1961-09-01,1297
1961-10-01,1288
1961-11-01,1269
1961-12-01,1175
1962-01-01,1161
1962-02-01,1118
1962-03-01,1049
1962-04-01,1105
1962-05-01,1131
1962-06-01,1101
1962-07-01,1142
1962-08-01,1238
1962-09-01,1192
1962-10-01,1144
1962-11-01,1076
1962-12-01,1171
1963-01-01,1253
1963-02-01,1283
1963-03-01,1266
1963-04-01,1226
1963-05-01,1160
1963-06-01,1259
1963-07-01,1289
1963-08-01,1150
1963-09-01,1225
1963-10-01,1163
1963-11-01,1227
1963-12-01,1213
1964-01-01,1156
1964-02-01,1216
1964-03-01,1124
1964-04-01,1192
1964-05-01,1094
1964-06-01,1109
1964-07-01,1112
1964-08-01,1074
1964-09-01,1097
1964-10-01,1055
1964-11-01,1047
1964-12-01,1057
1965-01-01,1092
1965-02-01,1090
