"Date","D1LFN"
1990-01-01,6568.752
1990-02-01,6567.215
1990-03-01,6591.655
1990-04-01,6579.181
1990-05-01,6619.882
1990-06-01,6748.148
1990-07-01,6789.017
1990-08-01,6756.681
1990-09-01,6627.829
1990-10-01,6645.596
1990-11-01,6645.408
1990-12-01,6628.944
1991-01-01,6596.636
1991-02-01,6596.054
1991-03-01,6608.855
1991-04-01,6605.801
1991-05-01,6615.917
1991-06-01,6758.549
1991-07-01,6788.142
1991-08-01,6740.875
1991-09-01,6628.172
1991-10-01,6636.33
1991-11-01,6631.851
1991-12-01,6603.042
1992-01-01,6585.874
1992-02-01,6571.12
1992-03-01,6586.158
1992-04-01,6574.723
1992-05-01,6602.755
1992-06-01,6744.32
1992-07-01,6783.892
1992-08-01,6743.931
1992-09-01,6611.674
1992-10-01,6614.509
1992-11-01,6625.729
1992-12-01,6602.786
1993-01-01,6560.131
1993-02-01,6552.579
1993-03-01,6553.044
1993-04-01,6524.477
1993-05-01,6564.875
1993-06-01,6692.412
1993-07-01,6723.397
1993-08-01,6692.263
1993-09-01,6553.33
1993-10-01,6576.421
1993-11-01,6579.294
1993-12-01,6557.301
1994-01-01,6536.384
1994-02-01,6528.486
1994-03-01,6524.718
1994-04-01,6506.042
1994-05-01,6543.093
1994-06-01,6660.45
1994-07-01,6700.761
1994-08-01,6686.436
1994-09-01,6561.668
1994-10-01,6595.227
1994-11-01,6603.35
1994-12-01,6578.123
1995-01-01,6546.885
1995-02-01,6544.835
1995-03-01,6553.339
1995-04-01,6543.382
1995-05-01,6553.795
1995-06-01,6681.855
1995-07-01,6733.053
1995-08-01,6699.932
1995-09-01,6579.565
1995-10-01,6608.495
1995-11-01,6604.697
1995-12-01,6579.726
1996-01-01,6556.751
1996-02-01,6566.336
1996-03-01,6591.363
1996-04-01,6575.204
1996-05-01,6622.151
1996-06-01,6749.267
1996-07-01,6806.498
1996-08-01,6774.283
1996-09-01,6666.817
1996-10-01,6708.456
1996-11-01,6715.389
1996-12-01,6697.429
1997-01-01,6681.025
1997-02-01,6675.738
1997-03-01,6716.029
1997-04-01,6696.074
1997-05-01,6736.074
1997-06-01,6854.69
1997-07-01,6897.931
1997-08-01,6868.064
1997-09-01,6741.841
1997-10-01,6767.849
1997-11-01,6782.411
1997-12-01,6765.594
1998-01-01,6734.186
1998-02-01,6731.047
1998-03-01,6754.681
1998-04-01,6727.992
1998-05-01,6767.41
1998-06-01,6885.782
1998-07-01,6926.258
1998-08-01,6895.059
1998-09-01,6796.344
1998-10-01,6825.804
1998-11-01,6837.008
1998-12-01,6830.342
1999-01-01,6810.585
1999-02-01,6804.228
1999-03-01,6820.106
1999-04-01,6799.211
1999-05-01,6834.842
1999-06-01,6959.67
1999-07-01,6991.869
1999-08-01,6959.596
1999-09-01,6844.326
1999-10-01,6871.912
1999-11-01,6879.675
1999-12-01,6869.128
2000-01-01,6855.765
2000-02-01,6851.013
2000-03-01,6854.946
2000-04-01,6835.09
2000-05-01,6838.526
2000-06-01,6963.859
2000-07-01,6979.677
2000-08-01,6952.806
2000-09-01,6834.387
2000-10-01,6866.807
2000-11-01,6878.754
2000-12-01,6884.621
2001-01-01,6880.872
2001-02-01,6879.199
2001-03-01,6904.908
2001-04-01,6879.984
2001-05-01,6900.419
2001-06-01,7021.619
2001-07-01,7063.049
2001-08-01,7022.8
2001-09-01,6930.076
2001-10-01,6951.868
2001-11-01,6953.465
2001-12-01,6949.043
2002-01-01,6924.528
2002-02-01,6948.46
2002-03-01,6960.993
2002-04-01,6951.857
2002-05-01,6983.689
2002-06-01,7109.409
2002-07-01,7144.724
2002-08-01,7131.367
2002-09-01,7037.563
2002-10-01,7052.483
2002-11-01,7041.296
2002-12-01,7028.528
2003-01-01,7013.011
