"Date","OKCHOC3LFN"
1990-01-01,5555
1990-02-01,5779
1990-03-01,5869
1990-04-01,6011
1990-05-01,5936
1990-06-01,5898
1990-07-01,5595
1990-08-01,5568
1990-09-01,5723
1990-10-01,5811
1990-11-01,5731
1990-12-01,5825
1991-01-01,5797
1991-02-01,6047
1991-03-01,5972
1991-04-01,6034
1991-05-01,6076
1991-06-01,6128
1991-07-01,5860
1991-08-01,5817
1991-09-01,6043
1991-10-01,6242
1991-11-01,6141
1991-12-01,6074
1992-01-01,6000
1992-02-01,5942
1992-03-01,5951
1992-04-01,6078
1992-05-01,6063
1992-06-01,6099
1992-07-01,5803
1992-08-01,5717
1992-09-01,5902
1992-10-01,5952
1992-11-01,5952
1992-12-01,5765
1993-01-01,5869
1993-02-01,5791
1993-03-01,5769
1993-04-01,5985
1993-05-01,6037
1993-06-01,6093
1993-07-01,5731
1993-08-01,5727
1993-09-01,5979
1993-10-01,5961
1993-11-01,6033
1993-12-01,5775
1994-01-01,5878
1994-02-01,5938
1994-03-01,5933
1994-04-01,5937
1994-05-01,5983
1994-06-01,5849
1994-07-01,5923
1994-08-01,5838
1994-09-01,5832
1994-10-01,5967
1994-11-01,6019
1994-12-01,5795
1995-01-01,5531
1995-02-01,5519
1995-03-01,5641
1995-04-01,5608
1995-05-01,5599
1995-06-01,5841
1995-07-01,5513
1995-08-01,5430
1995-09-01,5693
1995-10-01,5681
1995-11-01,5542
1995-12-01,5475
1996-01-01,5760
1996-02-01,5697
1996-03-01,5794
1996-04-01,5932
1996-05-01,6009
1996-06-01,5825
1996-07-01,5275
1996-08-01,5235
1996-09-01,5533
1996-10-01,5589
1996-11-01,5432
1996-12-01,5405
1997-01-01,5513
1997-02-01,5587
1997-03-01,5624
1997-04-01,5684
1997-05-01,5857
1997-06-01,5788
1997-07-01,5501
1997-08-01,5614
1997-09-01,5503
1997-10-01,5581
1997-11-01,5619
1997-12-01,5634
1998-01-01,5529
1998-02-01,5508
1998-03-01,5546
1998-04-01,5658
1998-05-01,5699
1998-06-01,5765
1998-07-01,5277
1998-08-01,5608
1998-09-01,5746
1998-10-01,5717
1998-11-01,5385
1998-12-01,5217
1999-01-01,5438
1999-02-01,5494
1999-03-01,5523
1999-04-01,5631
1999-05-01,5562
1999-06-01,5686
1999-07-01,5433
1999-08-01,5457
1999-09-01,5654
1999-10-01,5597
1999-11-01,5526
1999-12-01,5276
2000-01-01,5944
2000-02-01,6002
2000-03-01,6211
2000-04-01,6126
2000-05-01,6183
2000-06-01,6180
2000-07-01,6045
2000-08-01,6104
2000-09-01,6099
2000-10-01,5996
2000-11-01,5909
2000-12-01,5822
2001-01-01,6018
2001-02-01,6170
2001-03-01,6196
2001-04-01,6324
2001-05-01,6381
2001-06-01,6469
2001-07-01,6078
2001-08-01,6205
2001-09-01,6356
2001-10-01,6526
2001-11-01,6485
2001-12-01,6284
2002-01-01,6321
2002-02-01,6339
2002-03-01,6446
2002-04-01,6531
2002-05-01,6541
2002-06-01,6633
2002-07-01,6305
2002-08-01,6434
2002-09-01,6709
2002-10-01,6716
2002-11-01,6714
2002-12-01,6562
2003-01-01,6736
2003-02-01,6589
2003-03-01,6653
2003-04-01,6537
2003-05-01,6554
2003-06-01,6603
2003-07-01,6142
2003-08-01,6304
2003-09-01,6407
2003-10-01,6464
2003-11-01,6451
2003-12-01,6099
2004-01-01,6262
2004-02-01,6241
2004-03-01,6341
2004-04-01,6496
2004-05-01,6442
2004-06-01,6541
2004-07-01,6241
2004-08-01,6363
2004-09-01,6339
2004-10-01,6441
2004-11-01,6315
2004-12-01,6098
2005-01-01,6231
2005-02-01,6340
2005-03-01,6417
2005-04-01,6576
2005-05-01,6597
2005-06-01,6624
2005-07-01,6387
2005-08-01,6568
2005-09-01,6657
2005-10-01,6600
2005-11-01,6502
2005-12-01,6345
2006-01-01,6599
2006-02-01,6845
2006-03-01,6791
2006-04-01,6674
2006-05-01,6573
2006-06-01,6751
2006-07-01,6466
2006-08-01,6714
2006-09-01,6791
2006-10-01,6809
2006-11-01,6754
2006-12-01,6686
2007-01-01,6911
2007-02-01,6903
2007-03-01,7016
2007-04-01,6959
2007-05-01,6837
2007-06-01,6862
2007-07-01,6655
2007-08-01,6764
2007-09-01,6824
2007-10-01,6719
2007-11-01,6780
2007-12-01,6690
2008-01-01,6840
2008-02-01,6808
2008-03-01,6840
2008-04-01,6841
2008-05-01,6854
2008-06-01,7004
2008-07-01,6754
2008-08-01,7009
2008-09-01,7008
2008-10-01,6922
2008-11-01,6888
2008-12-01,6878
2009-01-01,7063
2009-02-01,7092
2009-03-01,7147
2009-04-01,7322
2009-05-01,7442
2009-06-01,7453
2009-07-01,7290
2009-08-01,7599
2009-09-01,7472
2009-10-01,7320
2009-11-01,7404
2009-12-01,7221
2010-01-01,6222
2010-02-01,6214
2010-03-01,6200
2010-04-01,6198
2010-05-01,6145
2010-06-01,6087
2010-07-01,5892
2010-08-01,6116
2010-09-01,6036
2010-10-01,6079
2010-11-01,6072
2010-12-01,6047
2011-01-01,6164
2011-02-01,6101
2011-03-01,6081
2011-04-01,5948
2011-05-01,5991
2011-06-01,5932
2011-07-01,6111
2011-08-01,6039
2011-09-01,6034
2011-10-01,5858
2011-11-01,5845
2011-12-01,5902
2012-01-01,5887
2012-02-01,5863
2012-03-01,5906
2012-04-01,5813
2012-05-01,5836
2012-06-01,5742
2012-07-01,5732
2012-08-01,5829
2012-09-01,5782
2012-10-01,5759
2012-11-01,5686
2012-12-01,5758
2013-01-01,6039
2013-02-01,5988
2013-03-01,5969
2013-04-01,5981
2013-05-01,6051
2013-06-01,6026
2013-07-01,5910
2013-08-01,6059
2013-09-01,6044
2013-10-01,5844
2013-11-01,5834
2013-12-01,5792
2014-01-01,5908
2014-02-01,5831
2014-03-01,5782
2014-04-01,5630
2014-05-01,5658
2014-06-01,5691
2014-07-01,5823
2014-08-01,5872
2014-09-01,5777
2014-10-01,5915
2014-11-01,5911
2014-12-01,5852
2015-01-01,6069
2015-02-01,6066
2015-03-01,5915
2015-04-01,5853
2015-05-01,5956
2015-06-01,5887
2015-07-01,5920
2015-08-01,5880
2015-09-01,5835
2015-10-01,5792
2015-11-01,5844
2015-12-01,5853
2016-01-01,5823
2016-02-01,5774
2016-03-01,5736
2016-04-01,5715
2016-05-01,5714
2016-06-01,5652
2016-07-01,5686
2016-08-01,5821
2016-09-01,5751
2016-10-01,5636
2016-11-01,5804
2016-12-01,5795
2017-01-01,5809
2017-02-01,5742
2017-03-01,5714
2017-04-01,5660
2017-05-01,5673
2017-06-01,5650
2017-07-01,5640
2017-08-01,5667
2017-09-01,5660
2017-10-01,5666
2017-11-01,5732
2017-12-01,5739
2018-01-01,5877
2018-02-01,5822
2018-03-01,5795
2018-04-01,5653
2018-05-01,5669
2018-06-01,5675
2018-07-01,5695
2018-08-01,5718
2018-09-01,5635
2018-10-01,5520
