"Date","NDPEMB7LFN"
1990-01-01,4450
1990-02-01,4445
1990-03-01,4465
1990-04-01,4452
1990-05-01,4586
1990-06-01,4756
1990-07-01,4969
1990-08-01,5133
1990-09-01,4849
1990-10-01,4897
1990-11-01,4473
1990-12-01,4461
1991-01-01,4439
1991-02-01,4468
1991-03-01,4617
1991-04-01,4537
1991-05-01,4668
1991-06-01,4791
1991-07-01,4963
1991-08-01,4973
1991-09-01,4885
1991-10-01,4903
1991-11-01,4453
1991-12-01,4475
1992-01-01,4540
1992-02-01,4595
1992-03-01,4662
1992-04-01,4754
1992-05-01,4802
1992-06-01,4910
1992-07-01,5129
1992-08-01,4834
1992-09-01,4941
1992-10-01,5075
1992-11-01,4721
1992-12-01,4670
1993-01-01,4566
1993-02-01,4581
1993-03-01,4603
1993-04-01,4638
1993-05-01,4795
1993-06-01,4902
1993-07-01,4979
1993-08-01,4936
1993-09-01,4800
1993-10-01,5074
1993-11-01,4709
1993-12-01,4646
1994-01-01,4632
1994-02-01,4722
1994-03-01,4813
1994-04-01,4862
1994-05-01,4943
1994-06-01,5223
1994-07-01,5314
1994-08-01,5263
1994-09-01,5198
1994-10-01,5480
1994-11-01,5014
1994-12-01,4929
1995-01-01,4997
1995-02-01,5010
1995-03-01,5040
1995-04-01,5120
1995-05-01,5160
1995-06-01,5428
1995-07-01,5253
1995-08-01,5267
1995-09-01,5423
1995-10-01,5448
1995-11-01,5192
1995-12-01,4993
1996-01-01,4954
1996-02-01,4938
1996-03-01,5043
1996-04-01,5195
1996-05-01,5176
1996-06-01,5157
1996-07-01,5368
1996-08-01,5285
1996-09-01,5317
1996-10-01,5516
1996-11-01,4999
1996-12-01,4960
1997-01-01,4811
1997-02-01,4814
1997-03-01,4837
1997-04-01,4899
1997-05-01,5030
1997-06-01,5134
1997-07-01,5324
1997-08-01,5213
1997-09-01,5298
1997-10-01,5518
1997-11-01,5100
1997-12-01,5048
1998-01-01,4974
1998-02-01,4954
1998-03-01,4914
1998-04-01,4944
1998-05-01,5074
1998-06-01,5099
1998-07-01,5348
1998-08-01,5158
1998-09-01,5064
1998-10-01,5529
1998-11-01,5051
1998-12-01,4934
1999-01-01,4876
1999-02-01,4850
1999-03-01,4848
1999-04-01,4841
1999-05-01,5032
1999-06-01,5138
1999-07-01,5482
1999-08-01,5150
1999-09-01,4975
1999-10-01,5112
1999-11-01,4628
1999-12-01,4606
2000-01-01,4512
2000-02-01,4521
2000-03-01,4437
2000-04-01,4474
2000-05-01,4623
2000-06-01,4682
2000-07-01,5007
2000-08-01,5134
2000-09-01,5042
2000-10-01,4948
2000-11-01,4461
2000-12-01,4442
2001-01-01,4455
2001-02-01,4438
2001-03-01,4461
2001-04-01,4544
2001-05-01,4688
2001-06-01,4689
2001-07-01,4997
2001-08-01,4954
2001-09-01,5115
2001-10-01,5071
2001-11-01,4558
2001-12-01,4589
2002-01-01,4115
2002-02-01,4155
2002-03-01,4103
2002-04-01,4159
2002-05-01,4234
2002-06-01,4328
2002-07-01,4310
2002-08-01,4301
2002-09-01,4269
2002-10-01,4272
2002-11-01,4111
2002-12-01,4106
2003-01-01,4270
2003-02-01,4287
2003-03-01,4230
2003-04-01,4188
2003-05-01,4298
2003-06-01,4377
2003-07-01,4318
2003-08-01,4447
2003-09-01,4292
2003-10-01,4356
2003-11-01,4232
2003-12-01,4209
2004-01-01,4075
2004-02-01,4066
2004-03-01,4088
2004-04-01,4068
2004-05-01,4191
2004-06-01,4334
2004-07-01,4417
2004-08-01,4413
2004-09-01,4186
2004-10-01,4177
2004-11-01,4138
2004-12-01,4199
2005-01-01,4073
2005-02-01,4069
2005-03-01,4074
2005-04-01,4101
2005-05-01,4173
2005-06-01,4291
2005-07-01,4269
2005-08-01,4276
2005-09-01,4228
2005-10-01,4187
2005-11-01,4133
2005-12-01,4081
2006-01-01,3992
2006-02-01,4024
2006-03-01,4006
2006-04-01,4086
2006-05-01,4078
2006-06-01,4224
2006-07-01,4223
2006-08-01,4296
2006-09-01,4218
2006-10-01,4104
2006-11-01,4039
2006-12-01,4046
2007-01-01,3985
2007-02-01,3983
2007-03-01,3989
2007-04-01,3950
2007-05-01,4039
2007-06-01,4210
2007-07-01,4215
2007-08-01,4104
2007-09-01,4030
2007-10-01,4003
2007-11-01,3895
2007-12-01,3864
2008-01-01,3839
2008-02-01,3762
2008-03-01,3841
2008-04-01,3842
2008-05-01,3913
2008-06-01,4071
2008-07-01,4146
2008-08-01,4205
2008-09-01,4046
2008-10-01,3956
2008-11-01,3872
2008-12-01,3850
2009-01-01,3754
2009-02-01,3721
2009-03-01,3749
2009-04-01,3753
2009-05-01,3822
2009-06-01,4076
2009-07-01,4035
2009-08-01,4065
2009-09-01,4204
2009-10-01,4131
2009-11-01,3926
2009-12-01,3865
2010-01-01,3825
2010-02-01,3941
2010-03-01,3877
2010-04-01,3951
2010-05-01,4039
2010-06-01,4224
2010-07-01,4247
2010-08-01,4274
2010-09-01,4115
2010-10-01,4028
2010-11-01,3959
2010-12-01,3871
2011-01-01,3905
2011-02-01,3934
2011-03-01,3960
2011-04-01,3918
2011-05-01,3940
2011-06-01,4037
2011-07-01,3986
2011-08-01,4141
2011-09-01,3931
2011-10-01,3814
2011-11-01,3713
2011-12-01,3668
2012-01-01,3709
2012-02-01,3694
2012-03-01,3731
2012-04-01,3698
2012-05-01,3690
2012-06-01,3797
2012-07-01,3663
2012-08-01,3776
2012-09-01,3685
2012-10-01,3649
2012-11-01,3532
2012-12-01,3546
2013-01-01,3679
2013-02-01,3562
2013-03-01,3596
2013-04-01,3580
2013-05-01,3614
2013-06-01,3740
2013-07-01,3657
2013-08-01,3667
2013-09-01,3575
2013-10-01,3461
2013-11-01,3457
2013-12-01,3428
2014-01-01,3536
2014-02-01,3539
2014-03-01,3571
2014-04-01,3471
2014-05-01,3540
2014-06-01,3696
2014-07-01,3629
2014-08-01,3717
2014-09-01,3555
2014-10-01,3525
2014-11-01,3490
2014-12-01,3439
2015-01-01,3466
2015-02-01,3432
2015-03-01,3501
2015-04-01,3464
2015-05-01,3600
2015-06-01,3680
2015-07-01,3647
2015-08-01,3862
2015-09-01,3592
2015-10-01,3566
2015-11-01,3568
2015-12-01,3587
2016-01-01,3626
2016-02-01,3498
2016-03-01,3574
2016-04-01,3619
2016-05-01,3731
2016-06-01,3830
2016-07-01,3782
2016-08-01,3853
2016-09-01,3753
2016-10-01,3573
2016-11-01,3536
2016-12-01,3440
2017-01-01,3469
2017-02-01,3486
2017-03-01,3559
2017-04-01,3574
2017-05-01,3570
2017-06-01,3705
2017-07-01,3625
2017-08-01,3693
2017-09-01,3653
2017-10-01,3529
2017-11-01,3439
2017-12-01,3446
2018-01-01,3394
2018-02-01,3380
2018-03-01,3383
2018-04-01,3377
2018-05-01,3423
2018-06-01,3535
2018-07-01,3484
2018-08-01,3521
2018-09-01,3472
2018-10-01,3475
2018-11-01,3318
2018-12-01,3295
2019-01-01,3346
2019-02-01,3356
2019-03-01,3355
2019-04-01,3333
2019-05-01,3388
2019-06-01,3468
2019-07-01,3385
2019-08-01,3445
2019-09-01,3413
2019-10-01,3367
2019-11-01,3268
2019-12-01,3285
2020-01-01,3297
2020-02-01,3274
2020-03-01,3295
