"Date","LNS17900000"
1990-02-01,1360
1990-03-01,1466
1990-04-01,1394
1990-05-01,1313
1990-06-01,1393
1990-07-01,1391
1990-08-01,1355
1990-09-01,1378
1990-10-01,1413
1990-11-01,1455
1990-12-01,1490
1991-01-01,1582
1991-02-01,1522
1991-03-01,1510
1991-04-01,1493
1991-05-01,1613
1991-06-01,1612
1991-07-01,1665
1991-08-01,1610
1991-09-01,1588
1991-10-01,1675
1991-11-01,1595
1991-12-01,1673
1992-01-01,1616
1992-02-01,1542
1992-03-01,1623
1992-04-01,1740
1992-05-01,1633
1992-06-01,1627
1992-07-01,1839
1992-08-01,1721
1992-09-01,1803
1992-10-01,1909
1992-11-01,1609
1992-12-01,1813
1993-01-01,1747
1993-02-01,1846
1993-03-01,1732
1993-04-01,1651
1993-05-01,1532
1993-06-01,1578
1993-07-01,1725
1993-08-01,1689
1993-09-01,1718
1993-10-01,1629
1993-11-01,1690
1993-12-01,1684
1994-01-01,1663
1994-02-01,1782
1994-03-01,1911
1994-04-01,1909
1994-05-01,1899
1994-06-01,1961
1994-07-01,1832
1994-08-01,1778
1994-09-01,1772
1994-10-01,1723
1994-11-01,1820
1994-12-01,1708
1995-01-01,1678
1995-02-01,1686
1995-03-01,1576
1995-04-01,1534
1995-05-01,1834
1995-06-01,1695
1995-07-01,1661
1995-08-01,1693
1995-09-01,1785
1995-10-01,1811
1995-11-01,1694
1995-12-01,1718
1996-01-01,1682
1996-02-01,1759
1996-03-01,1689
1996-04-01,1641
1996-05-01,1754
1996-06-01,1839
1996-07-01,1601
1996-08-01,1671
1996-09-01,1640
1996-10-01,1464
1996-11-01,1617
1996-12-01,1593
1997-01-01,1647
1997-02-01,1609
1997-03-01,1569
1997-04-01,1644
1997-05-01,1593
1997-06-01,1538
1997-07-01,1539
1997-08-01,1677
1997-09-01,1534
1997-10-01,1587
1997-11-01,1511
1997-12-01,1478
1998-01-01,1552
1998-02-01,1606
1998-03-01,1587
1998-04-01,1582
1998-05-01,1432
1998-06-01,1331
1998-07-01,1473
1998-08-01,1461
1998-09-01,1447
1998-10-01,1511
1998-11-01,1595
1998-12-01,1576
1999-01-01,1488
1999-02-01,1442
1999-03-01,1471
1999-04-01,1438
1999-05-01,1528
1999-06-01,1316
1999-07-01,1360
1999-08-01,1413
1999-09-01,1292
1999-10-01,1457
1999-11-01,1404
1999-12-01,1401
2000-01-01,1256
2000-02-01,1395
2000-03-01,1451
2000-04-01,1398
2000-05-01,1379
2000-06-01,1491
2000-07-01,1289
2000-08-01,1422
2000-09-01,1497
2000-10-01,1273
2000-11-01,1244
2000-12-01,1293
2001-01-01,1258
2001-02-01,1436
2001-03-01,1478
2001-04-01,1536
2001-05-01,1462
2001-06-01,1437
2001-07-01,1456
2001-08-01,1454
2001-09-01,1550
2001-10-01,1562
2001-11-01,1624
2001-12-01,1680
2002-01-01,1796
2002-02-01,1608
2002-03-01,1655
2002-04-01,1651
2002-05-01,1814
2002-06-01,1786
2002-07-01,1975
2002-08-01,1713
2002-09-01,1714
2002-10-01,1778
2002-11-01,1819
2002-12-01,1777
2003-01-01,1988
2003-02-01,1796
2003-03-01,2015
2003-04-01,1778
2003-05-01,1897
2003-06-01,1828
2003-07-01,2005
2003-08-01,2016
2003-09-01,1912
2003-10-01,1997
2003-11-01,1845
2003-12-01,1892
2004-01-01,1661
2004-02-01,1948
2004-03-01,1871
2004-04-01,1879
2004-05-01,1766
2004-06-01,1797
2004-07-01,1845
2004-08-01,1974
2004-09-01,1886
2004-10-01,1740
2004-11-01,1780
2004-12-01,1797
2005-01-01,1733
2005-02-01,1648
2005-03-01,1853
2005-04-01,1716
2005-05-01,1777
2005-06-01,1819
2005-07-01,1816
2005-08-01,1721
2005-09-01,1780
2005-10-01,1817
2005-11-01,1712
2005-12-01,2004
2006-01-01,1800
2006-02-01,1672
2006-03-01,1745
2006-04-01,1733
2006-05-01,1745
2006-06-01,1734
2006-07-01,1711
2006-08-01,1738
2006-09-01,1683
2006-10-01,1739
2006-11-01,1488
2006-12-01,1600
2007-01-01,1544
2007-02-01,1741
2007-03-01,1630
2007-04-01,1502
2007-05-01,1559
2007-06-01,1598
2007-07-01,1582
2007-08-01,1592
2007-09-01,1606
2007-10-01,1637
2007-11-01,1697
2007-12-01,1496
2008-01-01,1567
2008-02-01,1873
2008-03-01,1712
2008-04-01,1905
2008-05-01,1666
2008-06-01,1819
2008-07-01,1736
2008-08-01,1919
2008-09-01,2091
2008-10-01,1998
2008-11-01,2090
2008-12-01,2240
2009-01-01,2235
2009-02-01,2307
2009-03-01,2498
2009-04-01,2425
2009-05-01,2602
2009-06-01,2566
2009-07-01,2764
2009-08-01,2866
2009-09-01,2657
2009-10-01,2783
2009-11-01,2778
2009-12-01,2932
2010-01-01,2829
2010-02-01,2791
2010-03-01,2846
2010-04-01,2737
2010-05-01,3030
2010-06-01,3062
2010-07-01,2850
2010-08-01,2864
2010-09-01,2959
2010-10-01,2875
2010-11-01,2783
2010-12-01,3145
2011-01-01,3036
2011-02-01,2896
2011-03-01,2771
2011-04-01,2845
2011-05-01,2865
2011-06-01,2809
2011-07-01,2952
2011-08-01,2705
2011-09-01,2990
2011-10-01,2706
2011-11-01,2707
2011-12-01,2704
2012-01-01,2848
2012-02-01,2661
2012-03-01,2714
2012-04-01,2696
2012-05-01,2682
2012-06-01,2684
2012-07-01,2688
2012-08-01,2863
2012-09-01,2843
2012-10-01,2727
2012-11-01,2814
2012-12-01,2682
2013-01-01,2542
2013-02-01,2808
2013-03-01,2668
2013-04-01,2429
2013-05-01,2472
2013-06-01,2452
2013-07-01,2610
2013-08-01,2582
2013-09-01,2452
2013-10-01,2727
2013-11-01,2388
2013-12-01,2494
2014-01-01,2494
2014-02-01,2130
2014-03-01,2239
2014-04-01,2511
2014-05-01,2265
2014-06-01,2367
2014-07-01,2239
2014-08-01,2252
2014-09-01,2202
2014-10-01,2164
2014-11-01,2190
2014-12-01,2213
2015-01-01,2136
2015-02-01,2289
2015-03-01,2137
2015-04-01,2074
2015-05-01,1969
2015-06-01,2228
2015-07-01,2156
2015-08-01,1972
2015-09-01,2028
2015-10-01,1881
2015-11-01,1780
2015-12-01,1807
2016-01-01,1980
2016-02-01,1946
2016-03-01,1731
2016-04-01,1947
2016-05-01,2100
2016-06-01,1798
2016-07-01,1759
2016-08-01,1743
2016-09-01,1682
2016-10-01,1884
2016-11-01,1967
2016-12-01,1879
2017-01-01,1542
2017-02-01,1632
2017-03-01,1820
2017-04-01,1686
2017-05-01,1625
2017-06-01,1752
2017-07-01,1535
2017-08-01,1691
2017-09-01,1712
2017-10-01,1721
2017-11-01,1461
2017-12-01,1665
2018-01-01,1642
2018-02-01,1507
2018-03-01,1711
2018-04-01,1626
2018-05-01,1584
2018-06-01,1454
2018-07-01,1522
2018-08-01,1508
2018-09-01,1619
2018-10-01,1421
2018-11-01,1550
2018-12-01,1372
2019-01-01,1455
2019-02-01,1775
2019-03-01,1474
2019-04-01,1549
2019-05-01,1546
2019-06-01,1447
2019-07-01,1305
2019-08-01,1445
2019-09-01,1530
2019-10-01,1427
2019-11-01,1377
2019-12-01,1406
2020-01-01,1434
2020-02-01,1457
2020-03-01,1471
2020-04-01,2592
2020-05-01,3485
2020-06-01,3070
2020-07-01,3027
2020-08-01,2822
2020-09-01,2743
2020-10-01,2568
2020-11-01,2108
2020-12-01,2344
2021-01-01,2281
2021-02-01,2027
2021-03-01,2206
2021-04-01,1998
2021-05-01,2254
2021-06-01,1867
2021-07-01,2262
2021-08-01,1918
2021-09-01,1952
2021-10-01,1687
2021-11-01,1800
2021-12-01,1706
2022-01-01,1575
2022-02-01,1520
2022-03-01,1606
2022-04-01,1623
2022-05-01,1490
2022-06-01,1503
2022-07-01,1563
2022-08-01,1318
2022-09-01,1491
2022-10-01,1553
2022-11-01,1507
2022-12-01,1414
2023-01-01,1543
2023-02-01,1237
