"Date","LAUMT533650000000004"
1990-01-01,4632
1990-02-01,5092
1990-03-01,4251
1990-04-01,3972
1990-05-01,3901
1990-06-01,3601
1990-07-01,3666
1990-08-01,3585
1990-09-01,3349
1990-10-01,3627
1990-11-01,3944
1990-12-01,4271
1991-01-01,5299
1991-02-01,5294
1991-03-01,5185
1991-04-01,4620
1991-05-01,4540
1991-06-01,4616
1991-07-01,4421
1991-08-01,4427
1991-09-01,4579
1991-10-01,4870
1991-11-01,4917
1991-12-01,5473
1992-01-01,6027
1992-02-01,6462
1992-03-01,5966
1992-04-01,5482
1992-05-01,5541
1992-06-01,5735
1992-07-01,5733
1992-08-01,5708
1992-09-01,5543
1992-10-01,5654
1992-11-01,5882
1992-12-01,6024
1993-01-01,7028
1993-02-01,6763
1993-03-01,6402
1993-04-01,5887
1993-05-01,5947
1993-06-01,6224
1993-07-01,6321
1993-08-01,6278
1993-09-01,5949
1993-10-01,6405
1993-11-01,6022
1993-12-01,6315
1994-01-01,7223
1994-02-01,7150
1994-03-01,6701
1994-04-01,6247
1994-05-01,5782
1994-06-01,5715
1994-07-01,5678
1994-08-01,5696
1994-09-01,5208
1994-10-01,5507
1994-11-01,5714
1994-12-01,6026
1995-01-01,6501
1995-02-01,6705
1995-03-01,6008
1995-04-01,6047
1995-05-01,5744
1995-06-01,5782
1995-07-01,6025
1995-08-01,6095
1995-09-01,5897
1995-10-01,6031
1995-11-01,6235
1995-12-01,6022
1996-01-01,7042
1996-02-01,6554
1996-03-01,6406
1996-04-01,5877
1996-05-01,6241
1996-06-01,5672
1996-07-01,6070
1996-08-01,5420
1996-09-01,5679
1996-10-01,5754
1996-11-01,5717
1996-12-01,5855
1997-01-01,6005
1997-02-01,5746
1997-03-01,5510
1997-04-01,5113
1997-05-01,4529
1997-06-01,4884
1997-07-01,4629
1997-08-01,5131
1997-09-01,4557
1997-10-01,4636
1997-11-01,4600
1997-12-01,4829
1998-01-01,5906
1998-02-01,5533
1998-03-01,5313
1998-04-01,4492
1998-05-01,4339
1998-06-01,4592
1998-07-01,4737
1998-08-01,4511
1998-09-01,4431
1998-10-01,4829
1998-11-01,4481
1998-12-01,4668
1999-01-01,5494
1999-02-01,5652
1999-03-01,4913
1999-04-01,4565
1999-05-01,4848
1999-06-01,4994
1999-07-01,4830
1999-08-01,4622
1999-09-01,4460
1999-10-01,4345
1999-11-01,4134
1999-12-01,4614
2000-01-01,5739
2000-02-01,6199
2000-03-01,5689
2000-04-01,4935
2000-05-01,5211
2000-06-01,5392
2000-07-01,5378
2000-08-01,5432
2000-09-01,4875
2000-10-01,4913
2000-11-01,5560
2000-12-01,5468
2001-01-01,6579
2001-02-01,6957
2001-03-01,6662
2001-04-01,6194
2001-05-01,5755
2001-06-01,6052
2001-07-01,5534
2001-08-01,5859
2001-09-01,5486
2001-10-01,6237
2001-11-01,7009
2001-12-01,7244
2002-01-01,8226
2002-02-01,7924
2002-03-01,7891
2002-04-01,7610
2002-05-01,6956
2002-06-01,7079
2002-07-01,6826
2002-08-01,6476
2002-09-01,6157
2002-10-01,6168
2002-11-01,6994
2002-12-01,7119
2003-01-01,7972
2003-02-01,7916
2003-03-01,7737
2003-04-01,7299
2003-05-01,7070
2003-06-01,7911
2003-07-01,7547
2003-08-01,7491
2003-09-01,7123
2003-10-01,6901
2003-11-01,7433
2003-12-01,7312
2004-01-01,8085
2004-02-01,7958
2004-03-01,7922
2004-04-01,7204
2004-05-01,6663
2004-06-01,7282
2004-07-01,6868
2004-08-01,6756
2004-09-01,6212
2004-10-01,6320
2004-11-01,6963
2004-12-01,7091
2005-01-01,7448
2005-02-01,7743
2005-03-01,6814
2005-04-01,6935
2005-05-01,6466
2005-06-01,6460
2005-07-01,6324
2005-08-01,6188
2005-09-01,6018
2005-10-01,6009
2005-11-01,6321
2005-12-01,5958
2006-01-01,6712
2006-02-01,6893
2006-03-01,6020
2006-04-01,6291
2006-05-01,6155
2006-06-01,6242
2006-07-01,6274
2006-08-01,6119
2006-09-01,5884
2006-10-01,5325
2006-11-01,5988
2006-12-01,6247
2007-01-01,6911
2007-02-01,6634
2007-03-01,6025
2007-04-01,6136
2007-05-01,5878
2007-06-01,5809
2007-07-01,6108
2007-08-01,5793
2007-09-01,5897
2007-10-01,5866
2007-11-01,6199
2007-12-01,6494
2008-01-01,7063
2008-02-01,7269
2008-03-01,7220
2008-04-01,6508
2008-05-01,6783
2008-06-01,6982
2008-07-01,6683
2008-08-01,6766
2008-09-01,6223
2008-10-01,6668
2008-11-01,7018
2008-12-01,7628
2009-01-01,9417
2009-02-01,10149
2009-03-01,10427
2009-04-01,9643
2009-05-01,9614
2009-06-01,9677
2009-07-01,8850
2009-08-01,8980
2009-09-01,8711
2009-10-01,8746
2009-11-01,9236
2009-12-01,9928
2010-01-01,11264
2010-02-01,11445
2010-03-01,11150
2010-04-01,10163
2010-05-01,9899
2010-06-01,9612
2010-07-01,9523
2010-08-01,9707
2010-09-01,9319
2010-10-01,9386
2010-11-01,10084
2010-12-01,9861
2011-01-01,11014
2011-02-01,10988
2011-03-01,10547
2011-04-01,9749
2011-05-01,9832
2011-06-01,9967
2011-07-01,9517
2011-08-01,9610
2011-09-01,9195
2011-10-01,9247
2011-11-01,9134
2011-12-01,9613
2012-01-01,10426
2012-02-01,10680
2012-03-01,10113
2012-04-01,9192
2012-05-01,9274
2012-06-01,9400
2012-07-01,9523
2012-08-01,9496
2012-09-01,8772
2012-10-01,8812
2012-11-01,8813
2012-12-01,9486
2013-01-01,10747
2013-02-01,10498
2013-03-01,9718
2013-04-01,9091
2013-05-01,9099
2013-06-01,9354
2013-07-01,9019
2013-08-01,8543
2013-09-01,8147
2013-10-01,8601
2013-11-01,8236
2013-12-01,8296
2014-01-01,8583
2014-02-01,9147
2014-03-01,8562
2014-04-01,7223
2014-05-01,7486
2014-06-01,7002
2014-07-01,7357
2014-08-01,7624
2014-09-01,7202
2014-10-01,7595
2014-11-01,7849
2014-12-01,7691
2015-01-01,8350
2015-02-01,8251
2015-03-01,7433
2015-04-01,6943
2015-05-01,7251
2015-06-01,7196
2015-07-01,7096
2015-08-01,6769
2015-09-01,6508
2015-10-01,6700
2015-11-01,7122
2015-12-01,7658
2016-01-01,7577
2016-02-01,7757
2016-03-01,7822
2016-04-01,7420
