"Date","WVWYOM9LFN"
1990-01-01,8725
1990-02-01,8742
1990-03-01,8650
1990-04-01,8770
1990-05-01,9414
1990-06-01,8975
1990-07-01,8735
1990-08-01,8434
1990-09-01,8387
1990-10-01,8368
1990-11-01,8411
1990-12-01,8392
1991-01-01,8416
1991-02-01,8286
1991-03-01,8299
1991-04-01,8332
1991-05-01,8350
1991-06-01,8710
1991-07-01,8681
1991-08-01,8395
1991-09-01,8500
1991-10-01,8326
1991-11-01,8452
1991-12-01,8252
1992-01-01,8637
1992-02-01,8497
1992-03-01,8461
1992-04-01,8667
1992-05-01,9079
1992-06-01,8810
1992-07-01,9468
1992-08-01,9058
1992-09-01,8894
1992-10-01,8709
1992-11-01,8769
1992-12-01,8714
1993-01-01,8523
1993-02-01,8934
1993-03-01,8728
1993-04-01,8722
1993-05-01,8891
1993-06-01,9093
1993-07-01,9042
1993-08-01,8812
1993-09-01,8574
1993-10-01,8638
1993-11-01,8585
1993-12-01,8364
1994-01-01,8462
1994-02-01,8260
1994-03-01,8136
1994-04-01,8265
1994-05-01,8641
1994-06-01,8571
1994-07-01,8221
1994-08-01,8246
1994-09-01,8365
1994-10-01,8204
1994-11-01,8565
1994-12-01,7981
1995-01-01,7859
1995-02-01,7794
1995-03-01,7800
1995-04-01,7970
1995-05-01,7971
1995-06-01,8242
1995-07-01,8251
1995-08-01,8050
1995-09-01,8120
1995-10-01,7885
1995-11-01,7820
1995-12-01,7752
1996-01-01,7761
1996-02-01,7648
1996-03-01,7689
1996-04-01,7954
1996-05-01,8425
1996-06-01,8165
1996-07-01,8315
1996-08-01,8423
1996-09-01,8481
1996-10-01,8358
1996-11-01,8287
1996-12-01,8129
1997-01-01,8259
1997-02-01,8259
1997-03-01,8247
1997-04-01,8264
1997-05-01,8212
1997-06-01,8393
1997-07-01,8395
1997-08-01,8317
1997-09-01,8229
1997-10-01,8193
1997-11-01,8168
1997-12-01,8004
1998-01-01,8027
1998-02-01,7948
1998-03-01,7952
1998-04-01,8337
1998-05-01,8898
1998-06-01,8861
1998-07-01,8684
1998-08-01,8536
1998-09-01,8464
1998-10-01,8498
1998-11-01,8250
1998-12-01,8179
1999-01-01,8155
1999-02-01,8222
1999-03-01,8096
1999-04-01,8255
1999-05-01,8274
1999-06-01,8473
1999-07-01,8386
1999-08-01,8168
1999-09-01,8065
1999-10-01,7921
1999-11-01,7927
1999-12-01,7754
2000-01-01,8456
2000-02-01,8527
2000-03-01,8442
2000-04-01,8524
2000-05-01,8896
2000-06-01,8779
2000-07-01,8621
2000-08-01,8435
2000-09-01,8312
2000-10-01,8400
2000-11-01,8390
2000-12-01,8305
2001-01-01,8409
2001-02-01,8304
2001-03-01,8295
2001-04-01,8520
2001-05-01,8407
2001-06-01,8638
2001-07-01,8605
2001-08-01,8458
2001-09-01,8420
2001-10-01,8499
2001-11-01,8622
2001-12-01,8576
2002-01-01,8712
2002-02-01,8756
2002-03-01,8718
2002-04-01,8827
2002-05-01,9198
2002-06-01,8986
2002-07-01,8815
2002-08-01,8687
2002-09-01,8647
2002-10-01,8574
2002-11-01,8567
2002-12-01,8505
2003-01-01,8506
2003-02-01,8451
2003-03-01,8422
2003-04-01,8440
2003-05-01,8331
2003-06-01,8468
2003-07-01,8317
2003-08-01,8224
2003-09-01,8008
2003-10-01,8139
2003-11-01,7968
2003-12-01,8037
2004-01-01,8039
2004-02-01,8029
2004-03-01,7930
2004-04-01,8037
2004-05-01,8087
2004-06-01,8228
2004-07-01,8175
2004-08-01,8115
2004-09-01,8063
2004-10-01,7993
2004-11-01,8023
2004-12-01,7909
2005-01-01,7958
2005-02-01,8027
2005-03-01,8024
2005-04-01,8173
2005-05-01,8220
2005-06-01,8462
2005-07-01,8316
2005-08-01,8314
2005-09-01,8247
2005-10-01,8281
2005-11-01,8192
2005-12-01,8095
2006-01-01,8194
2006-02-01,8275
2006-03-01,8283
2006-04-01,8263
2006-05-01,8335
2006-06-01,8478
2006-07-01,8367
2006-08-01,8404
2006-09-01,8395
2006-10-01,8297
2006-11-01,8179
2006-12-01,8169
2007-01-01,8232
2007-02-01,8220
2007-03-01,8179
2007-04-01,8189
2007-05-01,8104
2007-06-01,8245
2007-07-01,8221
2007-08-01,8200
2007-09-01,8178
2007-10-01,8053
2007-11-01,7978
2007-12-01,7893
2008-01-01,7803
2008-02-01,7791
2008-03-01,7798
2008-04-01,7905
2008-05-01,7939
2008-06-01,8109
2008-07-01,7798
2008-08-01,7769
2008-09-01,8251
2008-10-01,8217
2008-11-01,8118
2008-12-01,8112
2009-01-01,8096
2009-02-01,8087
2009-03-01,8118
2009-04-01,8364
2009-05-01,8213
2009-06-01,8470
2009-07-01,8291
2009-08-01,8305
2009-09-01,8132
2009-10-01,8187
2009-11-01,8146
2009-12-01,8024
2010-01-01,8256
2010-02-01,8351
2010-03-01,8344
2010-04-01,8507
2010-05-01,8536
2010-06-01,8629
2010-07-01,8486
2010-08-01,8482
2010-09-01,8463
2010-10-01,8284
2010-11-01,8265
2010-12-01,8260
2011-01-01,8204
2011-02-01,8249
2011-03-01,8168
2011-04-01,8302
2011-05-01,8380
2011-06-01,8606
2011-07-01,8485
2011-08-01,8468
2011-09-01,8364
2011-10-01,8252
2011-11-01,8141
2011-12-01,8076
2012-01-01,8112
2012-02-01,8270
2012-03-01,8276
2012-04-01,8386
2012-05-01,8386
2012-06-01,8515
2012-07-01,8441
2012-08-01,8385
2012-09-01,8442
2012-10-01,8440
2012-11-01,8468
2012-12-01,8395
2013-01-01,8461
2013-02-01,8445
2013-03-01,8293
2013-04-01,8417
2013-05-01,8478
2013-06-01,8585
2013-07-01,8433
2013-08-01,8289
2013-09-01,8198
2013-10-01,8057
2013-11-01,8021
2013-12-01,7876
2014-01-01,8122
2014-02-01,8088
2014-03-01,8029
2014-04-01,8070
2014-05-01,8117
2014-06-01,8239
2014-07-01,8224
2014-08-01,8080
2014-09-01,8018
2014-10-01,8003
2014-11-01,7888
2014-12-01,7376
2015-01-01,7863
2015-02-01,7807
2015-03-01,7756
2015-04-01,7790
2015-05-01,7964
2015-06-01,8055
2015-07-01,7933
2015-08-01,7804
2015-09-01,7824
2015-10-01,7777
2015-11-01,7751
2015-12-01,7667
2016-01-01,7595
2016-02-01,7776
2016-03-01,7669
2016-04-01,7569
2016-05-01,7608
2016-06-01,7568
2016-07-01,7482
2016-08-01,7324
2016-09-01,7294
2016-10-01,7215
2016-11-01,7199
2016-12-01,7027
2017-01-01,7141
2017-02-01,7256
2017-03-01,7112
2017-04-01,6771
2017-05-01,6750
2017-06-01,6999
2017-07-01,6890
2017-08-01,6842
2017-09-01,6819
2017-10-01,6801
2017-11-01,6740
2017-12-01,6779
2018-01-01,6796
2018-02-01,6853
2018-03-01,6791
2018-04-01,6849
2018-05-01,7038
2018-06-01,7168
2018-07-01,7035
2018-08-01,6807
2018-09-01,6783
2018-10-01,6858
2018-11-01,6707
2018-12-01,6744
2019-01-01,6820
2019-02-01,6707
2019-03-01,6656
2019-04-01,6642
2019-05-01,6625
2019-06-01,6847
2019-07-01,6739
2019-08-01,6620
2019-09-01,6677
2019-10-01,6726
2019-11-01,6442
2019-12-01,6360
2020-01-01,6917
2020-02-01,6918
2020-03-01,6934
2020-04-01,6593
2020-05-01,6631
2020-06-01,6841
2020-07-01,6643
2020-08-01,6611
2020-09-01,6797
2020-10-01,6970
2020-11-01,6947
2020-12-01,6831
2021-01-01,6894
2021-02-01,7035
2021-03-01,7026
2021-04-01,6995
2021-05-01,7006
2021-06-01,7241
2021-07-01,7067
2021-08-01,6852
2021-09-01,7047
2021-10-01,6896
2021-11-01,6864
2021-12-01,6830
2022-01-01,7064
2022-02-01,7019
2022-03-01,7022
2022-04-01,7044
2022-05-01,7235
2022-06-01,7347
2022-07-01,6950
2022-08-01,7145
2022-09-01,7187
2022-10-01,7239
2022-11-01,7215
2022-12-01,7038
2023-01-01,7220
2023-02-01,7160
2023-03-01,7265
2023-04-01,7275
2023-05-01,7355
2023-06-01,7595
2023-07-01,7519
2023-08-01,7551
2023-09-01,7515
2023-10-01,7402
