"Date","LNS13023557"
1967-01-01,1098
1967-02-01,1008
1967-03-01,1016
1967-04-01,926
1967-05-01,933
1967-06-01,970
1967-07-01,849
1967-08-01,890
1967-09-01,898
1967-10-01,923
1967-11-01,921
1967-12-01,899
1968-01-01,770
1968-02-01,930
1968-03-01,863
1968-04-01,910
1968-05-01,840
1968-06-01,1112
1968-07-01,962
1968-08-01,893
1968-09-01,857
1968-10-01,851
1968-11-01,899
1968-12-01,929
1969-01-01,911
1969-02-01,900
1969-03-01,892
1969-04-01,921
1969-05-01,962
1969-06-01,953
1969-07-01,951
1969-08-01,1021
1969-09-01,1042
1969-10-01,1066
1969-11-01,1010
1969-12-01,941
1970-01-01,1031
1970-02-01,1109
1970-03-01,1165
1970-04-01,1182
1970-05-01,1133
1970-06-01,1197
1970-07-01,1259
1970-08-01,1263
1970-09-01,1311
1970-10-01,1236
1970-11-01,1406
1970-12-01,1463
1971-01-01,1405
1971-02-01,1321
1971-03-01,1505
1971-04-01,1442
1971-05-01,1470
1971-06-01,1512
1971-07-01,1516
1971-08-01,1499
1971-09-01,1510
1971-10-01,1487
1971-11-01,1529
1971-12-01,1471
1972-01-01,1563
1972-02-01,1511
1972-03-01,1545
1972-04-01,1537
1972-05-01,1393
1972-06-01,1392
1972-07-01,1456
1972-08-01,1421
1972-09-01,1426
1972-10-01,1492
1972-11-01,1413
1972-12-01,1337
1973-01-01,1379
1973-02-01,1398
1973-03-01,1347
1973-04-01,1487
1973-05-01,1421
1973-06-01,1250
1973-07-01,1336
1973-08-01,1382
1973-09-01,1318
1973-10-01,1278
1973-11-01,1259
1973-12-01,1273
1974-01-01,1225
1974-02-01,1268
1974-03-01,1256
1974-04-01,1300
1974-05-01,1479
1974-06-01,1459
1974-07-01,1513
1974-08-01,1494
1974-09-01,1649
1974-10-01,1478
1974-11-01,1703
1974-12-01,1756
1975-01-01,1879
1975-02-01,1709
1975-03-01,1897
1975-04-01,1937
1975-05-01,1993
1975-06-01,1925
1975-07-01,1872
1975-08-01,1922
1975-09-01,1861
1975-10-01,1930
1975-11-01,1836
1975-12-01,1972
1976-01-01,1952
1976-02-01,1900
1976-03-01,1862
1976-04-01,1860
1976-05-01,1791
1976-06-01,1876
1976-07-01,1945
1976-08-01,1994
1976-09-01,1963
1976-10-01,1944
1976-11-01,2077
1976-12-01,1963
1977-01-01,2016
1977-02-01,2017
1977-03-01,1999
1977-04-01,2012
1977-05-01,2006
1977-06-01,1979
1977-07-01,1901
1977-08-01,1919
1977-09-01,1921
1977-10-01,1927
1977-11-01,1958
1977-12-01,1906
1978-01-01,1872
1978-02-01,1854
1978-03-01,1901
1978-04-01,1742
1978-05-01,1803
1978-06-01,1840
1978-07-01,1926
1978-08-01,1786
1978-09-01,1985
1978-10-01,1746
1978-11-01,1847
1978-12-01,1983
1979-01-01,1761
1979-02-01,1821
1979-03-01,1810
1979-04-01,1773
1979-05-01,1749
1979-06-01,1818
1979-07-01,1806
1979-08-01,1859
1979-09-01,1866
1979-10-01,1776
1979-11-01,1769
1979-12-01,1869
1980-01-01,1836
1980-02-01,1847
1980-03-01,1858
1980-04-01,1952
1980-05-01,1968
1980-06-01,1908
1980-07-01,1924
1980-08-01,1968
1980-09-01,1952
1980-10-01,2038
1980-11-01,1959
1980-12-01,1917
1981-01-01,2059
1981-02-01,2029
1981-03-01,2094
1981-04-01,2032
1981-05-01,2095
1981-06-01,2053
1981-07-01,2061
1981-08-01,2017
1981-09-01,2068
1981-10-01,2179
1981-11-01,2354
1981-12-01,2210
1982-01-01,2086
1982-02-01,2295
1982-03-01,2278
1982-04-01,2338
1982-05-01,2418
1982-06-01,2405
1982-07-01,2510
1982-08-01,2401
1982-09-01,2426
1982-10-01,2247
1982-11-01,2594
1982-12-01,2656
1983-01-01,2566
1983-02-01,2519
1983-03-01,2445
1983-04-01,2471
1983-05-01,2375
1983-06-01,2477
1983-07-01,2458
1983-08-01,2450
1983-09-01,2335
1983-10-01,2335
1983-11-01,2276
1983-12-01,2220
1984-01-01,2199
1984-02-01,2163
1984-03-01,2182
1984-04-01,2288
1984-05-01,2136
1984-06-01,2020
1984-07-01,2141
1984-08-01,2280
1984-09-01,2259
1984-10-01,2146
1984-11-01,2174
1984-12-01,2250
1985-01-01,2254
1985-02-01,2213
1985-03-01,2309
1985-04-01,2300
1985-05-01,2353
1985-06-01,2276
1985-07-01,2178
1985-08-01,2136
1985-09-01,2369
1985-10-01,2227
1985-11-01,2204
1985-12-01,2252
1986-01-01,2085
1986-02-01,2255
1986-03-01,2216
1986-04-01,2224
1986-05-01,2185
1986-06-01,2128
1986-07-01,2196
1986-08-01,2148
1986-09-01,2158
1986-10-01,2205
1986-11-01,2088
1986-12-01,2016
1987-01-01,2058
1987-02-01,2026
