"Date","PAHUNT1LFN"
1990-01-01,19448
1990-02-01,19408
1990-03-01,19327
1990-04-01,19292
1990-05-01,19518
1990-06-01,19029
1990-07-01,19052
1990-08-01,18848
1990-09-01,18686
1990-10-01,19354
1990-11-01,19532
1990-12-01,19457
1991-01-01,19894
1991-02-01,19675
1991-03-01,19625
1991-04-01,19646
1991-05-01,19775
1991-06-01,20264
1991-07-01,19727
1991-08-01,19152
1991-09-01,18778
1991-10-01,19350
1991-11-01,19798
1991-12-01,19496
1992-01-01,20051
1992-02-01,20042
1992-03-01,19926
1992-04-01,19655
1992-05-01,19621
1992-06-01,20529
1992-07-01,20114
1992-08-01,19817
1992-09-01,19537
1992-10-01,19627
1992-11-01,19689
1992-12-01,19424
1993-01-01,19736
1993-02-01,19636
1993-03-01,19597
1993-04-01,19283
1993-05-01,19703
1993-06-01,19713
1993-07-01,20005
1993-08-01,19593
1993-09-01,19470
1993-10-01,19762
1993-11-01,19678
1993-12-01,19671
1994-01-01,19896
1994-02-01,19536
1994-03-01,19605
1994-04-01,19518
1994-05-01,19767
1994-06-01,19889
1994-07-01,19705
1994-08-01,19263
1994-09-01,19168
1994-10-01,19140
1994-11-01,19073
1994-12-01,18976
1995-01-01,19130
1995-02-01,19050
1995-03-01,19089
1995-04-01,19144
1995-05-01,19548
1995-06-01,19709
1995-07-01,19309
1995-08-01,19219
1995-09-01,19147
1995-10-01,19180
1995-11-01,19113
1995-12-01,19312
1996-01-01,19400
1996-02-01,18808
1996-03-01,19200
1996-04-01,18904
1996-05-01,19454
1996-06-01,19540
1996-07-01,19256
1996-08-01,18751
1996-09-01,18633
1996-10-01,18815
1996-11-01,18846
1996-12-01,19497
1997-01-01,19367
1997-02-01,19143
1997-03-01,19218
1997-04-01,19510
1997-05-01,19571
1997-06-01,19786
1997-07-01,19884
1997-08-01,19784
1997-09-01,19854
1997-10-01,19568
1997-11-01,19587
1997-12-01,19485
1998-01-01,19185
1998-02-01,19280
1998-03-01,19301
1998-04-01,18866
1998-05-01,19363
1998-06-01,19113
1998-07-01,19296
1998-08-01,19203
1998-09-01,18999
1998-10-01,18786
1998-11-01,18546
1998-12-01,18760
1999-01-01,19069
1999-02-01,19203
1999-03-01,19202
1999-04-01,19128
1999-05-01,19329
1999-06-01,19623
1999-07-01,19616
1999-08-01,19505
1999-09-01,19139
1999-10-01,19044
1999-11-01,18790
1999-12-01,18784
2000-01-01,20753
2000-02-01,21167
2000-03-01,20827
2000-04-01,20648
2000-05-01,20822
2000-06-01,20917
2000-07-01,21352
2000-08-01,21218
2000-09-01,20703
2000-10-01,20553
2000-11-01,20660
2000-12-01,20874
2001-01-01,21268
2001-02-01,21412
2001-03-01,21321
2001-04-01,21606
2001-05-01,21296
2001-06-01,21545
2001-07-01,21942
2001-08-01,22009
2001-09-01,21856
2001-10-01,21759
2001-11-01,21584
2001-12-01,21698
2002-01-01,21986
2002-02-01,21640
2002-03-01,21707
2002-04-01,21684
2002-05-01,21685
2002-06-01,22020
2002-07-01,22309
2002-08-01,22140
2002-09-01,22208
2002-10-01,22476
2002-11-01,21998
2002-12-01,21802
2003-01-01,21562
2003-02-01,21150
2003-03-01,20993
2003-04-01,20864
2003-05-01,20915
2003-06-01,21333
2003-07-01,21617
2003-08-01,21594
2003-09-01,20975
2003-10-01,20978
2003-11-01,21245
2003-12-01,21237
2004-01-01,21049
2004-02-01,20999
2004-03-01,21154
2004-04-01,21069
2004-05-01,21542
2004-06-01,21745
2004-07-01,22076
2004-08-01,22506
2004-09-01,22037
2004-10-01,22008
2004-11-01,22181
2004-12-01,21868
2005-01-01,21833
2005-02-01,21832
2005-03-01,21962
2005-04-01,22065
2005-05-01,22302
2005-06-01,22294
2005-07-01,22425
2005-08-01,22644
2005-09-01,22274
2005-10-01,22259
2005-11-01,22021
2005-12-01,21759
2006-01-01,21690
2006-02-01,21778
2006-03-01,21684
2006-04-01,21907
2006-05-01,22117
2006-06-01,22334
2006-07-01,22375
2006-08-01,22412
2006-09-01,21986
2006-10-01,22139
2006-11-01,22215
2006-12-01,22089
2007-01-01,22024
2007-02-01,21903
2007-03-01,22040
2007-04-01,21990
2007-05-01,22280
2007-06-01,22491
2007-07-01,22508
2007-08-01,22139
2007-09-01,22241
2007-10-01,22211
2007-11-01,22315
2007-12-01,22326
2008-01-01,22200
2008-02-01,22204
2008-03-01,22270
2008-04-01,22125
2008-05-01,22586
2008-06-01,22818
2008-07-01,22911
2008-08-01,22880
2008-09-01,22824
2008-10-01,22779
2008-11-01,22758
2008-12-01,22731
2009-01-01,22751
2009-02-01,22959
2009-03-01,22717
2009-04-01,22534
2009-05-01,23120
2009-06-01,23155
2009-07-01,23159
2009-08-01,23088
2009-09-01,22621
2009-10-01,22315
2009-11-01,22286
2009-12-01,22092
2010-01-01,20820
2010-02-01,20956
2010-03-01,20975
2010-04-01,20975
2010-05-01,21294
2010-06-01,21183
2010-07-01,21203
2010-08-01,21249
2010-09-01,21229
2010-10-01,20906
2010-11-01,20884
2010-12-01,20731
2011-01-01,20615
2011-02-01,20959
2011-03-01,20990
2011-04-01,20876
2011-05-01,21138
2011-06-01,21260
2011-07-01,21140
2011-08-01,21154
2011-09-01,21077
2011-10-01,20824
2011-11-01,20683
2011-12-01,20726
2012-01-01,20591
2012-02-01,20750
2012-03-01,20643
2012-04-01,20510
2012-05-01,20843
2012-06-01,20768
2012-07-01,20783
2012-08-01,20613
2012-09-01,20880
2012-10-01,20798
2012-11-01,20694
2012-12-01,20747
2013-01-01,20373
2013-02-01,20491
2013-03-01,20149
2013-04-01,20094
2013-05-01,20432
2013-06-01,20394
2013-07-01,20439
2013-08-01,20165
2013-09-01,20312
2013-10-01,20095
2013-11-01,20058
2013-12-01,20013
2014-01-01,19646
2014-02-01,20056
2014-03-01,19884
2014-04-01,19780
2014-05-01,19822
2014-06-01,19859
2014-07-01,20057
2014-08-01,19835
2014-09-01,19789
2014-10-01,19990
2014-11-01,19744
2014-12-01,19686
2015-01-01,19457
2015-02-01,19806
2015-03-01,19719
2015-04-01,19637
2015-05-01,19587
2015-06-01,19864
2015-07-01,19987
2015-08-01,19630
2015-09-01,19614
2015-10-01,19717
2015-11-01,19626
2015-12-01,19555
2016-01-01,19423
2016-02-01,19989
2016-03-01,19956
2016-04-01,19766
2016-05-01,19513
2016-06-01,19760
2016-07-01,19873
2016-08-01,19777
2016-09-01,19886
2016-10-01,19677
2016-11-01,19418
2016-12-01,19213
2017-01-01,19375
2017-02-01,19894
2017-03-01,19935
2017-04-01,20085
2017-05-01,19917
2017-06-01,20262
2017-07-01,20364
2017-08-01,20235
2017-09-01,20163
2017-10-01,19986
2017-11-01,19865
2017-12-01,19728
2018-01-01,19444
2018-02-01,20022
2018-03-01,20021
2018-04-01,19973
2018-05-01,20087
2018-06-01,20216
2018-07-01,20394
2018-08-01,20278
2018-09-01,20218
2018-10-01,20046
2018-11-01,20036
2018-12-01,19914
2019-01-01,19939
2019-02-01,20142
2019-03-01,20207
2019-04-01,19980
2019-05-01,20208
2019-06-01,20268
2019-07-01,20403
2019-08-01,20442
2019-09-01,20234
2019-10-01,20188
2019-11-01,19880
2019-12-01,19937
2020-01-01,19923
2020-02-01,20159
2020-03-01,19976
2020-04-01,19357
2020-05-01,19815
2020-06-01,19986
2020-07-01,20454
2020-08-01,20139
2020-09-01,20243
2020-10-01,20004
2020-11-01,19518
2020-12-01,19347
2021-01-01,19079
2021-02-01,19391
2021-03-01,19214
2021-04-01,19262
2021-05-01,19603
2021-06-01,19475
2021-07-01,19593
2021-08-01,19500
2021-09-01,19283
2021-10-01,19433
2021-11-01,19176
2021-12-01,18864
2022-01-01,18991
2022-02-01,19035
