"Date","TXBLAN1LFN"
1990-01-01,2749
1990-02-01,2736
1990-03-01,2782
1990-04-01,2931
1990-05-01,2939
1990-06-01,2999
1990-07-01,2889
1990-08-01,2865
1990-09-01,2811
1990-10-01,2838
1990-11-01,2831
1990-12-01,2886
1991-01-01,2818
1991-02-01,2867
1991-03-01,2873
1991-04-01,2968
1991-05-01,2960
1991-06-01,3036
1991-07-01,2993
1991-08-01,3000
1991-09-01,2986
1991-10-01,2910
1991-11-01,2870
1991-12-01,2907
1992-01-01,2897
1992-02-01,2912
1992-03-01,2932
1992-04-01,2925
1992-05-01,2958
1992-06-01,3040
1992-07-01,3114
1992-08-01,3049
1992-09-01,2971
1992-10-01,2982
1992-11-01,3015
1992-12-01,2994
1993-01-01,2949
1993-02-01,2986
1993-03-01,3013
1993-04-01,3057
1993-05-01,3097
1993-06-01,3155
1993-07-01,3270
1993-08-01,3205
1993-09-01,3189
1993-10-01,3179
1993-11-01,3161
1993-12-01,3179
1994-01-01,3102
1994-02-01,3129
1994-03-01,3168
1994-04-01,3199
1994-05-01,3207
1994-06-01,3326
1994-07-01,3322
1994-08-01,3299
1994-09-01,3214
1994-10-01,3247
1994-11-01,3284
1994-12-01,3302
1995-01-01,3343
1995-02-01,3373
1995-03-01,3383
1995-04-01,3327
1995-05-01,3344
1995-06-01,3400
1995-07-01,3462
1995-08-01,3386
1995-09-01,3387
1995-10-01,3540
1995-11-01,3504
1995-12-01,3436
1996-01-01,3413
1996-02-01,3397
1996-03-01,3415
1996-04-01,3502
1996-05-01,3595
1996-06-01,3660
1996-07-01,3704
1996-08-01,3639
1996-09-01,3631
1996-10-01,3614
1996-11-01,3545
1996-12-01,3557
1997-01-01,3553
1997-02-01,3543
1997-03-01,3544
1997-04-01,3610
1997-05-01,3629
1997-06-01,3692
1997-07-01,3605
1997-08-01,3653
1997-09-01,3582
1997-10-01,3611
1997-11-01,3651
1997-12-01,3643
1998-01-01,3615
1998-02-01,3668
1998-03-01,3647
1998-04-01,3722
1998-05-01,3657
1998-06-01,3736
1998-07-01,3934
