"Date","MIBAYC7LFN"
1990-01-01,53792
1990-02-01,53717
1990-03-01,53630
1990-04-01,53645
1990-05-01,54199
1990-06-01,55093
1990-07-01,54410
1990-08-01,54065
1990-09-01,53825
1990-10-01,52952
1990-11-01,53097
1990-12-01,53084
1991-01-01,52171
1991-02-01,53344
1991-03-01,54076
1991-04-01,53001
1991-05-01,53498
1991-06-01,54484
1991-07-01,53384
1991-08-01,53137
1991-09-01,53103
1991-10-01,52491
1991-11-01,53130
1991-12-01,53301
1992-01-01,52774
1992-02-01,53426
1992-03-01,53673
1992-04-01,53490
1992-05-01,54824
1992-06-01,56004
1992-07-01,55770
1992-08-01,55046
1992-09-01,53566
1992-10-01,53416
1992-11-01,53827
1992-12-01,53671
1993-01-01,52921
1993-02-01,53125
1993-03-01,52913
1993-04-01,53239
1993-05-01,54211
1993-06-01,55684
1993-07-01,55299
1993-08-01,55052
1993-09-01,53781
1993-10-01,54064
1993-11-01,54779
1993-12-01,54892
1994-01-01,55341
1994-02-01,55149
1994-03-01,54967
1994-04-01,55398
1994-05-01,55710
1994-06-01,56824
1994-07-01,56104
1994-08-01,55885
1994-09-01,54713
1994-10-01,54702
1994-11-01,54857
1994-12-01,54763
1995-01-01,54833
1995-02-01,54815
1995-03-01,54717
1995-04-01,54728
1995-05-01,55144
1995-06-01,55776
1995-07-01,54932
1995-08-01,54403
1995-09-01,53460
1995-10-01,53642
1995-11-01,53633
1995-12-01,53449
1996-01-01,53304
1996-02-01,53386
1996-03-01,53652
1996-04-01,53347
1996-05-01,54464
1996-06-01,55392
1996-07-01,55119
1996-08-01,54302
1996-09-01,54499
1996-10-01,54590
1996-11-01,55238
1996-12-01,54805
1997-01-01,54867
1997-02-01,54806
1997-03-01,55308
1997-04-01,54643
1997-05-01,55258
1997-06-01,56139
1997-07-01,55787
1997-08-01,55254
1997-09-01,54835
1997-10-01,54958
1997-11-01,55572
1997-12-01,55431
1998-01-01,55359
1998-02-01,55094
1998-03-01,55286
1998-04-01,54755
1998-05-01,55446
1998-06-01,56052
1998-07-01,55605
1998-08-01,55176
1998-09-01,54679
1998-10-01,54525
1998-11-01,55368
1998-12-01,55542
1999-01-01,55343
1999-02-01,55211
1999-03-01,55407
1999-04-01,55071
1999-05-01,55716
1999-06-01,56258
1999-07-01,54992
1999-08-01,55362
1999-09-01,55036
1999-10-01,55019
1999-11-01,55629
1999-12-01,55848
2000-01-01,56110
2000-02-01,56241
2000-03-01,56177
2000-04-01,57095
2000-05-01,57402
2000-06-01,57718
2000-07-01,57179
2000-08-01,56858
2000-09-01,56643
2000-10-01,56603
2000-11-01,57302
2000-12-01,57185
2001-01-01,57016
2001-02-01,57284
2001-03-01,57280
2001-04-01,56843
2001-05-01,57024
2001-06-01,57571
2001-07-01,56977
2001-08-01,55803
2001-09-01,55783
2001-10-01,55745
2001-11-01,56555
2001-12-01,55889
2002-01-01,54813
2002-02-01,55317
2002-03-01,55253
2002-04-01,55412
2002-05-01,55686
2002-06-01,55731
2002-07-01,55207
2002-08-01,54433
2002-09-01,54242
2002-10-01,54630
2002-11-01,54873
2002-12-01,54909
2003-01-01,54672
2003-02-01,54779
2003-03-01,54791
2003-04-01,55242
2003-05-01,55889
2003-06-01,57050
2003-07-01,55937
2003-08-01,55746
2003-09-01,55384
2003-10-01,55804
2003-11-01,55822
2003-12-01,55382
2004-01-01,54800
2004-02-01,55294
2004-03-01,55694
2004-04-01,55562
2004-05-01,56503
2004-06-01,56986
2004-07-01,56982
2004-08-01,56275
2004-09-01,55637
2004-10-01,55580
2004-11-01,56125
2004-12-01,55818
2005-01-01,55075
2005-02-01,55357
2005-03-01,55494
2005-04-01,55448
2005-05-01,56265
2005-06-01,56370
2005-07-01,56177
2005-08-01,55794
2005-09-01,55195
2005-10-01,55154
2005-11-01,55721
2005-12-01,55569
2006-01-01,55521
2006-02-01,55777
2006-03-01,55757
2006-04-01,55584
2006-05-01,55992
2006-06-01,56500
2006-07-01,56388
2006-08-01,56088
2006-09-01,55269
2006-10-01,54901
2006-11-01,55260
2006-12-01,55299
2007-01-01,54822
2007-02-01,54632
2007-03-01,54518
2007-04-01,54430
2007-05-01,55196
2007-06-01,55835
2007-07-01,55966
2007-08-01,55342
2007-09-01,54742
2007-10-01,54527
2007-11-01,54874
2007-12-01,54810
2008-01-01,54344
2008-02-01,54095
2008-03-01,54393
2008-04-01,54176
2008-05-01,54923
2008-06-01,55349
2008-07-01,55173
2008-08-01,54796
2008-09-01,53989
2008-10-01,54549
2008-11-01,54750
2008-12-01,54257
2009-01-01,54627
2009-02-01,54543
2009-03-01,54585
2009-04-01,54487
