"Date","LAUCN130550000000004"
1990-01-01,857
1990-02-01,780
1990-03-01,733
1990-04-01,693
1990-05-01,816
1990-06-01,857
1990-07-01,1006
1990-08-01,775
1990-09-01,651
1990-10-01,625
1990-11-01,751
1990-12-01,814
1991-01-01,786
1991-02-01,1557
1991-03-01,830
1991-04-01,739
1991-05-01,789
1991-06-01,843
1991-07-01,773
1991-08-01,657
1991-09-01,625
1991-10-01,630
1991-11-01,623
1991-12-01,701
1992-01-01,860
1992-02-01,1052
1992-03-01,932
1992-04-01,868
1992-05-01,834
1992-06-01,1054
1992-07-01,839
1992-08-01,1285
1992-09-01,945
1992-10-01,891
1992-11-01,781
1992-12-01,731
1993-01-01,799
1993-02-01,691
1993-03-01,639
1993-04-01,601
1993-05-01,669
1993-06-01,750
1993-07-01,755
1993-08-01,625
1993-09-01,615
1993-10-01,703
1993-11-01,682
1993-12-01,632
1994-01-01,789
1994-02-01,771
1994-03-01,677
1994-04-01,539
1994-05-01,564
1994-06-01,569
1994-07-01,560
1994-08-01,571
1994-09-01,621
1994-10-01,605
1994-11-01,475
1994-12-01,500
1995-01-01,571
1995-02-01,560
1995-03-01,582
1995-04-01,476
1995-05-01,669
1995-06-01,596
1995-07-01,553
1995-08-01,507
1995-09-01,545
1995-10-01,444
1995-11-01,612
1995-12-01,570
1996-01-01,655
1996-02-01,543
1996-03-01,568
1996-04-01,521
1996-05-01,569
1996-06-01,621
1996-07-01,568
1996-08-01,486
1996-09-01,471
1996-10-01,492
1996-11-01,461
1996-12-01,466
1997-01-01,598
1997-02-01,545
1997-03-01,658
1997-04-01,457
1997-05-01,514
1997-06-01,575
1997-07-01,745
1997-08-01,671
1997-09-01,668
1997-10-01,492
1997-11-01,505
1997-12-01,548
1998-01-01,630
1998-02-01,498
1998-03-01,477
1998-04-01,375
1998-05-01,412
1998-06-01,545
1998-07-01,435
1998-08-01,516
1998-09-01,444
1998-10-01,476
1998-11-01,412
1998-12-01,375
1999-01-01,463
1999-02-01,420
1999-03-01,422
1999-04-01,379
1999-05-01,394
1999-06-01,457
1999-07-01,774
1999-08-01,782
1999-09-01,453
1999-10-01,364
1999-11-01,352
1999-12-01,335
2000-01-01,463
2000-02-01,447
2000-03-01,418
2000-04-01,387
2000-05-01,455
2000-06-01,488
2000-07-01,469
2000-08-01,458
2000-09-01,413
2000-10-01,369
2000-11-01,413
2000-12-01,424
2001-01-01,519
2001-02-01,548
2001-03-01,555
2001-04-01,515
2001-05-01,542
2001-06-01,564
2001-07-01,515
2001-08-01,620
2001-09-01,530
2001-10-01,555
2001-11-01,507
2001-12-01,532
2002-01-01,557
2002-02-01,523
2002-03-01,545
2002-04-01,491
2002-05-01,524
2002-06-01,578
2002-07-01,506
2002-08-01,480
2002-09-01,464
2002-10-01,435
2002-11-01,430
2002-12-01,480
2003-01-01,498
2003-02-01,513
2003-03-01,506
2003-04-01,485
2003-05-01,542
2003-06-01,663
2003-07-01,593
2003-08-01,571
2003-09-01,531
2003-10-01,514
2003-11-01,499
2003-12-01,502
2004-01-01,522
2004-02-01,488
2004-03-01,506
2004-04-01,490
2004-05-01,565
2004-06-01,652
2004-07-01,632
2004-08-01,618
2004-09-01,616
2004-10-01,643
2004-11-01,622
2004-12-01,727
2005-01-01,666
2005-02-01,672
2005-03-01,659
2005-04-01,633
2005-05-01,666
2005-06-01,720
2005-07-01,695
2005-08-01,622
2005-09-01,634
2005-10-01,591
2005-11-01,560
2005-12-01,628
2006-01-01,590
2006-02-01,626
2006-03-01,557
2006-04-01,543
2006-05-01,597
2006-06-01,668
2006-07-01,634
2006-08-01,607
2006-09-01,584
2006-10-01,550
2006-11-01,536
2006-12-01,539
2007-01-01,602
2007-02-01,611
2007-03-01,601
2007-04-01,553
2007-05-01,545
2007-06-01,640
2007-07-01,709
2007-08-01,655
2007-09-01,626
2007-10-01,688
2007-11-01,1420
2007-12-01,709
2008-01-01,733
2008-02-01,1878
2008-03-01,1840
2008-04-01,1050
2008-05-01,948
2008-06-01,1103
2008-07-01,1054
2008-08-01,971
2008-09-01,1022
2008-10-01,1066
2008-11-01,1302
2008-12-01,1375
2009-01-01,1467
2009-02-01,1649
2009-03-01,2268
2009-04-01,1580
2009-05-01,1531
2009-06-01,1519
2009-07-01,1389
2009-08-01,1365
2009-09-01,1290
2009-10-01,1488
2009-11-01,1302
2009-12-01,1231
2010-01-01,1287
2010-02-01,1426
2010-03-01,1172
2010-04-01,1129
2010-05-01,1080
