"Date","IDIDAH9LFN"
1990-01-01,6262
1990-02-01,5912
1990-03-01,6068
1990-04-01,6054
1990-05-01,5987
1990-06-01,6374
1990-07-01,6438
1990-08-01,6249
1990-09-01,5849
1990-10-01,5924
1990-11-01,6034
1990-12-01,6080
1991-01-01,6176
1991-02-01,6222
1991-03-01,6261
1991-04-01,6271
1991-05-01,6155
1991-06-01,6508
1991-07-01,6592
1991-08-01,6368
1991-09-01,6058
1991-10-01,6058
1991-11-01,6213
1991-12-01,6310
1992-01-01,6225
1992-02-01,6327
1992-03-01,6445
1992-04-01,6247
1992-05-01,6247
1992-06-01,6615
1992-07-01,6852
1992-08-01,6744
1992-09-01,6432
1992-10-01,6371
1992-11-01,6376
1992-12-01,6316
1993-01-01,6207
1993-02-01,6259
1993-03-01,6412
1993-04-01,6329
1993-05-01,6439
1993-06-01,6888
1993-07-01,6834
1993-08-01,6799
1993-09-01,6583
1993-10-01,6690
1993-11-01,6461
1993-12-01,6386
1994-01-01,6454
1994-02-01,6495
1994-03-01,6578
1994-04-01,6558
1994-05-01,6676
1994-06-01,7129
1994-07-01,7085
1994-08-01,6878
1994-09-01,6498
1994-10-01,6541
1994-11-01,6545
1994-12-01,6452
1995-01-01,6555
1995-02-01,6436
1995-03-01,6604
1995-04-01,6564
1995-05-01,6657
1995-06-01,6865
1995-07-01,6974
1995-08-01,6801
1995-09-01,6523
1995-10-01,6564
1995-11-01,6529
1995-12-01,6370
1996-01-01,6468
1996-02-01,6579
1996-03-01,6514
1996-04-01,6419
1996-05-01,6556
1996-06-01,6839
1996-07-01,6965
1996-08-01,6753
1996-09-01,6481
1996-10-01,6470
1996-11-01,6548
1996-12-01,6416
1997-01-01,6243
1997-02-01,6242
1997-03-01,6432
1997-04-01,6406
1997-05-01,6395
1997-06-01,6623
1997-07-01,6670
1997-08-01,6577
1997-09-01,6427
1997-10-01,6277
1997-11-01,6230
1997-12-01,6177
1998-01-01,6237
1998-02-01,6330
1998-03-01,6346
1998-04-01,6397
1998-05-01,6414
1998-06-01,6652
1998-07-01,6668
1998-08-01,6644
1998-09-01,6519
1998-10-01,6387
1998-11-01,6415
1998-12-01,6308
1999-01-01,6366
1999-02-01,6307
1999-03-01,6356
1999-04-01,6405
1999-05-01,6262
1999-06-01,6455
1999-07-01,6424
1999-08-01,6342
1999-09-01,6215
1999-10-01,6053
1999-11-01,6123
1999-12-01,6016
2000-01-01,6638
2000-02-01,6786
2000-03-01,6765
2000-04-01,7003
2000-05-01,7030
2000-06-01,7214
2000-07-01,7205
2000-08-01,7279
2000-09-01,7091
2000-10-01,6807
2000-11-01,6881
2000-12-01,6865
2001-01-01,6866
2001-02-01,6857
2001-03-01,6858
2001-04-01,7099
2001-05-01,6972
2001-06-01,7143
2001-07-01,7307
2001-08-01,7271
2001-09-01,7162
2001-10-01,6851
2001-11-01,6939
2001-12-01,6936
2002-01-01,6810
2002-02-01,6817
2002-03-01,6950
2002-04-01,7172
2002-05-01,7038
2002-06-01,7356
2002-07-01,7551
2002-08-01,7443
2002-09-01,7248
2002-10-01,6931
2002-11-01,6992
2002-12-01,6934
2003-01-01,6667
2003-02-01,6673
2003-03-01,6816
2003-04-01,7050
2003-05-01,6882
2003-06-01,7143
2003-07-01,7203
2003-08-01,7080
2003-09-01,6932
2003-10-01,6733
2003-11-01,6713
2003-12-01,6585
2004-01-01,6713
2004-02-01,6716
2004-03-01,6924
2004-04-01,7155
2004-05-01,7126
2004-06-01,7385
2004-07-01,7460
2004-08-01,7408
2004-09-01,7274
2004-10-01,6814
2004-11-01,6939
2004-12-01,6821
2005-01-01,6772
2005-02-01,6863
2005-03-01,6913
2005-04-01,7230
2005-05-01,7249
2005-06-01,7433
2005-07-01,7521
2005-08-01,7514
2005-09-01,7329
2005-10-01,6962
2005-11-01,6887
2005-12-01,6763
2006-01-01,6889
2006-02-01,6855
2006-03-01,6896
2006-04-01,7130
2006-05-01,7091
2006-06-01,7325
2006-07-01,7424
2006-08-01,7340
2006-09-01,7198
2006-10-01,6998
2006-11-01,7030
2006-12-01,6923
2007-01-01,6869
2007-02-01,6917
2007-03-01,6932
2007-04-01,6998
2007-05-01,7035
2007-06-01,7293
2007-07-01,7432
2007-08-01,7312
2007-09-01,7220
2007-10-01,7052
2007-11-01,6984
2007-12-01,6986
2008-01-01,6992
2008-02-01,6928
2008-03-01,7046
2008-04-01,7060
2008-05-01,7208
2008-06-01,7435
2008-07-01,7516
2008-08-01,7410
2008-09-01,7230
2008-10-01,6999
2008-11-01,7134
2008-12-01,7093
2009-01-01,7170
2009-02-01,7290
2009-03-01,7426
2009-04-01,7430
2009-05-01,7536
2009-06-01,7702
2009-07-01,7831
2009-08-01,7723
2009-09-01,7434
2009-10-01,7265
2009-11-01,7189
2009-12-01,7107
2010-01-01,6495
2010-02-01,6465
2010-03-01,6601
2010-04-01,6713
2010-05-01,6753
2010-06-01,6916
2010-07-01,6888
2010-08-01,6869
2010-09-01,6603
2010-10-01,6528
2010-11-01,6532
2010-12-01,6555
2011-01-01,6540
2011-02-01,6516
2011-03-01,6649
2011-04-01,6683
2011-05-01,6752
2011-06-01,6798
2011-07-01,6900
2011-08-01,6835
2011-09-01,6677
2011-10-01,6607
2011-11-01,6509
2011-12-01,6575
2012-01-01,6489
2012-02-01,6504
2012-03-01,6579
2012-04-01,6707
2012-05-01,6773
2012-06-01,6901
2012-07-01,6985
2012-08-01,6922
2012-09-01,6770
2012-10-01,6575
2012-11-01,6457
2012-12-01,6492
2013-01-01,6493
2013-02-01,6481
2013-03-01,6530
2013-04-01,6618
2013-05-01,6711
2013-06-01,6897
2013-07-01,7025
2013-08-01,6922
2013-09-01,6777
2013-10-01,6652
2013-11-01,6515
2013-12-01,6421
2014-01-01,6386
2014-02-01,6360
2014-03-01,6448
2014-04-01,6422
2014-05-01,6526
2014-06-01,6610
2014-07-01,6722
2014-08-01,6631
2014-09-01,6473
2014-10-01,6328
2014-11-01,6261
2014-12-01,6199
2015-01-01,6215
2015-02-01,6217
2015-03-01,6284
2015-04-01,6477
2015-05-01,6564
2015-06-01,6684
2015-07-01,6664
2015-08-01,6553
2015-09-01,6400
2015-10-01,6271
2015-11-01,6234
2015-12-01,6140
2016-01-01,6146
2016-02-01,6139
2016-03-01,6257
2016-04-01,6316
2016-05-01,6464
2016-06-01,6641
2016-07-01,6555
2016-08-01,6506
2016-09-01,6384
2016-10-01,6285
2016-11-01,6214
2016-12-01,6104
2017-01-01,6165
2017-02-01,6204
2017-03-01,6212
2017-04-01,6295
2017-05-01,6349
2017-06-01,6489
2017-07-01,6569
2017-08-01,6577
2017-09-01,6479
2017-10-01,6368
2017-11-01,6307
2017-12-01,6223
2018-01-01,6261
2018-02-01,6289
2018-03-01,6334
2018-04-01,6375
2018-05-01,6515
2018-06-01,6651
2018-07-01,6734
2018-08-01,6679
2018-09-01,6622
2018-10-01,6451
2018-11-01,6390
2018-12-01,6342
2019-01-01,6413
2019-02-01,6418
2019-03-01,6497
2019-04-01,6495
2019-05-01,6704
2019-06-01,6843
2019-07-01,6834
2019-08-01,6861
2019-09-01,6736
2019-10-01,6597
2019-11-01,6560
2019-12-01,6542
2020-01-01,6573
2020-02-01,6591
2020-03-01,6589
2020-04-01,6580
2020-05-01,6764
2020-06-01,6944
2020-07-01,7026
2020-08-01,7057
2020-09-01,6941
2020-10-01,6786
2020-11-01,6702
2020-12-01,6691
2021-01-01,6633
2021-02-01,6655
2021-03-01,6767
2021-04-01,6898
2021-05-01,7018
2021-06-01,7191
2021-07-01,7157
2021-08-01,7147
2021-09-01,6942
2021-10-01,6586
2021-11-01,6542
2021-12-01,6432
2022-01-01,6650
2022-02-01,6654
2022-03-01,6639
2022-04-01,6817
2022-05-01,6997
2022-06-01,7090
2022-07-01,7042
2022-08-01,7077
2022-09-01,6746
2022-10-01,6754
2022-11-01,6742
2022-12-01,6634
2023-01-01,6642
2023-02-01,6725
2023-03-01,6724
2023-04-01,7166
2023-05-01,7353
2023-06-01,7487
2023-07-01,7321
2023-08-01,7456
2023-09-01,7246
2023-10-01,7066
