"Date","CALOSA7LFN"
1990-01-01,4514390
1990-02-01,4525605
1990-03-01,4531742
1990-04-01,4513601
1990-05-01,4529482
1990-06-01,4528163
1990-07-01,4551685
1990-08-01,4535010
1990-09-01,4473100
1990-10-01,4468853
1990-11-01,4446145
1990-12-01,4444115
1991-01-01,4397464
1991-02-01,4438122
1991-03-01,4433248
1991-04-01,4419680
1991-05-01,4408738
1991-06-01,4452137
1991-07-01,4493016
1991-08-01,4472949
1991-09-01,4468436
1991-10-01,4485343
1991-11-01,4468086
1991-12-01,4453043
1992-01-01,4440997
1992-02-01,4448415
1992-03-01,4430022
1992-04-01,4433875
1992-05-01,4428476
1992-06-01,4467656
1992-07-01,4499435
1992-08-01,4488497
1992-09-01,4449527
1992-10-01,4430944
1992-11-01,4425283
1992-12-01,4403180
1993-01-01,4365447
1993-02-01,4394130
1993-03-01,4374381
1993-04-01,4352017
1993-05-01,4353017
1993-06-01,4361182
1993-07-01,4400298
1993-08-01,4375860
1993-09-01,4327333
1993-10-01,4305881
1993-11-01,4280811
1993-12-01,4284766
1994-01-01,4288049
1994-02-01,4307086
1994-03-01,4290182
1994-04-01,4278445
1994-05-01,4281247
1994-06-01,4280461
1994-07-01,4320284
1994-08-01,4311005
1994-09-01,4298619
1994-10-01,4319136
1994-11-01,4299293
1994-12-01,4272703
1995-01-01,4248002
1995-02-01,4278874
1995-03-01,4259963
1995-04-01,4269980
1995-05-01,4257359
1995-06-01,4269338
1995-07-01,4319166
1995-08-01,4303859
1995-09-01,4315362
1995-10-01,4327993
1995-11-01,4310466
1995-12-01,4301359
1996-01-01,4271476
1996-02-01,4296292
1996-03-01,4304259
1996-04-01,4279191
1996-05-01,4297963
1996-06-01,4287427
1996-07-01,4364905
1996-08-01,4348228
1996-09-01,4371735
1996-10-01,4377008
1996-11-01,4380504
1996-12-01,4361447
1997-01-01,4352237
1997-02-01,4374132
1997-03-01,4404456
1997-04-01,4391737
1997-05-01,4397085
1997-06-01,4398284
1997-07-01,4472212
1997-08-01,4480951
1997-09-01,4476572
1997-10-01,4470588
1997-11-01,4481069
1997-12-01,4510076
