"Date","INDEKA3LFN"
1990-01-01,19279
1990-02-01,19233
1990-03-01,19318
1990-04-01,19104
1990-05-01,19132
1990-06-01,19147
1990-07-01,19259
1990-08-01,19171
1990-09-01,18824
1990-10-01,18972
1990-11-01,18979
1990-12-01,18858
1991-01-01,19196
1991-02-01,19314
1991-03-01,19351
1991-04-01,19511
1991-05-01,19283
1991-06-01,19420
1991-07-01,19439
1991-08-01,19119
1991-09-01,18983
1991-10-01,18973
1991-11-01,18975
1991-12-01,18832
1992-01-01,19052
1992-02-01,19202
1992-03-01,19449
1992-04-01,19386
1992-05-01,19604
1992-06-01,19959
1992-07-01,20218
1992-08-01,20106
1992-09-01,19756
1992-10-01,19607
1992-11-01,19652
1992-12-01,19558
1993-01-01,19750
1993-02-01,19652
1993-03-01,19744
1993-04-01,19829
1993-05-01,20097
1993-06-01,20679
1993-07-01,20833
1993-08-01,20359
1993-09-01,19855
1993-10-01,20077
1993-11-01,20138
1993-12-01,20127
1994-01-01,20362
1994-02-01,20388
1994-03-01,20443
1994-04-01,20415
1994-05-01,20820
1994-06-01,21098
1994-07-01,21621
1994-08-01,21119
1994-09-01,21024
1994-10-01,21171
1994-11-01,21209
1994-12-01,21150
1995-01-01,21207
1995-02-01,21220
1995-03-01,21276
1995-04-01,21426
1995-05-01,21485
1995-06-01,21701
1995-07-01,22023
1995-08-01,21505
1995-09-01,21347
1995-10-01,21311
1995-11-01,21282
1995-12-01,21150
1996-01-01,21033
1996-02-01,21157
1996-03-01,21021
1996-04-01,21266
1996-05-01,21545
1996-06-01,21763
1996-07-01,21884
1996-08-01,21398
1996-09-01,21246
1996-10-01,21366
1996-11-01,21358
1996-12-01,21232
1997-01-01,21451
1997-02-01,21370
1997-03-01,21683
1997-04-01,21794
1997-05-01,22020
1997-06-01,22287
1997-07-01,22494
1997-08-01,22049
1997-09-01,21912
1997-10-01,22124
1997-11-01,22075
1997-12-01,21889
1998-01-01,21842
1998-02-01,21776
1998-03-01,21914
1998-04-01,21862
1998-05-01,21959
1998-06-01,22193
1998-07-01,22337
1998-08-01,21990
1998-09-01,22035
1998-10-01,22099
1998-11-01,22203
1998-12-01,22198
1999-01-01,22039
1999-02-01,21878
1999-03-01,21854
1999-04-01,21849
1999-05-01,21879
1999-06-01,22191
1999-07-01,22282
1999-08-01,21797
1999-09-01,21877
1999-10-01,22141
1999-11-01,22202
1999-12-01,22169
2000-01-01,21839
2000-02-01,21740
2000-03-01,21691
2000-04-01,21751
2000-05-01,21899
2000-06-01,22106
2000-07-01,22277
2000-08-01,21852
2000-09-01,21469
2000-10-01,21122
2000-11-01,21178
2000-12-01,21396
2001-01-01,21357
2001-02-01,21341
2001-03-01,21346
2001-04-01,21289
2001-05-01,21573
2001-06-01,21783
2001-07-01,21954
2001-08-01,21824
2001-09-01,21472
2001-10-01,21524
2001-11-01,21481
2001-12-01,21317
2002-01-01,21385
2002-02-01,21473
2002-03-01,21296
2002-04-01,21434
2002-05-01,21679
2002-06-01,22048
2002-07-01,22344
2002-08-01,22275
2002-09-01,21861
2002-10-01,21779
2002-11-01,21686
2002-12-01,21630
2003-01-01,22012
2003-02-01,21927
2003-03-01,21873
2003-04-01,21843
2003-05-01,21973
2003-06-01,22414
2003-07-01,22575
2003-08-01,22308
2003-09-01,21748
2003-10-01,21869
2003-11-01,21842
2003-12-01,21778
2004-01-01,21720
2004-02-01,21607
2004-03-01,21833
2004-04-01,21714
2004-05-01,21857
2004-06-01,22252
2004-07-01,22305
2004-08-01,22041
2004-09-01,21532
2004-10-01,21690
2004-11-01,21631
2004-12-01,21435
2005-01-01,21741
2005-02-01,21671
2005-03-01,21675
2005-04-01,21753
2005-05-01,22003
2005-06-01,22194
2005-07-01,22445
2005-08-01,22184
2005-09-01,21928
2005-10-01,21813
2005-11-01,21705
2005-12-01,21539
2006-01-01,21571
2006-02-01,21503
2006-03-01,21365
2006-04-01,21471
2006-05-01,21608
2006-06-01,21921
2006-07-01,22120
2006-08-01,21712
2006-09-01,21362
