"Date","NVELKO7LFN"
1990-01-01,16604
1990-02-01,16845
1990-03-01,17097
1990-04-01,17565
1990-05-01,17761
1990-06-01,18208
1990-07-01,18795
1990-08-01,18267
1990-09-01,18181
1990-10-01,17568
1990-11-01,17459
1990-12-01,17468
1991-01-01,17051
1991-02-01,17474
1991-03-01,17601
1991-04-01,17985
1991-05-01,18204
1991-06-01,18665
1991-07-01,18951
1991-08-01,18703
1991-09-01,18633
1991-10-01,18623
1991-11-01,18697
1991-12-01,18376
1992-01-01,18367
1992-02-01,18450
1992-03-01,18710
1992-04-01,18889
1992-05-01,19205
1992-06-01,20070
1992-07-01,20397
1992-08-01,20194
1992-09-01,19864
1992-10-01,19739
1992-11-01,19635
1992-12-01,19612
1993-01-01,19378
1993-02-01,19708
1993-03-01,19672
1993-04-01,19561
1993-05-01,20044
1993-06-01,20670
1993-07-01,21162
1993-08-01,21045
1993-09-01,20738
1993-10-01,20603
1993-11-01,20561
1993-12-01,20077
1994-01-01,20040
1994-02-01,20430
1994-03-01,20414
1994-04-01,20573
1994-05-01,21344
1994-06-01,21603
1994-07-01,21842
1994-08-01,21281
1994-09-01,20929
1994-10-01,20710
1994-11-01,20331
1994-12-01,20260
1995-01-01,20258
1995-02-01,20460
1995-03-01,20507
1995-04-01,20554
1995-05-01,20660
1995-06-01,21325
1995-07-01,21792
1995-08-01,21586
1995-09-01,21307
1995-10-01,21267
1995-11-01,21342
1995-12-01,21295
1996-01-01,21458
1996-02-01,21619
1996-03-01,21497
1996-04-01,21543
1996-05-01,22140
1996-06-01,22733
1996-07-01,22956
1996-08-01,22942
1996-09-01,22406
1996-10-01,22534
1996-11-01,22099
1996-12-01,21762
1997-01-01,21616
1997-02-01,21861
1997-03-01,22091
1997-04-01,22256
1997-05-01,22633
1997-06-01,23062
1997-07-01,23365
1997-08-01,23235
1997-09-01,22968
1997-10-01,22928
1997-11-01,22675
1997-12-01,22552
1998-01-01,22390
1998-02-01,22561
1998-03-01,22544
1998-04-01,22240
1998-05-01,22184
1998-06-01,22650
1998-07-01,22793
1998-08-01,22456
1998-09-01,22139
1998-10-01,22171
1998-11-01,21908
1998-12-01,21776
1999-01-01,21510
1999-02-01,21649
1999-03-01,21526
1999-04-01,21656
1999-05-01,21791
1999-06-01,22243
1999-07-01,22678
1999-08-01,22152
1999-09-01,21936
1999-10-01,21907
1999-11-01,21598
1999-12-01,21254
2000-01-01,24081
2000-02-01,24693
2000-03-01,24619
2000-04-01,24391
2000-05-01,24303
2000-06-01,24777
2000-07-01,25004
2000-08-01,24550
2000-09-01,24326
2000-10-01,24276
2000-11-01,23935
2000-12-01,23851
2001-01-01,23408
2001-02-01,23663
2001-03-01,23671
2001-04-01,23401
2001-05-01,23699
2001-06-01,23872
2001-07-01,23878
2001-08-01,24239
2001-09-01,24212
2001-10-01,24223
2001-11-01,23768
2001-12-01,23448
2002-01-01,23532
2002-02-01,23798
2002-03-01,23412
2002-04-01,23358
2002-05-01,23591
2002-06-01,23991
2002-07-01,23827
2002-08-01,23800
2002-09-01,23290
2002-10-01,23357
2002-11-01,22711
2002-12-01,22936
2003-01-01,22541
2003-02-01,22596
2003-03-01,22325
2003-04-01,22575
2003-05-01,22728
2003-06-01,23695
2003-07-01,23820
2003-08-01,23189
2003-09-01,23018
2003-10-01,22994
2003-11-01,22531
2003-12-01,22296
2004-01-01,22569
2004-02-01,22689
2004-03-01,22921
2004-04-01,22859
2004-05-01,22879
2004-06-01,23547
2004-07-01,23686
2004-08-01,23425
2004-09-01,22977
2004-10-01,22738
2004-11-01,22611
2004-12-01,22330
2005-01-01,22647
2005-02-01,22935
2005-03-01,23059
2005-04-01,23226
2005-05-01,23253
2005-06-01,24137
2005-07-01,24345
2005-08-01,24349
2005-09-01,24293
2005-10-01,24085
2005-11-01,23735
2005-12-01,23300
2006-01-01,23404
2006-02-01,23556
2006-03-01,23605
2006-04-01,24040
2006-05-01,24299
2006-06-01,25306
2006-07-01,25604
2006-08-01,25832
2006-09-01,25647
2006-10-01,25353
2006-11-01,25562
2006-12-01,25453
2007-01-01,25793
2007-02-01,26071
2007-03-01,26179
2007-04-01,26254
2007-05-01,26666
2007-06-01,27119
2007-07-01,27507
2007-08-01,27450
2007-09-01,27305
2007-10-01,26703
2007-11-01,26753
2007-12-01,26420
2008-01-01,26226
2008-02-01,26055
2008-03-01,25896
2008-04-01,25906
2008-05-01,26531
2008-06-01,27288
2008-07-01,28116
2008-08-01,28076
2008-09-01,27727
2008-10-01,27340
2008-11-01,26937
2008-12-01,26831
2009-01-01,26709
2009-02-01,27065
2009-03-01,27010
2009-04-01,27036
2009-05-01,27299
2009-06-01,28164
2009-07-01,28985
2009-08-01,29290
2009-09-01,28624
2009-10-01,28093
2009-11-01,27357
2009-12-01,26803
2010-01-01,25124
2010-02-01,25376
2010-03-01,25540
2010-04-01,25604
2010-05-01,25929
2010-06-01,26456
2010-07-01,26958
2010-08-01,27533
2010-09-01,27469
2010-10-01,27718
2010-11-01,27611
2010-12-01,27152
2011-01-01,27394
2011-02-01,27629
2011-03-01,27282
2011-04-01,27210
2011-05-01,27432
