"Date","NCYANC9LFN"
1990-01-01,6604
1990-02-01,6937
1990-03-01,7100
1990-04-01,7556
1990-05-01,7091
1990-06-01,7062
1990-07-01,6920
1990-08-01,6350
1990-09-01,6439
1990-10-01,6290
1990-11-01,6191
1990-12-01,6114
1991-01-01,6276
1991-02-01,6374
1991-03-01,6441
1991-04-01,6945
1991-05-01,6868
1991-06-01,6565
1991-07-01,6484
1991-08-01,6499
1991-09-01,6710
1991-10-01,6579
1991-11-01,6622
1991-12-01,6546
1992-01-01,6596
1992-02-01,6738
1992-03-01,6670
1992-04-01,6726
1992-05-01,6729
1992-06-01,6930
1992-07-01,6460
1992-08-01,6847
1992-09-01,6667
1992-10-01,6424
1992-11-01,6472
1992-12-01,6412
1993-01-01,6333
1993-02-01,6398
1993-03-01,6339
1993-04-01,6386
1993-05-01,6482
1993-06-01,6555
1993-07-01,5836
1993-08-01,6513
1993-09-01,6283
1993-10-01,6262
1993-11-01,6162
1993-12-01,6244
1994-01-01,6417
1994-02-01,6477
1994-03-01,6406
1994-04-01,6544
1994-05-01,6611
1994-06-01,6648
1994-07-01,6982
1994-08-01,6902
1994-09-01,6668
1994-10-01,6586
1994-11-01,6653
1994-12-01,6655
1995-01-01,6183
1995-02-01,6185
1995-03-01,6170
1995-04-01,6162
1995-05-01,6280
1995-06-01,6295
1995-07-01,6586
1995-08-01,6387
1995-09-01,6240
1995-10-01,6172
1995-11-01,6128
1995-12-01,6035
1996-01-01,6180
1996-02-01,6078
1996-03-01,6063
1996-04-01,6040
1996-05-01,6198
1996-06-01,6238
1996-07-01,6720
1996-08-01,6694
1996-09-01,6421
1996-10-01,6411
1996-11-01,6337
1996-12-01,6151
1997-01-01,6268
1997-02-01,6248
1997-03-01,6388
1997-04-01,6529
1997-05-01,6566
1997-06-01,6632
1997-07-01,6927
1997-08-01,6557
1997-09-01,6467
1997-10-01,6420
1997-11-01,6463
1997-12-01,6488
1998-01-01,6465
1998-02-01,6499
1998-03-01,6437
1998-04-01,6483
1998-05-01,6517
1998-06-01,6672
1998-07-01,6742
1998-08-01,6885
1998-09-01,6723
1998-10-01,6578
1998-11-01,6628
1998-12-01,6446
1999-01-01,6585
1999-02-01,6583
1999-03-01,6980
1999-04-01,6666
1999-05-01,6716
1999-06-01,6651
1999-07-01,7014
1999-08-01,6978
1999-09-01,6862
1999-10-01,6825
1999-11-01,6790
1999-12-01,6729
2000-01-01,8318
2000-02-01,8261
2000-03-01,8364
2000-04-01,8389
2000-05-01,8509
2000-06-01,8671
2000-07-01,8623
2000-08-01,8748
2000-09-01,8687
2000-10-01,8631
2000-11-01,8562
2000-12-01,8421
2001-01-01,8423
2001-02-01,8280
2001-03-01,8265
2001-04-01,8085
2001-05-01,8212
2001-06-01,8510
2001-07-01,8191
2001-08-01,8360
2001-09-01,8302
2001-10-01,8144
2001-11-01,8079
2001-12-01,7919
2002-01-01,8047
2002-02-01,8080
2002-03-01,8030
2002-04-01,8038
2002-05-01,8060
2002-06-01,7983
2002-07-01,8276
2002-08-01,8155
2002-09-01,8132
2002-10-01,7977
2002-11-01,7946
