"Date","GAATKI3LFN"
1990-01-01,2678
1990-02-01,2773
1990-03-01,2794
1990-04-01,2699
1990-05-01,2745
1990-06-01,3009
1990-07-01,2759
1990-08-01,2701
1990-09-01,2795
1990-10-01,2806
1990-11-01,2698
1990-12-01,2660
1991-01-01,2627
1991-02-01,2626
1991-03-01,2695
1991-04-01,2459
1991-05-01,2523
1991-06-01,2505
1991-07-01,2543
1991-08-01,2434
1991-09-01,2485
1991-10-01,2515
1991-11-01,2459
1991-12-01,2438
1992-01-01,2572
1992-02-01,2664
1992-03-01,2708
1992-04-01,2685
1992-05-01,2712
1992-06-01,2778
1992-07-01,2712
1992-08-01,2719
1992-09-01,2680
1992-10-01,2790
1992-11-01,2788
1992-12-01,2754
1993-01-01,2892
1993-02-01,2735
1993-03-01,2750
1993-04-01,2660
1993-05-01,2788
1993-06-01,2889
1993-07-01,3027
1993-08-01,2876
1993-09-01,2958
1993-10-01,2906
1993-11-01,2865
1993-12-01,2936
1994-01-01,3064
1994-02-01,2986
1994-03-01,2886
1994-04-01,2946
1994-05-01,3088
1994-06-01,3092
1994-07-01,3112
1994-08-01,3030
1994-09-01,2903
1994-10-01,2953
1994-11-01,2979
1994-12-01,3003
1995-01-01,3099
1995-02-01,3124
1995-03-01,3155
1995-04-01,3296
1995-05-01,3259
1995-06-01,3527
1995-07-01,3316
1995-08-01,3153
1995-09-01,3120
1995-10-01,3121
1995-11-01,3102
1995-12-01,3103
1996-01-01,3099
1996-02-01,3181
1996-03-01,3113
1996-04-01,3126
1996-05-01,3202
1996-06-01,3216
1996-07-01,3218
1996-08-01,3225
1996-09-01,3262
1996-10-01,3325
1996-11-01,3075
1996-12-01,3167
1997-01-01,3322
1997-02-01,3400
1997-03-01,3370
1997-04-01,3413
1997-05-01,3404
1997-06-01,3567
1997-07-01,3323
1997-08-01,3293
1997-09-01,3338
1997-10-01,3370
1997-11-01,3359
1997-12-01,3310
1998-01-01,3291
1998-02-01,3232
1998-03-01,3212
1998-04-01,3067
1998-05-01,3123
1998-06-01,3209
1998-07-01,3118
1998-08-01,2982
1998-09-01,3029
1998-10-01,3280
1998-11-01,3268
1998-12-01,3306
1999-01-01,3384
1999-02-01,3419
1999-03-01,3331
1999-04-01,3259
1999-05-01,3289
1999-06-01,3389
1999-07-01,3378
1999-08-01,3302
1999-09-01,3391
1999-10-01,3452
1999-11-01,3433
1999-12-01,3403
2000-01-01,3512
2000-02-01,3544
2000-03-01,3513
2000-04-01,3495
2000-05-01,3470
2000-06-01,3431
2000-07-01,3491
2000-08-01,3487
2000-09-01,3484
2000-10-01,3555
2000-11-01,3446
2000-12-01,3441
2001-01-01,3443
2001-02-01,3414
2001-03-01,3341
2001-04-01,3315
2001-05-01,3292
2001-06-01,3237
2001-07-01,3293
2001-08-01,3319
2001-09-01,3240
2001-10-01,3318
2001-11-01,3319
2001-12-01,3357
2002-01-01,3465
2002-02-01,3491
2002-03-01,3448
2002-04-01,3387
2002-05-01,3361
2002-06-01,3370
2002-07-01,3427
2002-08-01,3375
2002-09-01,3429
2002-10-01,3435
2002-11-01,3444
2002-12-01,3448
2003-01-01,3558
2003-02-01,3541
2003-03-01,3530
2003-04-01,3540
2003-05-01,3598
2003-06-01,3531
2003-07-01,3513
2003-08-01,3490
2003-09-01,3479
2003-10-01,3492
2003-11-01,3442
2003-12-01,3445
2004-01-01,3534
2004-02-01,3671
2004-03-01,3654
2004-04-01,3640
2004-05-01,3753
2004-06-01,3710
2004-07-01,3611
2004-08-01,3563
2004-09-01,3490
2004-10-01,3530
2004-11-01,3547
2004-12-01,3538
2005-01-01,3511
2005-02-01,3520
2005-03-01,3533
2005-04-01,3527
2005-05-01,3563
2005-06-01,3523
2005-07-01,3549
2005-08-01,3501
2005-09-01,3474
2005-10-01,3489
2005-11-01,3510
2005-12-01,3458
2006-01-01,3329
2006-02-01,3343
2006-03-01,3391
2006-04-01,3323
2006-05-01,3345
2006-06-01,3359
2006-07-01,3454
2006-08-01,3422
2006-09-01,3460
2006-10-01,3401
2006-11-01,3386
2006-12-01,3356
2007-01-01,3407
2007-02-01,3353
2007-03-01,3408
2007-04-01,3382
2007-05-01,3425
2007-06-01,3331
2007-07-01,3413
2007-08-01,3347
2007-09-01,3366
2007-10-01,3431
2007-11-01,3430
2007-12-01,3382
2008-01-01,3363
2008-02-01,3363
2008-03-01,3346
2008-04-01,3341
