"Date","LAUCN330070000000005"
1990-01-01,16023
1990-02-01,15967
1990-03-01,15912
1990-04-01,15725
1990-05-01,15926
1990-06-01,16517
1990-07-01,16858
1990-08-01,16790
1990-09-01,16983
1990-10-01,16117
1990-11-01,15894
1990-12-01,16659
1991-01-01,15869
1991-02-01,16056
1991-03-01,16098
1991-04-01,15976
1991-05-01,16128
1991-06-01,16794
1991-07-01,17345
1991-08-01,16947
1991-09-01,16776
1991-10-01,16209
1991-11-01,15450
1991-12-01,15613
1992-01-01,15721
1992-02-01,15469
1992-03-01,15612
1992-04-01,15127
1992-05-01,15357
1992-06-01,16132
1992-07-01,16491
1992-08-01,16428
1992-09-01,16226
1992-10-01,16014
1992-11-01,15781
1992-12-01,15750
1993-01-01,15585
1993-02-01,15399
1993-03-01,15615
1993-04-01,15479
1993-05-01,15320
1993-06-01,16106
1993-07-01,16617
1993-08-01,16552
1993-09-01,16158
1993-10-01,16094
1993-11-01,15749
1993-12-01,15568
1994-01-01,15660
1994-02-01,15682
1994-03-01,15753
1994-04-01,15137
1994-05-01,15625
1994-06-01,16480
1994-07-01,16871
1994-08-01,16796
1994-09-01,16800
1994-10-01,16221
1994-11-01,15682
1994-12-01,15683
1995-01-01,15587
1995-02-01,15529
1995-03-01,15583
1995-04-01,15352
1995-05-01,15614
1995-06-01,16402
1995-07-01,16268
1995-08-01,16155
1995-09-01,15860
1995-10-01,15807
1995-11-01,15675
1995-12-01,15629
1996-01-01,15406
1996-02-01,15386
1996-03-01,15606
1996-04-01,15061
1996-05-01,15533
1996-06-01,16313
1996-07-01,16520
1996-08-01,16344
1996-09-01,16307
1996-10-01,15730
1996-11-01,14943
1996-12-01,15037
1997-01-01,15547
1997-02-01,15494
1997-03-01,15636
1997-04-01,14975
1997-05-01,15734
1997-06-01,16087
1997-07-01,16777
1997-08-01,16394
1997-09-01,16289
1997-10-01,15940
1997-11-01,15174
1997-12-01,15092
1998-01-01,15379
1998-02-01,15389
1998-03-01,15711
1998-04-01,15426
1998-05-01,15942
1998-06-01,16991
1998-07-01,17204
1998-08-01,17030
1998-09-01,17134
1998-10-01,17157
1998-11-01,16740
1998-12-01,16731
1999-01-01,16277
1999-02-01,15809
1999-03-01,15736
1999-04-01,15650
1999-05-01,15780
1999-06-01,16189
1999-07-01,16376
1999-08-01,16287
1999-09-01,15936
1999-10-01,15942
1999-11-01,15869
1999-12-01,15888
2000-01-01,16285
2000-02-01,16180
2000-03-01,16225
2000-04-01,15760
2000-05-01,16227
2000-06-01,17051
2000-07-01,17251
2000-08-01,16978
2000-09-01,16746
2000-10-01,16681
2000-11-01,16001
2000-12-01,16148
2001-01-01,16475
2001-02-01,16263
2001-03-01,16263
2001-04-01,15789
2001-05-01,15811
2001-06-01,16491
2001-07-01,16963
2001-08-01,16645
2001-09-01,15936
2001-10-01,15620
2001-11-01,15095
2001-12-01,15209
2002-01-01,15513
2002-02-01,15453
2002-03-01,15431
2002-04-01,14767
2002-05-01,15216
2002-06-01,16040
2002-07-01,16399
2002-08-01,16376
2002-09-01,16017
2002-10-01,15795
2002-11-01,15257
2002-12-01,15287
