"Date","CGBDLW16O"
2000-01-01,12069
2000-02-01,12169
2000-03-01,12144
2000-04-01,12262
2000-05-01,12233
2000-06-01,12178
2000-07-01,12235
2000-08-01,12206
2000-09-01,12269
2000-10-01,12281
2000-11-01,12058
2000-12-01,12237
2001-01-01,12335
2001-02-01,12396
2001-03-01,12629
2001-04-01,12564
2001-05-01,12550
2001-06-01,12212
2001-07-01,12192
2001-08-01,12083
2001-09-01,12380
2001-10-01,12386
2001-11-01,12278
2001-12-01,12397
2002-01-01,12387
2002-02-01,12844
2002-03-01,12916
2002-04-01,12962
2002-05-01,13035
2002-06-01,12937
2002-07-01,12880
2002-08-01,12835
2002-09-01,13029
2002-10-01,12955
2002-11-01,12876
2002-12-01,12802
2003-01-01,12964
2003-02-01,13126
2003-03-01,13125
2003-04-01,13192
2003-05-01,13341
2003-06-01,13281
2003-07-01,13405
2003-08-01,13502
2003-09-01,13483
2003-10-01,13720
2003-11-01,13384
2003-12-01,13311
2004-01-01,13184
2004-02-01,13205
2004-03-01,13433
2004-04-01,13398
2004-05-01,13327
2004-06-01,13327
2004-07-01,13379
2004-08-01,13275
2004-09-01,13539
2004-10-01,13714
2004-11-01,13655
2004-12-01,13530
2005-01-01,13697
2005-02-01,13547
2005-03-01,13643
2005-04-01,13766
2005-05-01,13490
2005-06-01,13367
2005-07-01,13454
2005-08-01,13483
2005-09-01,13937
2005-10-01,14228
2005-11-01,14385
2005-12-01,14456
2006-01-01,14377
2006-02-01,14165
2006-03-01,14164
2006-04-01,13959
2006-05-01,14063
2006-06-01,13963
2006-07-01,14148
2006-08-01,14117
2006-09-01,14359
2006-10-01,14545
2006-11-01,14793
2006-12-01,14822
2007-01-01,14760
2007-02-01,14809
2007-03-01,14810
2007-04-01,14656
2007-05-01,14683
2007-06-01,14753
2007-07-01,15054
2007-08-01,14882
2007-09-01,14999
2007-10-01,15288
2007-11-01,15107
2007-12-01,15195
2008-01-01,15187
2008-02-01,15367
2008-03-01,15432
2008-04-01,15046
2008-05-01,14969
2008-06-01,14903
2008-07-01,15082
2008-08-01,15335
2008-09-01,15354
2008-10-01,15534
2008-11-01,15514
2008-12-01,15585
2009-01-01,15415
2009-02-01,15518
2009-03-01,15460
2009-04-01,15268
2009-05-01,15433
2009-06-01,15338
2009-07-01,15616
2009-08-01,15843
2009-09-01,15869
2009-10-01,16105
2009-11-01,16009
2009-12-01,15641
2010-01-01,15641
2010-02-01,15617
2010-03-01,15469
2010-04-01,15542
2010-05-01,15663
2010-06-01,15668
2010-07-01,15875
2010-08-01,15673
2010-09-01,15911
2010-10-01,15912
2010-11-01,15865
2010-12-01,15594
2011-01-01,15530
2011-02-01,15583
2011-03-01,15708
2011-04-01,15800
2011-05-01,15788
2011-06-01,15707
2011-07-01,15775
2011-08-01,15511
2011-09-01,15692
2011-10-01,15797
2011-11-01,15726
2011-12-01,15800
2012-01-01,16031
2012-02-01,16313
2012-03-01,16319
2012-04-01,16190
2012-05-01,16409
2012-06-01,16244
2012-07-01,16368
2012-08-01,16605
2012-09-01,16557
2012-10-01,16712
2012-11-01,16438
2012-12-01,16284
2013-01-01,16268
2013-02-01,16626
2013-03-01,16411
2013-04-01,16652
2013-05-01,16659
2013-06-01,16655
2013-07-01,16765
2013-08-01,16772
2013-09-01,16928
2013-10-01,16811
2013-11-01,16665
2013-12-01,16487
2014-01-01,16956
2014-02-01,17126
2014-03-01,17028
2014-04-01,17141
2014-05-01,17230
2014-06-01,16997
2014-07-01,17132
2014-08-01,16846
2014-09-01,16846
2014-10-01,17232
2014-11-01,17296
2014-12-01,17424
2015-01-01,17330
2015-02-01,17760
2015-03-01,17340
2015-04-01,17022
2015-05-01,17193
2015-06-01,16773
2015-07-01,17106
2015-08-01,17254
2015-09-01,17395
2015-10-01,17945
2015-11-01,17842
2015-12-01,17850
2016-01-01,17687
2016-02-01,17582
2016-03-01,17484
2016-04-01,17309
2016-05-01,17380
2016-06-01,17392
2016-07-01,17503
2016-08-01,17711
2016-09-01,18119
2016-10-01,18405
2016-11-01,18344
2016-12-01,17915
2017-01-01,18141
2017-02-01,18474
2017-03-01,18147
2017-04-01,18104
2017-05-01,18205
2017-06-01,18294
2017-07-01,18933
2017-08-01,18699
2017-09-01,18690
2017-10-01,18697
2017-11-01,18673
2017-12-01,18715
2018-01-01,18586
2018-02-01,19451
2018-03-01,19020
2018-04-01,18799
2018-05-01,18678
2018-06-01,18752
2018-07-01,19323
2018-08-01,19625
2018-09-01,19475
2018-10-01,19770
2018-11-01,19648
2018-12-01,19486
2019-01-01,19445
2019-02-01,19746
2019-03-01,19758
2019-04-01,19266
2019-05-01,19149
2019-06-01,19530
2019-07-01,19995
2019-08-01,19802
2019-09-01,20059
2019-10-01,20125
2019-11-01,20073
2019-12-01,20478
2020-01-01,20343
2020-02-01,20439
2020-03-01,20412
2020-04-01,20022
2020-05-01,20113
2020-06-01,20619
2020-07-01,20737
2020-08-01,20506
2020-09-01,20335
2020-10-01,20007
2020-11-01,19979
2020-12-01,20136
2021-01-01,20328
2021-02-01,20584
2021-03-01,20489
2021-04-01,20154
2021-05-01,20038
2021-06-01,19876
2021-07-01,20019
2021-08-01,20151
2021-09-01,20119
2021-10-01,20078
2021-11-01,20667
2021-12-01,20697
2022-01-01,20812
2022-02-01,20958
2022-03-01,20280
2022-04-01,20145
2022-05-01,20504
2022-06-01,20179
2022-07-01,20826
2022-08-01,20965
2022-09-01,20438
2022-10-01,20563
2022-11-01,20312
2022-12-01,20557
2023-01-01,20593
2023-02-01,21029
2023-03-01,21072
2023-04-01,20742
2023-05-01,21052
2023-06-01,20998
2023-07-01,21452
2023-08-01,21200
2023-09-01,20923
2023-10-01,21230
2023-11-01,21108
