"Date","NCASHE9LFN"
1990-01-01,10952
1990-02-01,10986
1990-03-01,11005
1990-04-01,11206
1990-05-01,11668
1990-06-01,11659
1990-07-01,11294
1990-08-01,11128
1990-09-01,11442
1990-10-01,12540
1990-11-01,11540
1990-12-01,11274
1991-01-01,11137
1991-02-01,11234
1991-03-01,11223
1991-04-01,11327
1991-05-01,11680
1991-06-01,11882
1991-07-01,12231
1991-08-01,11491
1991-09-01,11609
1991-10-01,12109
1991-11-01,11886
1991-12-01,11718
1992-01-01,11576
1992-02-01,11633
1992-03-01,11503
1992-04-01,11488
1992-05-01,11837
1992-06-01,12272
1992-07-01,11654
1992-08-01,11344
1992-09-01,11542
1992-10-01,11489
1992-11-01,11801
1992-12-01,11444
1993-01-01,11795
1993-02-01,11755
1993-03-01,11608
1993-04-01,11615
1993-05-01,11940
1993-06-01,12116
1993-07-01,11677
1993-08-01,11539
1993-09-01,11621
1993-10-01,11658
1993-11-01,11742
1993-12-01,11519
1994-01-01,11059
1994-02-01,11183
1994-03-01,11062
1994-04-01,11059
1994-05-01,11811
1994-06-01,11994
1994-07-01,11701
1994-08-01,11685
1994-09-01,11739
1994-10-01,11639
1994-11-01,11843
1994-12-01,11631
1995-01-01,11318
1995-02-01,11626
1995-03-01,11697
1995-04-01,11570
1995-05-01,11743
1995-06-01,12047
1995-07-01,12478
1995-08-01,11940
1995-09-01,11785
1995-10-01,11938
1995-11-01,12078
1995-12-01,11584
1996-01-01,11756
1996-02-01,11611
1996-03-01,11479
1996-04-01,12813
1996-05-01,12002
1996-06-01,12056
1996-07-01,11147
1996-08-01,11434
1996-09-01,11675
1996-10-01,11738
1996-11-01,12117
1996-12-01,11671
1997-01-01,11692
1997-02-01,11576
1997-03-01,11490
1997-04-01,11439
1997-05-01,11832
1997-06-01,11932
1997-07-01,11687
1997-08-01,11784
1997-09-01,11634
1997-10-01,11534
1997-11-01,11588
1997-12-01,11431
1998-01-01,11351
1998-02-01,11276
1998-03-01,11289
1998-04-01,11175
1998-05-01,11323
1998-06-01,11367
1998-07-01,11456
1998-08-01,11494
1998-09-01,11435
1998-10-01,11754
1998-11-01,11384
1998-12-01,11146
1999-01-01,11645
1999-02-01,11556
1999-03-01,11778
1999-04-01,11651
1999-05-01,11821
1999-06-01,11686
1999-07-01,12029
1999-08-01,12037
1999-09-01,12114
1999-10-01,11732
1999-11-01,11773
1999-12-01,11517
2000-01-01,12195
2000-02-01,12207
2000-03-01,12448
2000-04-01,12377
2000-05-01,12520
2000-06-01,12434
2000-07-01,12354
2000-08-01,12714
2000-09-01,12566
2000-10-01,12696
2000-11-01,12810
2000-12-01,12709
2001-01-01,12375
2001-02-01,12403
2001-03-01,12448
2001-04-01,12325
2001-05-01,12507
2001-06-01,12556
2001-07-01,12569
2001-08-01,12838
2001-09-01,12918
2001-10-01,13098
2001-11-01,13157
2001-12-01,12821
2002-01-01,12673
2002-02-01,12666
2002-03-01,12680
2002-04-01,12675
2002-05-01,12915
2002-06-01,12626
2002-07-01,12652
2002-08-01,12639
2002-09-01,12715
2002-10-01,12758
2002-11-01,12713
2002-12-01,12670
2003-01-01,12510
2003-02-01,12686
2003-03-01,12779
2003-04-01,12893
2003-05-01,13020
2003-06-01,13022
2003-07-01,13008
2003-08-01,13105
2003-09-01,12978
2003-10-01,13354
2003-11-01,13299
2003-12-01,12979
2004-01-01,12900
2004-02-01,12845
2004-03-01,12936
2004-04-01,12904
2004-05-01,12989
2004-06-01,12697
2004-07-01,12756
2004-08-01,12934
2004-09-01,12833
2004-10-01,13103
2004-11-01,13117
2004-12-01,13046
2005-01-01,12914
2005-02-01,12817
2005-03-01,12927
2005-04-01,13006
2005-05-01,13011
2005-06-01,12797
2005-07-01,12688
2005-08-01,12917
2005-09-01,12773
2005-10-01,12899
2005-11-01,12912
2005-12-01,12622
2006-01-01,12579
2006-02-01,12523
2006-03-01,12545
2006-04-01,12870
2006-05-01,12913
2006-06-01,12644
2006-07-01,12716
2006-08-01,12968
2006-09-01,12984
2006-10-01,13183
2006-11-01,13397
2006-12-01,13150
2007-01-01,13173
2007-02-01,13040
2007-03-01,13116
2007-04-01,13140
