"Date","WITREM1LFN"
1990-01-01,13581
1990-02-01,13411
1990-03-01,13644
1990-04-01,13295
1990-05-01,13282
1990-06-01,13343
1990-07-01,13311
1990-08-01,13400
1990-09-01,13326
1990-10-01,13434
1990-11-01,13419
1990-12-01,13585
1991-01-01,13490
1991-02-01,13371
1991-03-01,13437
1991-04-01,13483
1991-05-01,13401
1991-06-01,13541
1991-07-01,13325
1991-08-01,12862
1991-09-01,13164
1991-10-01,13348
1991-11-01,13121
1991-12-01,13318
1992-01-01,12885
1992-02-01,13299
1992-03-01,13358
1992-04-01,13353
1992-05-01,13499
1992-06-01,14124
1992-07-01,13826
1992-08-01,13639
1992-09-01,13424
1992-10-01,13727
1992-11-01,13858
1992-12-01,13650
1993-01-01,13651
1993-02-01,13622
1993-03-01,13652
1993-04-01,13635
1993-05-01,13582
1993-06-01,14059
1993-07-01,13679
1993-08-01,13415
1993-09-01,13466
1993-10-01,13567
1993-11-01,13712
1993-12-01,13760
1994-01-01,14024
1994-02-01,14140
1994-03-01,14027
1994-04-01,13884
1994-05-01,14029
1994-06-01,14510
1994-07-01,13954
1994-08-01,14279
1994-09-01,14193
1994-10-01,13978
1994-11-01,13910
1994-12-01,13714
1995-01-01,13884
1995-02-01,14052
1995-03-01,14242
1995-04-01,14569
1995-05-01,14364
1995-06-01,14671
1995-07-01,14582
1995-08-01,14331
1995-09-01,14248
1995-10-01,14271
1995-11-01,14209
1995-12-01,14297
1996-01-01,14550
1996-02-01,14799
1996-03-01,14937
1996-04-01,14920
1996-05-01,14938
1996-06-01,15120
1996-07-01,14854
1996-08-01,14759
1996-09-01,14572
1996-10-01,14461
1996-11-01,14326
1996-12-01,14318
1997-01-01,14508
1997-02-01,14521
1997-03-01,14519
1997-04-01,14679
1997-05-01,14579
1997-06-01,14932
1997-07-01,14721
1997-08-01,14734
1997-09-01,14682
1997-10-01,14630
1997-11-01,14674
1997-12-01,14670
1998-01-01,14684
1998-02-01,14847
1998-03-01,14653
1998-04-01,14594
1998-05-01,14763
1998-06-01,14953
1998-07-01,14848
1998-08-01,14478
1998-09-01,14199
1998-10-01,14157
1998-11-01,14029
1998-12-01,14158
1999-01-01,14345
1999-02-01,14379
1999-03-01,14110
1999-04-01,14023
1999-05-01,14090
1999-06-01,14400
1999-07-01,14480
1999-08-01,14340
1999-09-01,14050
1999-10-01,14078
1999-11-01,13991
1999-12-01,14080
2000-01-01,15153
2000-02-01,15550
2000-03-01,15429
2000-04-01,15317
2000-05-01,15287
2000-06-01,15516
2000-07-01,15664
2000-08-01,15698
2000-09-01,15379
2000-10-01,15404
2000-11-01,15387
2000-12-01,15360
2001-01-01,15443
2001-02-01,15526
2001-03-01,15566
2001-04-01,15678
2001-05-01,15624
2001-06-01,15912
2001-07-01,15771
2001-08-01,15912
2001-09-01,15809
2001-10-01,15875
2001-11-01,15810
2001-12-01,15974
2002-01-01,15862
2002-02-01,16114
2002-03-01,16113
2002-04-01,15747
2002-05-01,15496
2002-06-01,15692
2002-07-01,15635
2002-08-01,15579
2002-09-01,15759
2002-10-01,15936
2002-11-01,15662
2002-12-01,15730
2003-01-01,15927
2003-02-01,15896
2003-03-01,15991
2003-04-01,15842
2003-05-01,15717
2003-06-01,15977
2003-07-01,15749
2003-08-01,15700
2003-09-01,15501
2003-10-01,15909
2003-11-01,15912
2003-12-01,15956
2004-01-01,15957
2004-02-01,16005
2004-03-01,15884
2004-04-01,15881
2004-05-01,15835
2004-06-01,16265
2004-07-01,15775
2004-08-01,15807
2004-09-01,15602
2004-10-01,15561
2004-11-01,15519
2004-12-01,15586
2005-01-01,15679
2005-02-01,15692
2005-03-01,15718
2005-04-01,15665
2005-05-01,15842
2005-06-01,16070
2005-07-01,15860
2005-08-01,15777
2005-09-01,15732
2005-10-01,15782
2005-11-01,15787
2005-12-01,15941
2006-01-01,16105
2006-02-01,16244
2006-03-01,16363
2006-04-01,16345
2006-05-01,16206
2006-06-01,16457
2006-07-01,16418
2006-08-01,16274
2006-09-01,16092
2006-10-01,16172
2006-11-01,15984
2006-12-01,16022
2007-01-01,16325
2007-02-01,16470
2007-03-01,16521
2007-04-01,16372
2007-05-01,16358
2007-06-01,16693
2007-07-01,16315
2007-08-01,15977
2007-09-01,16104
2007-10-01,16203
2007-11-01,16208
2007-12-01,16144
2008-01-01,16204
2008-02-01,16135
2008-03-01,16240
2008-04-01,16348
2008-05-01,16311
2008-06-01,16741
2008-07-01,16255
2008-08-01,15967
2008-09-01,16046
2008-10-01,16104
2008-11-01,16092
2008-12-01,16188
2009-01-01,16373
2009-02-01,16462
2009-03-01,16634
2009-04-01,16602
2009-05-01,16473
2009-06-01,17019
2009-07-01,16550
2009-08-01,16321
2009-09-01,15990
2009-10-01,15998
2009-11-01,15960
2009-12-01,16064
2010-01-01,16104
2010-02-01,16184
2010-03-01,15993
2010-04-01,16001
2010-05-01,15900
2010-06-01,16223
2010-07-01,16090
2010-08-01,15907
2010-09-01,15806
2010-10-01,15875
2010-11-01,15877
2010-12-01,16015
2011-01-01,16115
2011-02-01,16214
2011-03-01,16089
2011-04-01,16087
2011-05-01,16017
2011-06-01,16428
2011-07-01,16273
2011-08-01,16172
2011-09-01,16007
2011-10-01,16071
2011-11-01,16111
2011-12-01,16402
2012-01-01,16384
2012-02-01,16261
2012-03-01,16301
2012-04-01,16215
2012-05-01,16270
2012-06-01,16720
2012-07-01,16550
2012-08-01,16320
2012-09-01,16204
2012-10-01,16330
2012-11-01,16235
2012-12-01,16408
2013-01-01,16594
2013-02-01,16451
2013-03-01,16396
2013-04-01,16309
2013-05-01,16334
2013-06-01,16874
2013-07-01,16530
2013-08-01,16284
2013-09-01,16221
2013-10-01,16272
2013-11-01,16282
2013-12-01,16381
2014-01-01,16372
2014-02-01,16380
2014-03-01,16479
2014-04-01,16406
2014-05-01,16487
2014-06-01,16894
2014-07-01,16727
2014-08-01,16536
2014-09-01,16425
2014-10-01,16553
2014-11-01,16434
2014-12-01,16409
2015-01-01,16557
2015-02-01,16499
2015-03-01,16563
2015-04-01,16575
2015-05-01,16600
2015-06-01,17108
2015-07-01,16713
2015-08-01,16518
2015-09-01,16333
2015-10-01,16464
2015-11-01,16415
2015-12-01,16567
2016-01-01,16551
2016-02-01,16617
2016-03-01,16606
2016-04-01,16491
2016-05-01,16521
2016-06-01,17189
2016-07-01,16805
2016-08-01,16671
2016-09-01,16552
2016-10-01,16478
2016-11-01,16479
2016-12-01,16501
2017-01-01,16496
2017-02-01,16477
2017-03-01,16491
2017-04-01,16662
2017-05-01,16640
2017-06-01,17037
2017-07-01,16487
2017-08-01,16267
2017-09-01,16298
2017-10-01,16422
2017-11-01,16467
2017-12-01,16474
2018-01-01,16446
2018-02-01,16379
2018-03-01,16308
2018-04-01,16517
2018-05-01,16547
2018-06-01,16979
2018-07-01,16544
2018-08-01,15877
2018-09-01,15987
2018-10-01,16237
2018-11-01,16091
2018-12-01,16158
2019-01-01,16262
2019-02-01,15859
2019-03-01,15929
2019-04-01,15933
2019-05-01,15876
2019-06-01,16412
2019-07-01,16055
2019-08-01,15751
2019-09-01,15846
2019-10-01,15934
2019-11-01,15762
2019-12-01,15990
2020-01-01,15858
2020-02-01,15799
2020-03-01,15855
2020-04-01,15928
2020-05-01,15836
2020-06-01,16253
2020-07-01,15528
2020-08-01,15470
2020-09-01,15558
2020-10-01,15573
2020-11-01,15574
2020-12-01,15685
2021-01-01,15643
2021-02-01,15748
2021-03-01,15824
2021-04-01,15749
2021-05-01,15597
2021-06-01,15748
2021-07-01,15315
2021-08-01,15119
2021-09-01,15013
2021-10-01,15062
2021-11-01,14876
2021-12-01,15098
2022-01-01,15246
2022-02-01,15430
2022-03-01,15373
2022-04-01,15259
2022-05-01,14966
2022-06-01,15203
2022-07-01,14642
2022-08-01,14551
2022-09-01,14390
2022-10-01,14354
2022-11-01,14299
2022-12-01,14387
2023-01-01,14564
2023-02-01,14915
2023-03-01,14824
2023-04-01,15118
2023-05-01,14957
2023-06-01,15321
2023-07-01,14876
2023-08-01,14716
2023-09-01,14610
2023-10-01,14343
