"Date","ADOPLM5564"
2000-01-01,253
2000-02-01,277
2000-03-01,240
2000-04-01,224
2000-05-01,207
2000-06-01,220
2000-07-01,201
2000-08-01,216
2000-09-01,200
2000-10-01,215
2000-11-01,229
2000-12-01,181
2001-01-01,204
2001-02-01,232
2001-03-01,243
2001-04-01,269
2001-05-01,266
2001-06-01,267
2001-07-01,270
2001-08-01,245
2001-09-01,248
2001-10-01,262
2001-11-01,263
2001-12-01,275
2002-01-01,252
2002-02-01,269
2002-03-01,274
2002-04-01,275
2002-05-01,279
2002-06-01,282
2002-07-01,314
2002-08-01,325
2002-09-01,336
2002-10-01,344
2002-11-01,356
2002-12-01,359
2003-01-01,345
2003-02-01,376
2003-03-01,343
2003-04-01,375
2003-05-01,360
2003-06-01,319
2003-07-01,359
2003-08-01,377
2003-09-01,387
2003-10-01,360
2003-11-01,325
2003-12-01,309
2004-01-01,322
2004-02-01,357
2004-03-01,373
2004-04-01,375
2004-05-01,371
2004-06-01,346
2004-07-01,396
2004-08-01,388
2004-09-01,384
2004-10-01,379
2004-11-01,384
2004-12-01,357
2005-01-01,356
2005-02-01,362
2005-03-01,374
2005-04-01,382
2005-05-01,359
2005-06-01,393
2005-07-01,430
2005-08-01,409
2005-09-01,451
2005-10-01,459
2005-11-01,457
2005-12-01,453
2006-01-01,441
2006-02-01,401
2006-03-01,413
2006-04-01,418
2006-05-01,456
2006-06-01,469
2006-07-01,475
2006-08-01,465
2006-09-01,448
2006-10-01,464
2006-11-01,434
2006-12-01,457
2007-01-01,436
2007-02-01,435
2007-03-01,473
2007-04-01,470
2007-05-01,492
2007-06-01,508
2007-07-01,514
2007-08-01,522
2007-09-01,582
2007-10-01,492
2007-11-01,477
2007-12-01,501
2008-01-01,531
2008-02-01,526
2008-03-01,518
2008-04-01,519
2008-05-01,520
2008-06-01,557
2008-07-01,510
2008-08-01,549
2008-09-01,610
2008-10-01,470
2008-11-01,492
2008-12-01,479
2009-01-01,466
2009-02-01,469
2009-03-01,486
2009-04-01,548
2009-05-01,617
2009-06-01,606
2009-07-01,532
2009-08-01,517
2009-09-01,478
2009-10-01,467
2009-11-01,530
2009-12-01,469
2010-01-01,489
2010-02-01,494
2010-03-01,495
2010-04-01,517
2010-05-01,547
2010-06-01,538
2010-07-01,557
2010-08-01,578
2010-09-01,563
2010-10-01,573
2010-11-01,584
2010-12-01,547
2011-01-01,535
2011-02-01,484
2011-03-01,510
2011-04-01,549
2011-05-01,544
2011-06-01,572
2011-07-01,578
2011-08-01,617
2011-09-01,646
2011-10-01,570
2011-11-01,571
2011-12-01,514
2012-01-01,519
2012-02-01,514
2012-03-01,501
2012-04-01,514
2012-05-01,538
2012-06-01,580
2012-07-01,556
2012-08-01,587
2012-09-01,614
2012-10-01,622
2012-11-01,610
2012-12-01,587
2013-01-01,593
2013-02-01,577
2013-03-01,576
2013-04-01,545
2013-05-01,573
2013-06-01,565
2013-07-01,605
2013-08-01,596
2013-09-01,616
2013-10-01,601
2013-11-01,603
2013-12-01,588
2014-01-01,563
2014-02-01,571
2014-03-01,588
2014-04-01,598
2014-05-01,618
2014-06-01,611
2014-07-01,650
2014-08-01,606
2014-09-01,622
2014-10-01,610
2014-11-01,617
2014-12-01,650
2015-01-01,590
2015-02-01,558
2015-03-01,579
2015-04-01,608
2015-05-01,615
2015-06-01,659
2015-07-01,580
2015-08-01,545
2015-09-01,564
2015-10-01,555
2015-11-01,602
2015-12-01,630
2016-01-01,670
2016-02-01,687
2016-03-01,646
2016-04-01,660
2016-05-01,671
2016-06-01,702
2016-07-01,612
2016-08-01,622
2016-09-01,663
2016-10-01,618
2016-11-01,621
2016-12-01,644
2017-01-01,652
2017-02-01,659
2017-03-01,684
2017-04-01,629
2017-05-01,665
2017-06-01,630
2017-07-01,611
2017-08-01,631
2017-09-01,660
2017-10-01,687
2017-11-01,695
2017-12-01,724
2018-01-01,747
2018-02-01,712
2018-03-01,690
2018-04-01,651
2018-05-01,671
2018-06-01,692
2018-07-01,697
2018-08-01,688
2018-09-01,685
2018-10-01,639
2018-11-01,637
2018-12-01,600
2019-01-01,640
2019-02-01,734
2019-03-01,729
2019-04-01,668
2019-05-01,726
2019-06-01,694
2019-07-01,664
2019-08-01,698
2019-09-01,704
2019-10-01,754
2019-11-01,759
2019-12-01,719
2020-01-01,716
2020-02-01,739
2020-03-01,721
2020-04-01,751
2020-05-01,773
2020-06-01,719
2020-07-01,692
2020-08-01,747
2020-09-01,726
2020-10-01,710
2020-11-01,675
2020-12-01,639
2021-01-01,646
2021-02-01,704
2021-03-01,746
2021-04-01,782
2021-05-01,766
2021-06-01,719
2021-07-01,665
2021-08-01,645
2021-09-01,689
2021-10-01,644
2021-11-01,687
2021-12-01,689
2022-01-01,706
2022-02-01,706
2022-03-01,699
2022-04-01,680
2022-05-01,695
2022-06-01,628
2022-07-01,649
2022-08-01,683
2022-09-01,665
2022-10-01,642
2022-11-01,646
2022-12-01,674
2023-01-01,652
2023-02-01,670
2023-03-01,658
2023-04-01,679
2023-05-01,653
2023-06-01,659
2023-07-01,661
2023-08-01,653
2023-09-01,746
2023-10-01,653
2023-11-01,716
