"Date","M08297USM548NNBR"
1945-08-01,267
1945-09-01,271
1945-10-01,200
1945-11-01,177
1945-12-01,177
1946-01-01,268
1946-02-01,236
1946-03-01,184
1946-04-01,223
1946-05-01,243
1946-06-01,190
1946-07-01,148
1946-08-01,123
1946-09-01,138
1946-10-01,148
1946-11-01,148
1946-12-01,207
1947-01-01,220
1947-02-01,183
1947-03-01,176
1947-04-01,232
1947-05-01,265
1947-06-01,209
1947-07-01,205
1947-08-01,148
1947-09-01,128
1947-10-01,134
1947-11-01,150
1947-12-01,180
1948-01-01,215
1948-02-01,221
1948-03-01,191
1948-04-01,238
1948-05-01,242
1948-06-01,210
1948-07-01,191
1948-08-01,160
1948-09-01,155
1948-10-01,172
1948-11-01,217
1948-12-01,288
1949-01-01,370
1949-02-01,324
1949-03-01,316
1949-04-01,428
1949-05-01,377
1949-06-01,345
1949-07-01,337
1949-08-01,307
1949-09-01,230
1949-10-01,325
1949-11-01,351
1949-12-01,370
1950-01-01,383
1950-02-01,302
1950-03-01,262
1950-04-01,294
1950-05-01,247
1950-06-01,241
1950-07-01,225
1950-08-01,137
1950-09-01,132
1950-10-01,162
1950-11-01,204
1950-12-01,247
1951-01-01,229
1951-02-01,188
1951-03-01,158
1951-04-01,219
1951-05-01,193
1951-06-01,199
1951-07-01,241
1951-08-01,205
1951-09-01,180
1951-10-01,195
1951-11-01,213
1951-12-01,270
1952-01-01,294
1952-02-01,207
1952-03-01,199
1952-04-01,236
1952-05-01,203
1952-06-01,228
1952-07-01,324
1952-08-01,170
1952-09-01,128
1952-10-01,146
1952-11-01,170
1952-12-01,240
1953-01-01,236
1953-02-01,184
1953-03-01,179
1953-04-01,190
1953-05-01,186
1953-06-01,182
1953-07-01,213
1953-08-01,189
1953-09-01,186
1953-10-01,209
1953-11-01,295
1953-12-01,351
1954-01-01,416
1954-02-01,335
1954-03-01,303
1954-04-01,328
1954-05-01,292
1954-06-01,289
1954-07-01,303
1954-08-01,263
1954-09-01,255
1954-10-01,262
1954-11-01,271
1954-12-01,315
1955-01-01,355
1955-02-01,257
1955-03-01,217
1955-04-01,238
1955-05-01,205
1955-06-01,202
1955-07-01,229
1955-08-01,189
1955-09-01,163
1955-10-01,187
1955-11-01,211
1955-12-01,269
1956-01-01,303
1956-02-01,247
1956-03-01,211
1956-04-01,232
1956-05-01,214
1956-06-01,204
1956-07-01,252
1956-08-01,180
1956-09-01,189
1956-10-01,180
1956-11-01,219
1956-12-01,291
1957-01-01,337
1957-02-01,248
1957-03-01,212
1957-04-01,248
1957-05-01,216
1957-06-01,218
1957-07-01,273
1957-08-01,189
1957-09-01,243
1957-10-01,256
1957-11-01,316
1957-12-01,457
1958-01-01,492
1958-02-01,451
1958-03-01,425
1958-04-01,448
1958-05-01,347
1958-06-01,357
1958-07-01,357
1958-08-01,295
1958-09-01,267
1958-10-01,271
1958-11-01,312
1958-12-01,415
1959-01-01,403
1959-02-01,316
1959-03-01,255
1959-04-01,247
1959-05-01,209
1959-06-01,221
1959-07-01,267
1959-08-01,241
1959-09-01,213
1959-10-01,272
1959-11-01,357
1959-12-01,358
1960-01-01,386
1960-02-01,301
1960-03-01,301
1960-04-01,293
1960-05-01,264
1960-06-01,272
1960-07-01,339
1960-08-01,306
1960-09-01,274
1960-10-01,332
1960-11-01,396
1960-12-01,494
1961-01-01,539
1961-02-01,478
1961-03-01,370
1961-04-01,365
1961-05-01,296
1961-06-01,278
1961-07-01,355
1961-08-01,269
1961-09-01,255
1961-10-01,275
1961-11-01,318
1961-12-01,393
1962-01-01,427
1962-02-01,318
1962-03-01,272
1962-04-01,265
1962-05-01,248
1962-06-01,256
1962-07-01,316
1962-08-01,259
1962-09-01,233
1962-10-01,272
1962-11-01,312
1962-12-01,420
1963-01-01,444
1963-02-01,322
1963-03-01,270
1963-04-01,272
1963-05-01,237
1963-06-01,238
1963-07-01,295
1963-08-01,244
1963-09-01,221
1963-10-01,251
1963-11-01,289
1963-12-01,412
1964-01-01,410
1964-02-01,289
1964-03-01,258
1964-04-01,244
1964-05-01,216
1964-06-01,215
1964-07-01,273
1964-08-01,205
1964-09-01,190
1964-10-01,221
1964-11-01,274
1964-12-01,345
1965-01-01,352
1965-02-01,266
1965-03-01,220
1965-04-01,218
1965-05-01,184
1965-06-01,188
1965-07-01,243
1965-08-01,208
1965-09-01,169
1965-10-01,185
1965-11-01,222
1965-12-01,286
1966-01-01,326
1966-02-01,236
1966-03-01,169
1966-04-01,164
1966-05-01,150
1966-06-01,154
1966-07-01,242
1966-08-01,166
1966-09-01,140
1966-10-01,162
1966-11-01,204
1966-12-01,295
1967-01-01,297
1967-02-01,264
1967-03-01,237
1967-04-01,241
1967-05-01,185
1967-06-01,183
1967-07-01,281
1967-08-01,181
1967-09-01,154
1967-10-01,176
1967-11-01,205
1967-12-01,274
1968-01-01,312
1968-02-01,224
1968-03-01,180
1968-04-01,180
1968-05-01,153
1968-06-01,154
1968-07-01,231
1968-08-01,169
1968-09-01,137
1968-10-01,150
1968-11-01,186
1968-12-01,256
1969-01-01,271
1969-02-01,213
1969-03-01,170
