"Date","LNU03008636"
1948-01-01,124
1948-02-01,134
1948-03-01,114
1948-04-01,110
1948-05-01,121
1948-06-01,126
1948-07-01,114
1948-08-01,127
1948-09-01,136
1948-10-01,127
1948-11-01,75
1948-12-01,85
1949-01-01,100
1949-02-01,145
1949-03-01,120
1949-04-01,160
1949-05-01,221
1949-06-01,261
1949-07-01,327
1949-08-01,329
1949-09-01,368
1949-10-01,349
1949-11-01,335
1949-12-01,361
1950-01-01,396
1950-02-01,448
1950-03-01,449
1950-04-01,475
1950-05-01,481
1950-06-01,439
1950-07-01,361
1950-08-01,285
1950-09-01,299
1950-10-01,257
1950-11-01,204
1950-12-01,194
1951-01-01,183
1951-02-01,213
1951-03-01,168
1951-04-01,145
1951-05-01,153
1951-06-01,116
1951-07-01,134
1951-08-01,112
1951-09-01,116
1951-10-01,90
1951-11-01,122
1951-12-01,92
1952-01-01,108
1952-02-01,94
1952-03-01,96
1952-04-01,126
1952-05-01,100
1952-06-01,66
1952-07-01,70
1952-08-01,58
1952-09-01,60
1952-10-01,78
1952-11-01,54
1952-12-01,96
1953-01-01,92
1953-02-01,86
1953-03-01,96
1953-04-01,76
1953-05-01,58
1953-06-01,88
1953-07-01,74
1953-08-01,62
1953-09-01,62
1953-10-01,58
1953-11-01,77
1953-12-01,105
1954-01-01,157
1954-02-01,160
1954-03-01,267
1954-04-01,307
1954-05-01,375
1954-06-01,293
1954-07-01,339
1954-08-01,400
1954-09-01,383
1954-10-01,391
1954-11-01,352
1954-12-01,376
1955-01-01,459
1955-02-01,450
1955-03-01,447
1955-04-01,447
1955-05-01,409
1955-06-01,311
1955-07-01,306
1955-08-01,265
1955-09-01,216
1955-10-01,213
1955-11-01,228
1955-12-01,275
1956-01-01,270
1956-02-01,283
1956-03-01,281
1956-04-01,231
1956-05-01,222
1956-06-01,175
1956-07-01,213
1956-08-01,233
1956-09-01,209
1956-10-01,211
1956-11-01,204
1956-12-01,247
1957-01-01,188
1957-02-01,227
1957-03-01,253
1957-04-01,267
1957-05-01,260
1957-06-01,247
1957-07-01,260
1957-08-01,232
1957-09-01,193
1957-10-01,255
1957-11-01,243
1957-12-01,246
1958-01-01,309
1958-02-01,353
1958-03-01,401
1958-04-01,585
1958-05-01,605
1958-06-01,689
1958-07-01,872
1958-08-01,971
1958-09-01,888
1958-10-01,811
1958-11-01,735
1958-12-01,782
1959-01-01,818
1959-02-01,737
1959-03-01,777
1959-04-01,723
1959-05-01,605
1959-06-01,540
1959-07-01,515
1959-08-01,493
1959-09-01,396
1959-10-01,393
1959-11-01,428
1959-12-01,430
1960-01-01,469
1960-02-01,431
1960-03-01,502
1960-04-01,499
1960-05-01,411
1960-06-01,396
1960-07-01,416
1960-08-01,414
1960-09-01,417
1960-10-01,500
1960-11-01,499
1960-12-01,499
1961-01-01,643
1961-02-01,674
1961-03-01,799
1961-04-01,923
1961-05-01,907
1961-06-01,928
1961-07-01,1026
1961-08-01,913
1961-09-01,760
1961-10-01,723
1961-11-01,689
1961-12-01,661
1962-01-01,672
1962-02-01,703
1962-03-01,734
1962-04-01,719
1962-05-01,666
1962-06-01,584
1962-07-01,576
1962-08-01,593
1962-09-01,477
1962-10-01,447
1962-11-01,397
1962-12-01,453
1963-01-01,541
1963-02-01,619
1963-03-01,691
1963-04-01,681
1963-05-01,643
1963-06-01,514
1963-07-01,557
