"Date","INHUNT9LFN"
1990-01-01,18952
1990-02-01,18904
1990-03-01,18885
1990-04-01,18378
1990-05-01,18684
1990-06-01,18780
1990-07-01,18748
1990-08-01,18639
1990-09-01,18365
1990-10-01,18533
1990-11-01,19511
1990-12-01,18861
1991-01-01,19371
1991-02-01,19592
1991-03-01,19375
1991-04-01,18924
1991-05-01,19047
1991-06-01,19363
1991-07-01,19286
1991-08-01,18981
1991-09-01,18650
1991-10-01,18626
1991-11-01,18743
1991-12-01,18908
1992-01-01,19424
1992-02-01,18716
1992-03-01,18785
1992-04-01,18555
1992-05-01,18664
1992-06-01,19174
1992-07-01,19359
1992-08-01,19166
1992-09-01,18768
1992-10-01,18855
1992-11-01,18996
1992-12-01,18911
1993-01-01,19000
1993-02-01,19041
1993-03-01,19139
1993-04-01,19194
1993-05-01,19483
1993-06-01,19985
1993-07-01,19821
1993-08-01,19748
1993-09-01,19203
1993-10-01,19357
1993-11-01,19707
1993-12-01,19700
1994-01-01,19678
1994-02-01,19817
1994-03-01,19742
1994-04-01,19647
1994-05-01,19909
1994-06-01,20243
1994-07-01,20675
1994-08-01,20521
1994-09-01,20631
1994-10-01,20937
1994-11-01,20585
1994-12-01,20457
1995-01-01,20442
1995-02-01,20399
1995-03-01,20581
1995-04-01,20729
1995-05-01,20760
1995-06-01,21095
1995-07-01,21335
1995-08-01,20799
1995-09-01,20646
1995-10-01,20645
1995-11-01,20488
1995-12-01,20467
1996-01-01,20239
1996-02-01,20293
1996-03-01,20381
1996-04-01,20387
1996-05-01,20627
1996-06-01,20873
1996-07-01,21292
1996-08-01,20563
1996-09-01,20407
1996-10-01,20534
1996-11-01,20637
1996-12-01,20471
1997-01-01,20414
1997-02-01,20335
1997-03-01,20727
1997-04-01,20726
1997-05-01,20971
1997-06-01,21167
1997-07-01,21319
1997-08-01,21002
1997-09-01,20757
1997-10-01,20926
1997-11-01,20993
1997-12-01,20882
1998-01-01,20662
1998-02-01,20549
1998-03-01,20736
1998-04-01,20813
1998-05-01,20947
1998-06-01,21121
1998-07-01,21310
1998-08-01,21042
1998-09-01,21160
1998-10-01,21010
1998-11-01,21016
1998-12-01,21070
1999-01-01,20678
1999-02-01,20466
1999-03-01,20421
1999-04-01,20352
1999-05-01,20427
1999-06-01,20686
1999-07-01,20858
1999-08-01,20176
1999-09-01,20259
1999-10-01,20531
1999-11-01,20652
1999-12-01,20496
2000-01-01,20931
2000-02-01,20823
2000-03-01,20764
2000-04-01,20626
2000-05-01,20854
2000-06-01,20975
2000-07-01,21365
2000-08-01,20741
2000-09-01,20759
2000-10-01,20570
2000-11-01,20445
2000-12-01,20483
2001-01-01,20409
2001-02-01,20438
2001-03-01,20592
2001-04-01,20610
2001-05-01,20643
2001-06-01,20706
2001-07-01,20838
2001-08-01,20593
2001-09-01,20705
2001-10-01,20752
2001-11-01,20710
2001-12-01,20576
2002-01-01,20548
2002-02-01,20682
2002-03-01,20572
2002-04-01,20636
2002-05-01,20780
2002-06-01,20649
2002-07-01,20656
2002-08-01,20503
2002-09-01,20642
2002-10-01,20655
2002-11-01,20504
2002-12-01,20466
2003-01-01,20726
2003-02-01,20635
2003-03-01,20585
2003-04-01,20612
2003-05-01,20839
2003-06-01,20628
2003-07-01,20852
2003-08-01,20384
2003-09-01,20432
2003-10-01,20714
2003-11-01,20720
2003-12-01,20725
2004-01-01,20761
2004-02-01,20555
2004-03-01,20597
2004-04-01,20410
2004-05-01,20481
2004-06-01,20613
2004-07-01,20615
2004-08-01,20304
2004-09-01,20288
2004-10-01,20457
2004-11-01,20515
2004-12-01,20400
2005-01-01,20451
2005-02-01,20377
2005-03-01,20439
2005-04-01,20640
2005-05-01,20706
2005-06-01,20670
2005-07-01,20657
2005-08-01,20425
2005-09-01,20775
2005-10-01,20726
2005-11-01,20794
2005-12-01,20551
2006-01-01,20560
2006-02-01,20939
2006-03-01,20678
2006-04-01,20648
2006-05-01,20971
2006-06-01,20470
2006-07-01,20561
2006-08-01,20350
2006-09-01,20684
2006-10-01,20552
2006-11-01,20431
2006-12-01,20410
2007-01-01,20085
2007-02-01,19919
2007-03-01,19999
2007-04-01,19833
2007-05-01,19877
2007-06-01,20018
2007-07-01,20199
2007-08-01,20004
2007-09-01,20037
2007-10-01,19916
2007-11-01,20057
2007-12-01,19969
2008-01-01,20450
2008-02-01,20026
2008-03-01,20391
2008-04-01,20153
2008-05-01,20078
2008-06-01,20202
2008-07-01,20650
2008-08-01,20302
2008-09-01,20186
2008-10-01,20393
2008-11-01,20215
2008-12-01,20044
2009-01-01,20176
2009-02-01,20090
2009-03-01,20268
2009-04-01,20036
2009-05-01,20263
2009-06-01,20428
2009-07-01,19862
2009-08-01,19671
2009-09-01,19502
2009-10-01,19683
2009-11-01,19307
2009-12-01,19250
2010-01-01,19032
2010-02-01,18943
2010-03-01,19033
2010-04-01,19184
2010-05-01,19201
2010-06-01,19252
2010-07-01,19095
2010-08-01,19136
2010-09-01,18962
2010-10-01,18838
2010-11-01,19019
2010-12-01,18727
2011-01-01,19120
2011-02-01,18915
2011-03-01,19012
2011-04-01,19078
2011-05-01,19173
2011-06-01,19152
2011-07-01,19257
2011-08-01,19207
2011-09-01,19201
2011-10-01,19349
2011-11-01,19689
2011-12-01,19121
2012-01-01,18749
2012-02-01,18863
2012-03-01,18869
2012-04-01,18865
2012-05-01,18947
2012-06-01,18663
2012-07-01,18518
2012-08-01,18114
2012-09-01,18541
2012-10-01,18535
2012-11-01,18271
2012-12-01,18282
2013-01-01,18509
2013-02-01,18484
2013-03-01,18440
2013-04-01,18547
2013-05-01,18765
2013-06-01,18616
2013-07-01,18743
2013-08-01,18557
2013-09-01,18529
2013-10-01,18433
2013-11-01,18641
2013-12-01,18346
2014-01-01,18024
2014-02-01,18305
2014-03-01,18405
2014-04-01,18531
2014-05-01,18594
2014-06-01,18634
2014-07-01,18973
2014-08-01,18565
2014-09-01,18565
2014-10-01,18864
2014-11-01,18721
2014-12-01,18526
2015-01-01,18494
2015-02-01,18442
2015-03-01,18475
2015-04-01,18655
2015-05-01,18871
2015-06-01,19106
2015-07-01,18792
2015-08-01,18561
2015-09-01,18433
2015-10-01,18614
2015-11-01,18703
2015-12-01,18519
2016-01-01,18624
2016-02-01,18805
2016-03-01,18824
2016-04-01,18633
2016-05-01,18825
2016-06-01,19166
2016-07-01,18861
2016-08-01,18886
2016-09-01,18645
2016-10-01,18544
2016-11-01,18451
2016-12-01,18220
2017-01-01,18408
2017-02-01,18367
2017-03-01,18396
2017-04-01,18475
2017-05-01,18605
2017-06-01,18599
2017-07-01,18726
2017-08-01,18501
2017-09-01,18408
2017-10-01,18300
2017-11-01,18118
2017-12-01,17928
2018-01-01,17971
2018-02-01,18211
2018-03-01,18376
2018-04-01,18492
2018-05-01,18641
2018-06-01,18598
2018-07-01,18678
2018-08-01,18610
2018-09-01,18337
2018-10-01,18573
2018-11-01,18401
2018-12-01,18371
2019-01-01,18365
2019-02-01,18392
2019-03-01,18424
2019-04-01,18337
2019-05-01,18308
2019-06-01,18420
2019-07-01,18592
2019-08-01,18581
2019-09-01,18351
2019-10-01,18609
2019-11-01,18290
2019-12-01,18236
2020-01-01,18367
2020-02-01,18419
2020-03-01,17923
2020-04-01,17813
2020-05-01,18062
2020-06-01,17880
2020-07-01,18198
2020-08-01,18452
2020-09-01,18328
2020-10-01,18329
2020-11-01,18272
2020-12-01,18174
2021-01-01,18269
2021-02-01,18284
2021-03-01,18248
2021-04-01,18158
2021-05-01,18302
2021-06-01,18372
2021-07-01,18339
2021-08-01,18370
2021-09-01,17999
2021-10-01,17963
2021-11-01,18012
2021-12-01,17899
2022-01-01,18054
2022-02-01,18158
2022-03-01,18295
2022-04-01,18545
2022-05-01,18709
2022-06-01,18699
2022-07-01,18791
2022-08-01,18602
2022-09-01,18356
2022-10-01,18360
2022-11-01,18278
2022-12-01,18203
2023-01-01,18188
2023-02-01,18219
2023-03-01,18434
2023-04-01,18484
2023-05-01,18502
2023-06-01,18728
2023-07-01,18684
2023-08-01,18578
2023-09-01,18247
2023-10-01,18223
