"Date","KYKNOX1LFN"
1990-01-01,9955
1990-02-01,9925
1990-03-01,10100
1990-04-01,10031
1990-05-01,10279
1990-06-01,10328
1990-07-01,10202
1990-08-01,9985
1990-09-01,9867
1990-10-01,9849
1990-11-01,9863
1990-12-01,9896
1991-01-01,9971
1991-02-01,10095
1991-03-01,10194
1991-04-01,10014
1991-05-01,10065
1991-06-01,10136
1991-07-01,10048
1991-08-01,10011
1991-09-01,10032
1991-10-01,9942
1991-11-01,10040
1991-12-01,10013
1992-01-01,10053
1992-02-01,9976
1992-03-01,10078
1992-04-01,10245
1992-05-01,10395
1992-06-01,10556
1992-07-01,10566
1992-08-01,10447
1992-09-01,10333
1992-10-01,10241
1992-11-01,10316
1992-12-01,10321
1993-01-01,10067
1993-02-01,10120
1993-03-01,10243
1993-04-01,10142
1993-05-01,10386
1993-06-01,10740
1993-07-01,10713
1993-08-01,10591
1993-09-01,10535
1993-10-01,10476
1993-11-01,10411
1993-12-01,10303
1994-01-01,10229
1994-02-01,10282
1994-03-01,10409
1994-04-01,10470
1994-05-01,10665
1994-06-01,10749
1994-07-01,10715
1994-08-01,10832
1994-09-01,10646
1994-10-01,10717
1994-11-01,10670
1994-12-01,10588
1995-01-01,10441
1995-02-01,10473
1995-03-01,10630
1995-04-01,10642
1995-05-01,10830
1995-06-01,11069
1995-07-01,10962
1995-08-01,10932
1995-09-01,10984
1995-10-01,10787
1995-11-01,10914
1995-12-01,10792
1996-01-01,10731
1996-02-01,10710
1996-03-01,10805
1996-04-01,10757
1996-05-01,10792
1996-06-01,10953
1996-07-01,11727
1996-08-01,11780
1996-09-01,11765
1996-10-01,11701
1996-11-01,11775
1996-12-01,11638
1997-01-01,11148
1997-02-01,11084
1997-03-01,11445
1997-04-01,11430
1997-05-01,11329
1997-06-01,11455
1997-07-01,11262
1997-08-01,11195
1997-09-01,10991
1997-10-01,11063
1997-11-01,11004
1997-12-01,10881
1998-01-01,10862
1998-02-01,10846
1998-03-01,10997
1998-04-01,10885
1998-05-01,11034
1998-06-01,11198
1998-07-01,11127
1998-08-01,11021
1998-09-01,10994
1998-10-01,10917
1998-11-01,10969
1998-12-01,11058
1999-01-01,11020
1999-02-01,11090
1999-03-01,11138
1999-04-01,11151
1999-05-01,11256
1999-06-01,11409
1999-07-01,11267
1999-08-01,11222
1999-09-01,11231
1999-10-01,11212
1999-11-01,11211
1999-12-01,11076
2000-01-01,11063
2000-02-01,11050
2000-03-01,11147
2000-04-01,11124
2000-05-01,11169
2000-06-01,11303
2000-07-01,11334
2000-08-01,11190
2000-09-01,10975
2000-10-01,11002
2000-11-01,11018
2000-12-01,11006
2001-01-01,11083
2001-02-01,11115
2001-03-01,11230
2001-04-01,11256
2001-05-01,11235
2001-06-01,11219
2001-07-01,11237
2001-08-01,11042
2001-09-01,11060
2001-10-01,11248
2001-11-01,11269
2001-12-01,11308
2002-01-01,11457
2002-02-01,11417
2002-03-01,11491
2002-04-01,11499
2002-05-01,11449
2002-06-01,11570
2002-07-01,11547
2002-08-01,11329
2002-09-01,11365
2002-10-01,11374
2002-11-01,11378
2002-12-01,11410
2003-01-01,11488
2003-02-01,11467
2003-03-01,11495
2003-04-01,11709
2003-05-01,11662
2003-06-01,11936
2003-07-01,11537
2003-08-01,11708
2003-09-01,11666
2003-10-01,11668
2003-11-01,11713
2003-12-01,11696
2004-01-01,11633
2004-02-01,11612
2004-03-01,11788
2004-04-01,11587
2004-05-01,11610
2004-06-01,11802
2004-07-01,11871
2004-08-01,11691
2004-09-01,11665
2004-10-01,11736
2004-11-01,11799
2004-12-01,11769
2005-01-01,11951
2005-02-01,11944
2005-03-01,12035
2005-04-01,11811
2005-05-01,12071
2005-06-01,12336
2005-07-01,12116
2005-08-01,12067
2005-09-01,12003
2005-10-01,12042
2005-11-01,11983
2005-12-01,12169
2006-01-01,12064
2006-02-01,12063
2006-03-01,12031
2006-04-01,12172
2006-05-01,12204
2006-06-01,12242
2006-07-01,12185
2006-08-01,12122
2006-09-01,12083
2006-10-01,12319
2006-11-01,12573
2006-12-01,12508
2007-01-01,12646
2007-02-01,12585
2007-03-01,12528
2007-04-01,12536
2007-05-01,12551
2007-06-01,12813
2007-07-01,12801
2007-08-01,12595
2007-09-01,12533
2007-10-01,12655
2007-11-01,12781
2007-12-01,12681
2008-01-01,12727
2008-02-01,12658
2008-03-01,12766
2008-04-01,12568
2008-05-01,12627
2008-06-01,12921
2008-07-01,13030
2008-08-01,12796
2008-09-01,12702
2008-10-01,12845
2008-11-01,12801
2008-12-01,12920
2009-01-01,12842
2009-02-01,13017
2009-03-01,13073
2009-04-01,12957
2009-05-01,12980
2009-06-01,13181
2009-07-01,13068
2009-08-01,12885
2009-09-01,12619
