"Date","LAUCN410610000000005"
1990-01-01,10725
1990-02-01,10735
1990-03-01,10544
1990-04-01,10631
1990-05-01,10886
1990-06-01,11159
1990-07-01,11807
1990-08-01,11453
1990-09-01,11125
1990-10-01,11375
1990-11-01,11055
1990-12-01,10720
1991-01-01,10488
1991-02-01,10619
1991-03-01,10501
1991-04-01,10661
1991-05-01,10785
1991-06-01,11073
1991-07-01,11241
1991-08-01,11524
1991-09-01,11240
1991-10-01,11044
1991-11-01,10966
1991-12-01,10699
1992-01-01,10540
1992-02-01,10640
1992-03-01,10403
1992-04-01,10761
1992-05-01,10960
1992-06-01,11722
1992-07-01,11963
1992-08-01,11659
1992-09-01,11327
1992-10-01,11186
1992-11-01,11166
1992-12-01,11010
1993-01-01,10898
1993-02-01,10989
1993-03-01,11037
1993-04-01,10923
1993-05-01,11212
1993-06-01,11477
1993-07-01,11646
1993-08-01,12097
1993-09-01,11681
1993-10-01,11965
1993-11-01,11574
1993-12-01,11612
1994-01-01,11342
1994-02-01,11338
1994-03-01,11352
1994-04-01,11472
1994-05-01,11607
1994-06-01,11827
1994-07-01,12569
1994-08-01,12371
1994-09-01,11765
1994-10-01,12006
1994-11-01,11602
1994-12-01,11561
1995-01-01,11385
1995-02-01,11418
1995-03-01,11425
1995-04-01,11399
1995-05-01,11427
1995-06-01,11590
1995-07-01,12408
1995-08-01,12243
1995-09-01,11496
1995-10-01,11819
1995-11-01,11468
1995-12-01,11289
1996-01-01,11133
1996-02-01,11222
1996-03-01,11277
1996-04-01,11414
1996-05-01,11635
1996-06-01,11834
1996-07-01,12209
1996-08-01,12591
1996-09-01,11647
1996-10-01,11854
1996-11-01,11734
1996-12-01,11216
1997-01-01,11053
1997-02-01,11001
1997-03-01,11148
1997-04-01,11405
1997-05-01,11626
1997-06-01,11788
1997-07-01,13130
1997-08-01,11913
1997-09-01,11792
1997-10-01,11805
1997-11-01,11380
1997-12-01,11369
1998-01-01,11336
1998-02-01,11313
1998-03-01,11507
1998-04-01,11826
1998-05-01,11964
1998-06-01,11739
1998-07-01,13261
1998-08-01,11915
1998-09-01,11426
1998-10-01,11936
1998-11-01,11246
1998-12-01,11489
1999-01-01,11196
1999-02-01,11312
1999-03-01,11346
1999-04-01,11382
1999-05-01,11653
1999-06-01,11692
1999-07-01,12210
1999-08-01,11892
1999-09-01,11899
1999-10-01,12175
1999-11-01,11808
1999-12-01,11652
2000-01-01,11102
2000-02-01,11178
2000-03-01,11209
2000-04-01,11290
2000-05-01,11314
2000-06-01,11411
2000-07-01,11787
2000-08-01,11379
2000-09-01,11075
2000-10-01,11414
2000-11-01,11352
2000-12-01,11319
2001-01-01,10876
2001-02-01,11161
2001-03-01,11168
2001-04-01,11145
2001-05-01,11350
2001-06-01,11368
2001-07-01,11584
2001-08-01,11592
2001-09-01,11130
2001-10-01,11440
2001-11-01,11346
2001-12-01,11289
2002-01-01,11162
2002-02-01,11317
2002-03-01,11301
2002-04-01,11437
2002-05-01,11630
2002-06-01,11684
2002-07-01,11759
2002-08-01,12055
2002-09-01,11505
2002-10-01,11564
2002-11-01,11508
2002-12-01,11482
