"Date","KYHNLFN"
1990-01-01,6367
1990-02-01,6433
1990-03-01,6276
1990-04-01,6257
1990-05-01,6450
1990-06-01,6333
1990-07-01,6506
1990-08-01,6600
1990-09-01,6757
1990-10-01,6826
1990-11-01,7027
1990-12-01,6971
1991-01-01,6805
1991-02-01,7006
1991-03-01,7036
1991-04-01,7110
1991-05-01,7200
1991-06-01,7440
1991-07-01,7420
1991-08-01,7164
1991-09-01,7122
1991-10-01,6988
1991-11-01,6856
1991-12-01,6790
1992-01-01,7071
1992-02-01,7070
1992-03-01,7188
1992-04-01,7238
1992-05-01,7256
1992-06-01,7282
1992-07-01,7215
1992-08-01,7022
1992-09-01,6794
1992-10-01,6795
1992-11-01,6886
1992-12-01,7027
1993-01-01,7125
1993-02-01,7332
1993-03-01,7510
1993-04-01,7363
1993-05-01,7506
1993-06-01,7569
1993-07-01,7605
1993-08-01,7615
1993-09-01,7515
1993-10-01,7494
1993-11-01,7594
1993-12-01,7495
1994-01-01,7356
1994-02-01,7402
1994-03-01,7442
1994-04-01,7545
1994-05-01,7739
1994-06-01,7899
1994-07-01,7807
1994-08-01,7675
1994-09-01,7587
1994-10-01,7666
1994-11-01,7699
1994-12-01,7692
1995-01-01,7595
1995-02-01,7741
1995-03-01,7865
1995-04-01,7823
1995-05-01,7615
1995-06-01,7753
1995-07-01,7598
1995-08-01,7457
1995-09-01,7313
1995-10-01,7212
1995-11-01,7061
1995-12-01,7025
1996-01-01,7006
1996-02-01,6973
1996-03-01,7115
1996-04-01,7060
1996-05-01,7205
1996-06-01,7392
1996-07-01,7578
1996-08-01,7390
1996-09-01,7299
1996-10-01,7281
1996-11-01,7205
1996-12-01,7089
1997-01-01,7121
1997-02-01,7034
1997-03-01,7161
1997-04-01,7114
1997-05-01,7087
1997-06-01,7214
1997-07-01,7296
1997-08-01,7143
1997-09-01,7019
1997-10-01,6946
1997-11-01,6989
1997-12-01,6851
1998-01-01,6702
1998-02-01,6732
1998-03-01,6754
1998-04-01,6791
1998-05-01,6750
1998-06-01,6928
1998-07-01,6792
1998-08-01,6734
1998-09-01,6722
1998-10-01,6759
1998-11-01,6897
1998-12-01,7164
1999-01-01,7383
1999-02-01,7340
1999-03-01,7427
1999-04-01,7450
1999-05-01,7589
1999-06-01,7721
1999-07-01,7850
1999-08-01,7670
1999-09-01,7599
1999-10-01,7408
1999-11-01,7223
1999-12-01,7110
2000-01-01,7771
2000-02-01,7779
2000-03-01,7779
2000-04-01,7754
2000-05-01,7785
2000-06-01,7913
2000-07-01,7853
2000-08-01,7769
2000-09-01,7718
2000-10-01,7701
2000-11-01,7751
2000-12-01,7792
2001-01-01,7748
2001-02-01,7678
2001-03-01,7691
2001-04-01,7652
2001-05-01,7675
2001-06-01,7739
2001-07-01,7763
2001-08-01,7622
2001-09-01,7558
2001-10-01,7600
2001-11-01,7661
2001-12-01,7616
2002-01-01,7504
2002-02-01,7480
2002-03-01,7468
2002-04-01,7466
2002-05-01,7542
2002-06-01,7651
2002-07-01,7561
2002-08-01,7511
2002-09-01,7522
2002-10-01,7481
2002-11-01,7512
