"Date","DHIDFHDMIE"
2001-01-01,21.6008273721312
2001-02-01,20.4676597094242
2001-03-01,21.7934322121564
2001-04-01,22.3735622916439
2001-05-01,21.7097020652572
2001-06-01,26.7121304879164
2001-07-01,18.5241245241515
2001-08-01,15.6038442638571
2001-09-01,20.9947137297228
2001-10-01,21.268903681806
2001-11-01,19.9578210852442
2001-12-01,22.4206611880654
2002-01-01,20.1497463819777
2002-02-01,29.4671085345147
2002-03-01,20.929795385997
2002-04-01,24.4549902200308
2002-05-01,22.479190072815
2002-06-01,22.3596492371561
2002-07-01,31.2673592816527
2002-08-01,26.0645000501145
2002-09-01,22.023589577507
2002-10-01,26.3472351615713
2002-11-01,25.727767581055
2002-12-01,24.7706934086643
2003-01-01,21.0425856965074
2003-02-01,17.2903963694431
2003-03-01,20.8004857295066
2003-04-01,15.9657684556349
2003-05-01,19.1985726985342
2003-06-01,19.4934503706466
2003-07-01,20.0760719315609
2003-08-01,17.2157247754646
2003-09-01,16.5362878592017
2003-10-01,14.1971438348641
2003-11-01,17.4542510848283
2003-12-01,18.0559949870865
2004-01-01,18.8133328760579
2004-02-01,18.8537995560736
2004-03-01,22.0304838127525
2004-04-01,25.1758471766974
2004-05-01,23.8986839799823
2004-06-01,19.1280248455315
2004-07-01,19.4597629900573
2004-08-01,22.0094009523138
2004-09-01,25.1176679732847
2004-10-01,19.1964560138802
2004-11-01,29.6681193609056
2004-12-01,21.5495484373961
2005-01-01,23.3265207058637
2005-02-01,29.3040691335782
2005-03-01,20.6188175185482
2005-04-01,24.4611275819493
2005-05-01,25.5887272176216
2005-06-01,30.36296279002
2005-07-01,29.0615333488017
2005-08-01,29.4786890422574
2005-09-01,25.0350625407067
2005-10-01,33.4459721717275
2005-11-01,25.9669248652874
2005-12-01,22.5954785179572
2006-01-01,26.0440866809993
2006-02-01,27.1226108757378
2006-03-01,31.9086673513554
2006-04-01,27.9665128385375
2006-05-01,21.2353315997427
2006-06-01,30.8731440312403
2006-07-01,20.240997042327
2006-08-01,23.5016458347013
2006-09-01,23.5726315878751
2006-10-01,28.6334338660906
2006-11-01,26.746274612673
2006-12-01,28.9764576204978
2007-01-01,22.5142931427883
2007-02-01,20.7697201492628
2007-03-01,20.0209106190758
2007-04-01,19.1771668196765
2007-05-01,25.0053070689504
2007-06-01,24.5557809309257
2007-07-01,29.4778223727482
2007-08-01,23.5606208817781
2007-09-01,25.3503996829885
2007-10-01,26.5041184429868
2007-11-01,20.8408585205606
2007-12-01,22.7651817748835
2008-01-01,20.5344065793851
2008-02-01,20.0871120525735
2008-03-01,20.6648599472606
2008-04-01,18.9669437927442
2008-05-01,18.8554127182036
2008-06-01,18.4848414389995
2008-07-01,23.3101688302275
2008-08-01,22.8929072412614
2008-09-01,24.1612346118565
2008-10-01,22.0171189391406
2008-11-01,26.0519001010284
2008-12-01,27.6159993572351
2009-01-01,25.0502785132324
2009-02-01,19.635479033404
2009-03-01,15.6877028125873
2009-04-01,18.9193246815568
2009-05-01,15.995758423964
2009-06-01,19.8317925108756
2009-07-01,17.7840918442044
2009-08-01,19.7332084390276
2009-09-01,22.7949605597475
2009-10-01,13.6228583996409
2009-11-01,16.5887742655047
2009-12-01,16.0589157677
2010-01-01,16.9910616369422
2010-02-01,20.9922184387571
2010-03-01,19.0076182216484
2010-04-01,25.433253671647
2010-05-01,25.2828309380837
2010-06-01,21.8295519292463
2010-07-01,18.7517202283443
2010-08-01,20.4083559705649
2010-09-01,17.6683495031298
2010-10-01,16.9789018310291
2010-11-01,16.6107080227597
2010-12-01,19.9863402458489
2011-01-01,18.8281628588208
2011-02-01,20.3670860182055
2011-03-01,21.672276281489
2011-04-01,18.1489796895298
2011-05-01,26.664583906352
2011-06-01,20.5178097116067
2011-07-01,23.8049816262829
2011-08-01,23.1049295252309
2011-09-01,20.5539099997134
2011-10-01,24.8334191372389
2011-11-01,19.4384012786153
2011-12-01,17.2985063036887
2012-01-01,16.8913429054979
2012-02-01,17.9273224595772
2012-03-01,21.3355284863309
2012-04-01,22.3444756744254
2012-05-01,20.8355637870424
2012-06-01,25.472358026549
2012-07-01,25.582775119094
2012-08-01,26.1487770077227
2012-09-01,20.3150080941328
2012-10-01,22.9492833087818
2012-11-01,27.6517396232035
2012-12-01,17.5892753815671
2013-01-01,22.3124056390849
2013-02-01,25.3480116030949
2013-03-01,20.8136974265246
2013-04-01,23.6425038352245
2013-05-01,20.360490257701
2013-06-01,37.3544460763963
2013-07-01,18.0481155311363
2013-08-01,18.0377535645689
2013-09-01,26.3657523693074
2013-10-01,23.1644521264812
2013-11-01,24.6617862287508
2013-12-01,25.1898083891023
2014-01-01,20.5293700986999
2014-02-01,23.7721576715988
2014-03-01,20.2040880453552
2014-04-01,24.1213687643974
2014-05-01,31.4014544365188
2014-06-01,28.5498904455885
2014-07-01,29.0676685282364
2014-08-01,27.5484450169418
2014-09-01,23.1646891811077
2014-10-01,29.4732937120403
2014-11-01,32.8562438531789
2014-12-01,30.0464636607872
2015-01-01,36.9011237238486
2015-02-01,33.7192068193898
2015-03-01,33.9636791339746
2015-04-01,33.7903985376404
2015-05-01,30.8648686926047
2015-06-01,27.5466722641424
2015-07-01,28.5101535362108
2015-08-01,30.3398922093385
2015-09-01,28.7150847337922
2015-10-01,25.5075077535087
2015-11-01,22.9031577965393
2015-12-01,29.9563936653617
2016-01-01,35.1592297627557
2016-02-01,26.8684590546576
2016-03-01,27.8833722240871
2016-04-01,26.7120953567452
2016-05-01,26.3514613141478
2016-06-01,26.8628958883496
