"Date","LASST060000000000005"
1976-01-01,8875685
1976-02-01,8871553
1976-03-01,8875700
1976-04-01,8902662
1976-05-01,8938559
1976-06-01,8977255
1976-07-01,9010377
1976-08-01,9037097
1976-09-01,9062648
1976-10-01,9089492
1976-11-01,9120389
1976-12-01,9157978
1977-01-01,9204162
1977-02-01,9257576
1977-03-01,9314250
1977-04-01,9370903
1977-05-01,9425458
1977-06-01,9478129
1977-07-01,9531197
1977-08-01,9586963
1977-09-01,9645317
1977-10-01,9703565
1977-11-01,9759799
1977-12-01,9812886
1978-01-01,9864666
1978-02-01,9916934
1978-03-01,9969880
1978-04-01,10023312
1978-05-01,10076881
1978-06-01,10128069
1978-07-01,10173539
1978-08-01,10213361
1978-09-01,10251598
1978-10-01,10292800
1978-11-01,10336820
1978-12-01,10378926
1979-01-01,10414825
1979-02-01,10445021
1979-03-01,10471986
1979-04-01,10497326
1979-05-01,10523859
1979-06-01,10553509
1979-07-01,10588578
1979-08-01,10628240
1979-09-01,10668358
1979-10-01,10706202
1979-11-01,10740319
1979-12-01,10768752
1980-01-01,10787840
1980-02-01,10795311
1980-03-01,10793087
1980-04-01,10786253
1980-05-01,10779902
1980-06-01,10779355
1980-07-01,10786083
1980-08-01,10798842
1980-09-01,10815487
1980-10-01,10832315
1980-11-01,10849153
1980-12-01,10869860
1981-01-01,10894361
1981-02-01,10918962
1981-03-01,10941358
1981-04-01,10957775
1981-05-01,10965053
1981-06-01,10964400
1981-07-01,10958160
1981-08-01,10948874
1981-09-01,10939588
1981-10-01,10932487
1981-11-01,10926218
1981-12-01,10921096
1982-01-01,10920493
1982-02-01,10924825
1982-03-01,10930905
1982-04-01,10938209
1982-05-01,10946059
1982-06-01,10950479
1982-07-01,10949543
1982-08-01,10944096
1982-09-01,10935247
1982-10-01,10924678
1982-11-01,10915325
1982-12-01,10907614
1983-01-01,10902953
1983-02-01,10907130
1983-03-01,10924179
1983-04-01,10955935
1983-05-01,11000522
1983-06-01,11053889
1983-07-01,11111350
1983-08-01,11166476
1983-09-01,11215098
1983-10-01,11256899
1983-11-01,11293760
1983-12-01,11330300
1984-01-01,11372769
1984-02-01,11423242
1984-03-01,11479163
1984-04-01,11535006
1984-05-01,11586906
1984-06-01,11632800
1984-07-01,11671911
1984-08-01,11706943
1984-09-01,11741730
1984-10-01,11780495
1984-11-01,11825891
1984-12-01,11875139
1985-01-01,11919980
1985-02-01,11953332
1985-03-01,11973521
1985-04-01,11983223
1985-05-01,11988652
1985-06-01,11997098
1985-07-01,12013707
1985-08-01,12041877
1985-09-01,12079990
1985-10-01,12121770
1985-11-01,12161186
1985-12-01,12194718
1986-01-01,12223689
1986-02-01,12252758
1986-03-01,12285798
1986-04-01,12324785
1986-05-01,12368747
1986-06-01,12416031
1986-07-01,12464295
1986-08-01,12509310
1986-09-01,12548948
1986-10-01,12584328
1986-11-01,12616408
1986-12-01,12650246
1987-01-01,12689035
1987-02-01,12732450
1987-03-01,12780431
