"Date","LAUCN320210000000004"
1990-01-01,198
1990-02-01,182
1990-03-01,199
1990-04-01,159
1990-05-01,158
1990-06-01,176
1990-07-01,145
1990-08-01,152
1990-09-01,140
1990-10-01,163
1990-11-01,195
1990-12-01,164
1991-01-01,188
1991-02-01,173
1991-03-01,193
1991-04-01,192
1991-05-01,176
1991-06-01,170
1991-07-01,163
1991-08-01,149
1991-09-01,138
1991-10-01,141
1991-11-01,158
1991-12-01,122
1992-01-01,152
1992-02-01,149
1992-03-01,132
1992-04-01,170
1992-05-01,128
1992-06-01,203
1992-07-01,213
1992-08-01,191
1992-09-01,191
1992-10-01,189
1992-11-01,184
1992-12-01,201
1993-01-01,222
1993-02-01,201
1993-03-01,219
1993-04-01,209
1993-05-01,229
1993-06-01,273
1993-07-01,288
1993-08-01,304
1993-09-01,304
1993-10-01,329
1993-11-01,376
1993-12-01,336
1994-01-01,412
1994-02-01,380
1994-03-01,365
1994-04-01,332
1994-05-01,304
1994-06-01,350
1994-07-01,325
1994-08-01,295
1994-09-01,280
1994-10-01,277
1994-11-01,255
1994-12-01,248
1995-01-01,301
1995-02-01,237
1995-03-01,227
1995-04-01,216
1995-05-01,212
1995-06-01,198
1995-07-01,212
1995-08-01,235
1995-09-01,207
1995-10-01,190
1995-11-01,227
1995-12-01,195
1996-01-01,265
1996-02-01,221
1996-03-01,211
1996-04-01,205
1996-05-01,191
1996-06-01,195
1996-07-01,173
1996-08-01,176
1996-09-01,183
1996-10-01,175
1996-11-01,166
1996-12-01,157
1997-01-01,185
1997-02-01,179
1997-03-01,184
1997-04-01,186
1997-05-01,178
1997-06-01,183
1997-07-01,173
1997-08-01,158
1997-09-01,148
1997-10-01,147
1997-11-01,142
1997-12-01,157
1998-01-01,204
1998-02-01,200
1998-03-01,195
1998-04-01,167
1998-05-01,164
1998-06-01,196
1998-07-01,164
1998-08-01,154
1998-09-01,160
1998-10-01,156
1998-11-01,156
1998-12-01,127
1999-01-01,178
1999-02-01,176
1999-03-01,193
1999-04-01,191
1999-05-01,171
1999-06-01,173
1999-07-01,130
1999-08-01,136
1999-09-01,147
1999-10-01,133
1999-11-01,159
1999-12-01,150
2000-01-01,250
2000-02-01,242
2000-03-01,207
2000-04-01,172
2000-05-01,162
2000-06-01,159
2000-07-01,171
2000-08-01,163
2000-09-01,154
2000-10-01,148
2000-11-01,165
2000-12-01,174
2001-01-01,202
2001-02-01,188
2001-03-01,186
2001-04-01,165
2001-05-01,145
2001-06-01,156
2001-07-01,154
2001-08-01,157
2001-09-01,148
2001-10-01,128
2001-11-01,132
2001-12-01,134
2002-01-01,152
2002-02-01,144
2002-03-01,132
2002-04-01,130
2002-05-01,134
2002-06-01,139
2002-07-01,137
2002-08-01,117
2002-09-01,123
2002-10-01,112
2002-11-01,131
2002-12-01,123
2003-01-01,141
2003-02-01,142
2003-03-01,128
2003-04-01,132
2003-05-01,115
2003-06-01,136
2003-07-01,126
2003-08-01,124
2003-09-01,123
2003-10-01,118
2003-11-01,118
2003-12-01,112
2004-01-01,123
2004-02-01,116
2004-03-01,114
2004-04-01,102
2004-05-01,108
2004-06-01,116
