"Date","SCBAMB9LFN"
1990-01-01,7191
1990-02-01,7246
1990-03-01,7205
1990-04-01,7300
1990-05-01,7366
1990-06-01,7584
1990-07-01,7856
1990-08-01,7407
1990-09-01,7585
1990-10-01,7218
1990-11-01,7116
1990-12-01,7151
1991-01-01,7304
1991-02-01,7485
1991-03-01,7637
1991-04-01,7648
1991-05-01,7724
1991-06-01,7919
1991-07-01,7943
1991-08-01,7820
1991-09-01,7735
1991-10-01,7729
1991-11-01,7682
1991-12-01,7690
1992-01-01,7587
1992-02-01,7682
1992-03-01,7649
1992-04-01,7674
1992-05-01,7709
1992-06-01,7914
1992-07-01,7748
1992-08-01,7809
1992-09-01,7714
1992-10-01,7570
1992-11-01,7517
1992-12-01,7459
1993-01-01,7665
1993-02-01,7686
1993-03-01,7745
1993-04-01,7692
1993-05-01,7807
1993-06-01,8028
1993-07-01,8138
1993-08-01,8091
1993-09-01,7931
1993-10-01,7860
1993-11-01,7747
1993-12-01,7706
1994-01-01,7712
1994-02-01,7611
1994-03-01,7573
1994-04-01,7794
1994-05-01,7872
1994-06-01,7966
1994-07-01,7537
1994-08-01,7386
1994-09-01,7258
1994-10-01,7598
1994-11-01,7488
1994-12-01,7502
1995-01-01,7505
1995-02-01,7567
1995-03-01,7508
1995-04-01,7701
1995-05-01,7837
1995-06-01,7770
1995-07-01,7825
1995-08-01,7602
1995-09-01,7519
1995-10-01,7563
1995-11-01,7491
1995-12-01,7515
1996-01-01,7664
1996-02-01,7638
1996-03-01,7716
1996-04-01,7767
1996-05-01,7858
1996-06-01,7824
1996-07-01,7861
1996-08-01,7803
1996-09-01,7750
1996-10-01,7742
1996-11-01,7585
1996-12-01,7613
1997-01-01,7708
1997-02-01,7755
1997-03-01,7781
1997-04-01,7697
1997-05-01,7674
1997-06-01,7894
1997-07-01,7666
1997-08-01,7647
1997-09-01,7608
1997-10-01,7472
1997-11-01,7250
1997-12-01,7246
1998-01-01,7408
1998-02-01,7502
1998-03-01,7385
1998-04-01,7529
1998-05-01,7371
1998-06-01,7503
1998-07-01,7813
1998-08-01,7746
1998-09-01,7804
1998-10-01,7823
1998-11-01,7741
1998-12-01,7769
1999-01-01,7859
1999-02-01,7792
1999-03-01,7785
1999-04-01,7582
1999-05-01,7681
1999-06-01,7821
1999-07-01,7636
1999-08-01,7919
1999-09-01,7890
1999-10-01,7856
1999-11-01,7590
1999-12-01,7617
2000-01-01,6499
2000-02-01,6526
2000-03-01,6430
2000-04-01,6424
2000-05-01,6496
2000-06-01,6570
2000-07-01,6349
2000-08-01,6506
2000-09-01,6529
2000-10-01,6480
2000-11-01,6421
2000-12-01,6406
2001-01-01,6523
2001-02-01,6448
2001-03-01,6417
2001-04-01,6364
2001-05-01,6362
2001-06-01,6428
2001-07-01,6335
2001-08-01,6422
2001-09-01,6317
2001-10-01,6433
2001-11-01,6219
2001-12-01,6227
2002-01-01,6239
2002-02-01,6348
2002-03-01,6305
2002-04-01,6305
2002-05-01,6329
2002-06-01,6374
2002-07-01,6479
2002-08-01,6456
2002-09-01,6380
2002-10-01,6297
2002-11-01,6350
2002-12-01,6299
2003-01-01,6478
2003-02-01,6578
2003-03-01,6547
2003-04-01,6549
2003-05-01,6478
2003-06-01,6721
2003-07-01,6553
2003-08-01,6444
2003-09-01,6536
2003-10-01,6590
2003-11-01,6639
2003-12-01,6534
2004-01-01,6468
2004-02-01,6477
2004-03-01,6470
2004-04-01,6372
2004-05-01,6468
2004-06-01,6589
2004-07-01,6525
2004-08-01,6569
2004-09-01,6483
2004-10-01,6372
2004-11-01,6392
2004-12-01,6327
2005-01-01,6422
2005-02-01,6502
2005-03-01,6534
2005-04-01,6653
2005-05-01,6564
2005-06-01,6612
2005-07-01,6693
2005-08-01,6642
2005-09-01,6589
2005-10-01,6671
2005-11-01,6548
2005-12-01,6536
2006-01-01,6650
2006-02-01,6649
2006-03-01,6694
2006-04-01,6602
2006-05-01,6548
2006-06-01,6629
2006-07-01,6672
2006-08-01,6705
2006-09-01,6625
2006-10-01,6608
2006-11-01,6536
2006-12-01,6602
2007-01-01,6502
2007-02-01,6418
2007-03-01,6410
2007-04-01,6362
2007-05-01,6356
2007-06-01,6387
2007-07-01,6317
2007-08-01,6153
2007-09-01,6318
2007-10-01,6257
2007-11-01,6259
2007-12-01,6284
2008-01-01,6326
2008-02-01,6296
2008-03-01,6292
2008-04-01,6258
2008-05-01,6324
2008-06-01,6393
2008-07-01,6410
2008-08-01,6415
2008-09-01,6489
2008-10-01,6527
2008-11-01,6529
2008-12-01,6547
2009-01-01,6582
2009-02-01,6502
2009-03-01,6553
2009-04-01,6525
2009-05-01,6540
2009-06-01,6626
2009-07-01,6420
2009-08-01,6434
2009-09-01,6380
2009-10-01,6493
2009-11-01,6393
2009-12-01,6332
2010-01-01,6486
2010-02-01,6535
2010-03-01,6426
2010-04-01,6634
2010-05-01,6543
2010-06-01,6616
2010-07-01,6501
2010-08-01,6662
2010-09-01,6616
2010-10-01,6694
2010-11-01,6585
2010-12-01,6573
2011-01-01,6491
2011-02-01,6367
2011-03-01,6318
2011-04-01,6298
2011-05-01,6257
2011-06-01,6340
2011-07-01,6378
2011-08-01,6399
2011-09-01,6378
2011-10-01,6319
2011-11-01,6275
2011-12-01,6234
2012-01-01,5971
2012-02-01,5946
2012-03-01,5866
2012-04-01,5743
2012-05-01,5743
2012-06-01,5813
2012-07-01,5748
2012-08-01,5852
2012-09-01,5720
2012-10-01,5787
2012-11-01,5708
2012-12-01,5690
2013-01-01,5862
2013-02-01,5779
2013-03-01,5721
2013-04-01,5526
2013-05-01,5550
2013-06-01,5612
2013-07-01,5525
2013-08-01,5567
2013-09-01,5449
2013-10-01,5537
2013-11-01,5521
2013-12-01,5415
2014-01-01,5496
2014-02-01,5489
2014-03-01,5638
2014-04-01,5436
2014-05-01,5391
2014-06-01,5561
2014-07-01,5624
2014-08-01,5647
2014-09-01,5638
2014-10-01,5606
2014-11-01,5548
2014-12-01,5582
2015-01-01,5681
2015-02-01,5563
2015-03-01,5518
2015-04-01,5397
2015-05-01,5459
2015-06-01,5573
2015-07-01,5524
2015-08-01,5452
2015-09-01,5351
2015-10-01,5347
2015-11-01,5277
