"Date","MOCMLFN"
1990-01-01,12347
1990-02-01,12322
1990-03-01,12596
1990-04-01,13172
1990-05-01,13856
1990-06-01,14573
1990-07-01,14419
1990-08-01,14176
1990-09-01,13391
1990-10-01,12984
1990-11-01,12749
1990-12-01,12593
1991-01-01,12357
1991-02-01,12374
1991-03-01,12595
1991-04-01,13078
1991-05-01,13718
1991-06-01,14522
1991-07-01,14367
1991-08-01,14162
1991-09-01,13703
1991-10-01,13040
1991-11-01,12609
1991-12-01,12472
1992-01-01,12501
1992-02-01,12466
1992-03-01,12666
1992-04-01,13322
1992-05-01,14113
1992-06-01,14900
1992-07-01,14742
1992-08-01,14613
1992-09-01,14070
1992-10-01,13406
1992-11-01,13107
1992-12-01,12841
1993-01-01,12878
1993-02-01,13020
1993-03-01,13393
1993-04-01,14090
1993-05-01,14723
1993-06-01,15626
1993-07-01,15530
1993-08-01,15233
1993-09-01,14927
1993-10-01,14286
1993-11-01,14003
1993-12-01,13733
1994-01-01,13740
1994-02-01,13806
1994-03-01,14149
1994-04-01,14652
1994-05-01,15359
1994-06-01,16058
1994-07-01,15771
1994-08-01,15569
1994-09-01,15333
1994-10-01,14913
1994-11-01,14723
1994-12-01,14600
1995-01-01,14787
1995-02-01,14817
1995-03-01,15300
1995-04-01,15753
1995-05-01,16274
1995-06-01,17095
1995-07-01,17364
1995-08-01,16998
1995-09-01,16564
1995-10-01,15898
1995-11-01,15659
1995-12-01,15487
1996-01-01,15371
1996-02-01,15295
1996-03-01,15761
1996-04-01,16287
1996-05-01,16749
1996-06-01,17639
1996-07-01,17936
1996-08-01,17322
1996-09-01,17111
1996-10-01,16498
1996-11-01,16115
1996-12-01,16028
1997-01-01,16406
1997-02-01,16467
1997-03-01,16814
1997-04-01,16965
1997-05-01,17639
1997-06-01,18653
1997-07-01,18922
1997-08-01,18386
1997-09-01,17700
1997-10-01,17167
1997-11-01,16756
1997-12-01,16569
1998-01-01,16252
1998-02-01,16548
1998-03-01,16850
1998-04-01,17168
1998-05-01,17932
1998-06-01,18665
1998-07-01,19077
1998-08-01,18218
1998-09-01,17534
1998-10-01,16998
1998-11-01,16621
1998-12-01,16638
1999-01-01,16529
1999-02-01,16702
1999-03-01,16949
1999-04-01,17421
1999-05-01,18058
1999-06-01,19086
1999-07-01,19400
1999-08-01,18651
1999-09-01,18171
1999-10-01,17641
1999-11-01,17234
1999-12-01,17073
2000-01-01,18290
2000-02-01,18172
2000-03-01,18711
2000-04-01,19557
2000-05-01,20412
2000-06-01,21490
2000-07-01,21785
2000-08-01,20971
2000-09-01,20442
2000-10-01,19937
2000-11-01,19280
2000-12-01,19000
2001-01-01,18873
2001-02-01,18843
2001-03-01,19392
2001-04-01,20190
