"Date","KYMSLFN"
1990-01-01,12580
1990-02-01,12536
1990-03-01,12573
1990-04-01,12287
1990-05-01,12466
1990-06-01,12303
1990-07-01,12440
1990-08-01,12486
1990-09-01,12462
1990-10-01,12648
1990-11-01,12820
1990-12-01,12914
1991-01-01,13163
1991-02-01,13010
1991-03-01,12913
1991-04-01,12704
1991-05-01,12857
1991-06-01,13069
1991-07-01,12938
1991-08-01,12824
1991-09-01,12766
1991-10-01,12670
1991-11-01,12944
1991-12-01,13024
1992-01-01,13175
1992-02-01,13011
1992-03-01,12878
1992-04-01,12749
1992-05-01,13057
1992-06-01,13314
1992-07-01,13428
1992-08-01,13365
1992-09-01,13073
1992-10-01,13023
1992-11-01,13163
1992-12-01,13068
1993-01-01,13443
1993-02-01,13312
1993-03-01,13345
1993-04-01,13108
1993-05-01,13162
1993-06-01,13514
1993-07-01,13438
1993-08-01,13291
1993-09-01,13243
1993-10-01,13163
1993-11-01,13179
1993-12-01,13194
1994-01-01,13356
1994-02-01,13375
1994-03-01,13279
1994-04-01,13216
1994-05-01,13415
1994-06-01,13617
1994-07-01,13544
1994-08-01,13555
1994-09-01,13519
1994-10-01,13499
1994-11-01,13535
1994-12-01,13688
1995-01-01,13844
1995-02-01,13849
1995-03-01,13500
1995-04-01,13456
1995-05-01,13556
1995-06-01,13829
1995-07-01,13667
1995-08-01,13653
1995-09-01,13653
1995-10-01,13662
1995-11-01,13923
1995-12-01,13806
1996-01-01,14041
1996-02-01,13975
1996-03-01,14006
1996-04-01,13771
1996-05-01,13980
1996-06-01,14165
1996-07-01,14178
1996-08-01,14175
1996-09-01,14292
1996-10-01,14491
1996-11-01,14813
1996-12-01,14713
1997-01-01,14826
1997-02-01,14601
1997-03-01,14557
1997-04-01,14489
1997-05-01,14587
1997-06-01,14731
1997-07-01,14319
1997-08-01,14240
1997-09-01,14165
1997-10-01,14384
1997-11-01,14557
1997-12-01,14602
1998-01-01,14682
1998-02-01,14539
1998-03-01,14653
1998-04-01,14324
