"Date","INSTAR9LFN"
1990-01-01,10150
1990-02-01,10199
1990-03-01,10194
1990-04-01,10216
1990-05-01,10459
1990-06-01,10696
1990-07-01,10620
1990-08-01,10533
1990-09-01,10217
1990-10-01,10073
1990-11-01,10020
1990-12-01,10086
1991-01-01,9897
1991-02-01,9933
1991-03-01,10068
1991-04-01,10099
1991-05-01,10143
1991-06-01,10390
1991-07-01,10389
1991-08-01,10123
1991-09-01,9957
1991-10-01,9922
1991-11-01,9928
1991-12-01,9971
1992-01-01,10013
1992-02-01,10091
1992-03-01,10147
1992-04-01,10175
1992-05-01,10491
1992-06-01,10787
1992-07-01,10839
1992-08-01,10525
1992-09-01,10331
1992-10-01,10272
1992-11-01,10172
1992-12-01,10177
1993-01-01,10210
1993-02-01,10329
1993-03-01,10369
1993-04-01,10419
1993-05-01,10655
1993-06-01,11050
1993-07-01,11042
1993-08-01,10875
1993-09-01,10668
1993-10-01,10801
1993-11-01,10854
1993-12-01,10764
1994-01-01,10785
1994-02-01,10836
1994-03-01,10866
1994-04-01,10939
1994-05-01,11150
1994-06-01,11476
1994-07-01,11580
1994-08-01,11457
1994-09-01,11337
1994-10-01,11460
1994-11-01,11425
1994-12-01,11322
1995-01-01,11399
1995-02-01,11293
1995-03-01,11389
1995-04-01,11395
1995-05-01,11548
1995-06-01,11659
1995-07-01,11674
1995-08-01,11684
1995-09-01,11380
1995-10-01,11567
1995-11-01,11481
1995-12-01,11184
1996-01-01,11399
1996-02-01,11391
1996-03-01,11408
1996-04-01,11367
1996-05-01,11569
1996-06-01,11662
1996-07-01,11796
1996-08-01,11676
1996-09-01,11470
1996-10-01,11479
1996-11-01,11452
1996-12-01,11287
1997-01-01,11432
1997-02-01,11354
1997-03-01,11500
1997-04-01,11513
1997-05-01,11693
1997-06-01,11877
1997-07-01,11704
1997-08-01,11720
1997-09-01,11390
1997-10-01,11455
1997-11-01,11344
1997-12-01,11173
1998-01-01,11007
1998-02-01,10940
1998-03-01,10950
1998-04-01,10931
1998-05-01,11066
1998-06-01,11295
1998-07-01,11222
1998-08-01,11169
1998-09-01,10977
1998-10-01,10902
1998-11-01,10868
1998-12-01,10858
1999-01-01,10790
1999-02-01,10736
1999-03-01,10716
1999-04-01,10640
1999-05-01,10874
1999-06-01,11198
1999-07-01,11163
1999-08-01,11125
1999-09-01,10812
1999-10-01,10848
1999-11-01,10871
1999-12-01,10875
2000-01-01,10718
2000-02-01,10700
2000-03-01,10744
2000-04-01,10817
2000-05-01,10936
2000-06-01,10996
2000-07-01,10953
2000-08-01,11018
2000-09-01,10889
2000-10-01,10788
2000-11-01,10691
2000-12-01,10634
2001-01-01,10781
2001-02-01,10659
2001-03-01,10766
2001-04-01,10723
2001-05-01,10706
2001-06-01,10771
2001-07-01,10642
2001-08-01,10783
2001-09-01,10678
2001-10-01,10622
2001-11-01,10527
2001-12-01,10575
2002-01-01,10619
2002-02-01,10596
2002-03-01,10693
2002-04-01,10661
2002-05-01,10671
2002-06-01,10734
2002-07-01,10611
2002-08-01,10751
2002-09-01,10602
2002-10-01,10588
2002-11-01,10523
2002-12-01,10468
2003-01-01,10443
2003-02-01,10397
2003-03-01,10550
2003-04-01,10635
2003-05-01,10688
2003-06-01,10799
2003-07-01,10514
2003-08-01,10535
2003-09-01,10406
