"Date","LAUCN120510000000004"
1990-01-01,1343
1990-02-01,1188
1990-03-01,1250
1990-04-01,1437
1990-05-01,1781
1990-06-01,2222
1990-07-01,2549
1990-08-01,2470
1990-09-01,2335
1990-10-01,1947
1990-11-01,1480
1990-12-01,1198
1991-01-01,1181
1991-02-01,997
1991-03-01,1003
1991-04-01,1396
1991-05-01,1944
1991-06-01,2589
1991-07-01,2970
1991-08-01,2847
1991-09-01,2718
1991-10-01,2328
1991-11-01,1770
1991-12-01,1509
1992-01-01,1523
1992-02-01,1526
1992-03-01,1551
1992-04-01,2031
1992-05-01,2525
1992-06-01,3469
1992-07-01,3706
1992-08-01,3550
1992-09-01,3577
1992-10-01,2854
1992-11-01,2493
1992-12-01,2029
1993-01-01,1948
1993-02-01,1828
1993-03-01,1628
1993-04-01,1801
1993-05-01,2096
1993-06-01,2932
1993-07-01,3473
1993-08-01,3374
1993-09-01,3447
1993-10-01,2933
1993-11-01,2295
1993-12-01,1829
1994-01-01,2044
1994-02-01,1780
1994-03-01,1770
1994-04-01,2121
1994-05-01,2490
1994-06-01,3498
1994-07-01,3839
1994-08-01,3765
1994-09-01,3629
1994-10-01,2987
1994-11-01,2283
1994-12-01,1803
1995-01-01,1771
1995-02-01,1252
1995-03-01,1301
1995-04-01,1850
1995-05-01,2206
1995-06-01,3294
1995-07-01,4098
1995-08-01,3965
1995-09-01,3626
1995-10-01,2878
1995-11-01,2175
1995-12-01,1827
1996-01-01,1679
1996-02-01,1583
1996-03-01,1617
1996-04-01,1691
1996-05-01,2267
1996-06-01,3121
1996-07-01,3770
1996-08-01,3621
1996-09-01,3497
1996-10-01,2762
1996-11-01,2053
1996-12-01,1693
1997-01-01,1802
1997-02-01,1594
1997-03-01,1618
1997-04-01,1525
1997-05-01,1909
1997-06-01,3277
1997-07-01,3889
1997-08-01,3691
1997-09-01,3469
1997-10-01,2544
1997-11-01,1968
1997-12-01,1636
1998-01-01,1586
1998-02-01,1426
1998-03-01,1358
1998-04-01,1317
1998-05-01,1741
1998-06-01,2943
1998-07-01,3654
1998-08-01,3571
1998-09-01,3348
1998-10-01,2348
1998-11-01,1827
1998-12-01,1332
1999-01-01,1485
1999-02-01,1297
1999-03-01,1138
1999-04-01,1192
1999-05-01,1716
1999-06-01,2939
1999-07-01,3521
1999-08-01,3465
1999-09-01,3146
1999-10-01,2342
1999-11-01,1868
1999-12-01,1412
2000-01-01,969
2000-02-01,834
2000-03-01,815
2000-04-01,765
2000-05-01,903
2000-06-01,1335
2000-07-01,1686
2000-08-01,1854
2000-09-01,1711
2000-10-01,1415
2000-11-01,1072
2000-12-01,989
2001-01-01,1038
2001-02-01,893
2001-03-01,851
2001-04-01,897
2001-05-01,968
2001-06-01,1481
2001-07-01,1818
2001-08-01,1945
2001-09-01,1757
2001-10-01,1610
2001-11-01,1165
2001-12-01,1050
2002-01-01,1019
2002-02-01,911
2002-03-01,871
2002-04-01,905
2002-05-01,1066
2002-06-01,1530
2002-07-01,2007
2002-08-01,1951
2002-09-01,1707
2002-10-01,1544
2002-11-01,1168
2002-12-01,1021
2003-01-01,1058
2003-02-01,965
2003-03-01,899
2003-04-01,908
2003-05-01,1196
2003-06-01,1561
2003-07-01,1800
2003-08-01,1760
2003-09-01,1600
2003-10-01,1339
2003-11-01,1116
2003-12-01,935
2004-01-01,969
2004-02-01,849
2004-03-01,821
2004-04-01,854
2004-05-01,1005
2004-06-01,1328
2004-07-01,1773
2004-08-01,1614
2004-09-01,1498
2004-10-01,1311
2004-11-01,1159
2004-12-01,911
2005-01-01,927
2005-02-01,806
2005-03-01,720
2005-04-01,766
2005-05-01,821
2005-06-01,1141
2005-07-01,1404
2005-08-01,1300
2005-09-01,1241
2005-10-01,1044
2005-11-01,983
2005-12-01,741
2006-01-01,773
2006-02-01,625
2006-03-01,593
2006-04-01,555
2006-05-01,635
2006-06-01,1010
2006-07-01,1164
2006-08-01,1181
2006-09-01,1135
2006-10-01,931
2006-11-01,884
2006-12-01,736
2007-01-01,782
2007-02-01,676
2007-03-01,635
2007-04-01,673
2007-05-01,820
2007-06-01,1251
2007-07-01,1497
2007-08-01,1499
2007-09-01,1596
2007-10-01,1373
2007-11-01,1257
2007-12-01,1171
2008-01-01,1236
2008-02-01,1132
2008-03-01,1145
2008-04-01,1084
2008-05-01,1376
2008-06-01,1857
2008-07-01,2276
2008-08-01,2452
2008-09-01,2468
2008-10-01,2208
2008-11-01,2001
2008-12-01,1809
2009-01-01,1846
2009-02-01,1806
2009-03-01,1885
